NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047176250	na	11	1.2764946222305298	0.014090481	Yes	
row_1	XM_047168599	na	47	1.0164177417755127	0.023606595	Yes	
row_2	XM_047182153	na	86	0.8751669526100159	0.03128975	Yes	
row_3	XM_047180900	na	136	0.7747811079025269	0.037094545	Yes	
row_4	XM_047171930	na	140	0.7588558793067932	0.04570088	Yes	
row_5	XM_047173262	na	293	0.6650066375732422	0.043545954	Yes	
row_6	XM_047183628	na	303	0.6531829833984375	0.050537203	Yes	
row_7	XM_047178250	na	317	0.6466975808143616	0.057193562	Yes	
row_8	XM_047174903	na	355	0.6398648023605347	0.06221264	Yes	
row_9	XM_047169294	na	374	0.6316856145858765	0.0683703	Yes	
row_10	XM_047168553	na	376	0.6314231157302856	0.07562853	Yes	
row_11	XM_047176654	na	426	0.6066604256629944	0.07948349	Yes	
row_12	XM_047185943	na	455	0.5953856110572815	0.08457097	Yes	
row_13	XM_047166257	na	494	0.5769956111907959	0.088795975	Yes	
row_14	XM_047177384	na	501	0.572948157787323	0.09505143	Yes	
row_15	XM_047174843	na	560	0.5516372919082642	0.09768397	Yes	
row_16	XM_047165951	na	613	0.5308386087417603	0.100464806	Yes	
row_17	XM_047163276	na	645	0.5167087316513062	0.10444505	Yes	
row_18	XM_047174423	na	673	0.5068379640579224	0.10857049	Yes	
row_19	XM_047165009	na	678	0.5057873725891113	0.114176854	Yes	
row_20	XM_047182894	na	695	0.50053870677948	0.118943326	Yes	
row_21	XM_047174250	na	706	0.4965073764324188	0.12405256	Yes	
row_22	XM_047185480	na	721	0.49074286222457886	0.12883526	Yes	
row_23	XM_047170087	na	743	0.48251888155937195	0.13306816	Yes	
row_24	XM_047165713	na	744	0.4824855327606201	0.13866395	Yes	
row_25	XM_047163223	na	764	0.4800686836242676	0.14299826	Yes	
row_26	XM_047184899	na	778	0.47589755058288574	0.14767371	Yes	
row_27	XM_047167683	na	826	0.4631423354148865	0.149994	Yes	
row_28	XM_047166663	na	836	0.46104392409324646	0.15475686	Yes	
row_29	XM_047183521	na	854	0.4584105908870697	0.15896982	Yes	
row_30	XM_047183138	na	864	0.45602062344551086	0.16367441	Yes	
row_31	XM_047169954	na	882	0.45297005772590637	0.16782428	Yes	
row_32	XM_047172927	na	884	0.45297005772590637	0.17301284	Yes	
row_33	XM_047175966	na	913	0.44663482904434204	0.17637512	Yes	
row_34	XM_047167781	na	931	0.4427969455718994	0.180407	Yes	
row_35	XM_047184832	na	950	0.4363592565059662	0.1842993	Yes	
row_36	XM_047170754	na	1095	0.41813942790031433	0.17980058	Yes	
row_37	XM_047177843	na	1096	0.41808634996414185	0.1846495	Yes	
row_38	XM_047183249	na	1111	0.41404640674591064	0.18854268	Yes	
row_39	XM_047164442	na	1138	0.4095068573951721	0.1916042	Yes	
row_40	XM_047168452	na	1146	0.409471333026886	0.19589876	Yes	
row_41	XM_047182165	na	1221	0.39972415566444397	0.19573075	Yes	
row_42	XM_047169505	na	1243	0.39695775508880615	0.19897132	Yes	
row_43	XM_047170743	na	1244	0.39679646492004395	0.2035733	Yes	
row_44	XM_047164211	na	1246	0.3965243101119995	0.2081072	Yes	
row_45	XM_047165377	na	1249	0.3959600329399109	0.21256965	Yes	
row_46	XM_047175960	na	1254	0.3957762122154236	0.21690013	Yes	
row_47	XM_047183182	na	1260	0.3945464491844177	0.22115143	Yes	
row_48	XM_047181808	na	1268	0.3934617042541504	0.2252603	Yes	
row_49	XM_047165074	na	1306	0.38710615038871765	0.22734793	Yes	
row_50	XM_047172211	na	1315	0.3851640224456787	0.23129565	Yes	
row_51	XM_047164500	na	1321	0.3845481872558594	0.23543099	Yes	
row_52	XM_047178335	na	1402	0.38441210985183716	0.23469588	Yes	
row_53	XM_047169837	na	1457	0.38367408514022827	0.2356401	Yes	
row_54	XM_047183922	na	1465	0.3823455572128296	0.23962004	Yes	
row_55	XM_047162943	na	1472	0.38124948740005493	0.24365221	Yes	
row_56	XM_047183760	na	1557	0.38124948740005493	0.24262075	Yes	
row_57	XM_047181810	na	1599	0.37807929515838623	0.24434401	Yes	
row_58	XM_047180165	na	1602	0.37725457549095154	0.24858952	Yes	
row_59	XM_047166593	na	1604	0.37717342376708984	0.252899	Yes	
row_60	XM_047175848	na	1608	0.37638530135154724	0.2570695	Yes	
row_61	XM_047164357	na	1620	0.37268373370170593	0.26067773	Yes	
row_62	XM_047170876	na	1623	0.3722105920314789	0.2648647	Yes	
row_63	XM_047163578	na	1651	0.36842089891433716	0.26738483	Yes	
row_64	XM_047172908	na	1791	0.3662518858909607	0.26260892	Yes	
row_65	XM_047177942	na	1807	0.36300650238990784	0.26584524	Yes	
row_66	XM_047167124	na	1812	0.36212822794914246	0.26978546	Yes	
row_67	XM_047171043	na	1813	0.3620961308479309	0.273985	Yes	
row_68	XM_047173237	na	1822	0.35967591404914856	0.27763712	Yes	
row_69	XM_047183268	na	1838	0.3568880259990692	0.2808025	Yes	
row_70	XM_047166377	na	1856	0.351456880569458	0.283775	Yes	
row_71	XM_047171042	na	1879	0.346699595451355	0.28636777	Yes	
row_72	XM_047169304	na	1909	0.34669893980026245	0.28850612	Yes	
row_73	XM_047169305	na	1910	0.34669893980026245	0.29252708	Yes	
row_74	XM_047171270	na	1921	0.34669893980026245	0.29589885	Yes	
row_75	XM_047179527	na	1968	0.34669893980026245	0.29693356	Yes	
row_76	XM_047166181	na	2046	0.34469375014305115	0.29593256	Yes	
row_77	XM_047180645	na	2077	0.3403302729129791	0.29793212	Yes	
row_78	XM_047178786	na	2087	0.3386191129684448	0.3012751	Yes	
row_79	XM_047169951	na	2194	0.3231799900531769	0.29814196	Yes	
row_80	XM_047182599	na	2203	0.32193732261657715	0.3013564	Yes	
row_81	XM_047170657	na	2206	0.3203749656677246	0.30494222	Yes	
row_82	XM_047170246	na	2224	0.3182315528392792	0.30752942	Yes	
row_83	XM_047184563	na	2235	0.3175601363182068	0.31056324	Yes	
row_84	XM_047162907	na	2244	0.31693875789642334	0.3137197	Yes	
row_85	XM_047164013	na	2292	0.3106812834739685	0.31427178	Yes	
row_86	XM_047170654	na	2314	0.3082691431045532	0.31648374	Yes	
row_87	XM_047175879	na	2325	0.3074285089969635	0.31940007	Yes	
row_88	XM_047182242	na	2358	0.30114760994911194	0.32081535	Yes	
row_89	XM_047164322	na	2400	0.29455554485321045	0.32156992	Yes	
row_90	XM_047179829	na	2409	0.2935687005519867	0.32445532	Yes	
row_91	XM_047175340	na	2423	0.29169419407844543	0.32699442	Yes	
row_92	XM_047169865	na	2457	0.28856539726257324	0.32819885	Yes	
row_93	XM_047170567	na	2498	0.2834615111351013	0.32888967	Yes	
row_94	XM_047179426	na	2502	0.2827780544757843	0.33197454	Yes	
row_95	XM_047165083	na	2516	0.2814232110977173	0.33439448	Yes	
row_96	XM_047183843	na	2545	0.2776556611061096	0.33579698	Yes	
row_97	XM_047172331	na	2567	0.2757503390312195	0.33763182	Yes	
row_98	XM_047176959	na	2581	0.2736319899559021	0.3399614	Yes	
row_99	XM_047173223	na	2594	0.2715590298175812	0.3423319	Yes	
row_100	XM_047181768	na	2609	0.2697642743587494	0.3445517	Yes	
row_101	XM_047174819	na	2611	0.269351989030838	0.3476107	Yes	
row_102	XM_047176440	na	2612	0.2693216800689697	0.35073426	Yes	
row_103	XM_047171165	na	2620	0.268534392118454	0.35339424	Yes	
row_104	XM_047165757	na	2624	0.2682499289512634	0.3563106	Yes	
row_105	XM_047174393	na	2655	0.2642633020877838	0.35742795	Yes	
row_106	XM_047185960	na	2677	0.2612043619155884	0.35909408	Yes	
row_107	XM_047167998	na	2704	0.25697049498558044	0.36038652	Yes	
row_108	XM_047169124	na	2718	0.2555081844329834	0.3625059	Yes	
row_109	XM_047169702	na	2747	0.2528020441532135	0.36362016	Yes	
row_110	XM_047167741	na	2767	0.25027695298194885	0.3652894	Yes	
row_111	XM_047174705	na	2802	0.24578922986984253	0.3659328	Yes	
row_112	XM_047164923	na	2812	0.24422384798526764	0.368181	Yes	
row_113	XM_047168463	na	2813	0.24417458474636078	0.3710129	Yes	
row_114	XM_047183513	na	2872	0.23859184980392456	0.3700148	Yes	
row_115	XM_047174649	na	2885	0.23713140189647675	0.37198597	Yes	
row_116	XM_047183206	na	2892	0.23639608919620514	0.37433815	Yes	
row_117	XM_047175286	na	2894	0.23605534434318542	0.37701097	Yes	
row_118	XM_047185830	na	2905	0.2353568822145462	0.3790914	Yes	
row_119	XM_047179131	na	2916	0.2342337816953659	0.38115886	Yes	
row_120	XM_047166445	na	2949	0.23175674676895142	0.38176933	Yes	
row_121	XM_047186218	na	3005	0.22647875547409058	0.38082552	Yes	
row_122	XM_047182777	na	3017	0.22492605447769165	0.38272005	Yes	
row_123	XM_047170052	na	3018	0.22489437460899353	0.38532835	Yes	
row_124	XM_047180102	na	3093	0.21682655811309814	0.38303912	Yes	
row_125	XM_047170849	na	3100	0.21646521985530853	0.38516015	Yes	
row_126	XM_047166238	na	3130	0.21300208568572998	0.38574788	Yes	
row_127	XM_047180417	na	3132	0.21224664151668549	0.38814455	Yes	
row_128	XM_047181388	na	3165	0.2096557915210724	0.38849872	Yes	
row_129	XM_047168537	na	3216	0.20348456501960754	0.38761282	Yes	
row_130	XM_047167789	na	3228	0.20245301723480225	0.38924673	Yes	
row_131	XM_047164433	na	3233	0.20238669216632843	0.3913343	Yes	
row_132	XM_047173647	na	3251	0.20005688071250916	0.39255092	Yes	
row_133	XM_047167147	na	3283	0.19719290733337402	0.39282545	Yes	
row_134	XM_047173281	na	3306	0.19475077092647552	0.39365596	Yes	
row_135	XM_047172906	na	3307	0.19469648599624634	0.39591402	Yes	
row_136	XM_047163785	na	3323	0.1937270313501358	0.39718705	Yes	
row_137	XM_047178579	na	3339	0.19264766573905945	0.39844757	Yes	
row_138	XM_047179474	na	3364	0.1900668740272522	0.3990939	Yes	
row_139	XM_047177620	na	3398	0.18617384135723114	0.39911082	Yes	
row_140	XM_047183205	na	3432	0.18289479613304138	0.3990897	Yes	
row_141	XM_047174354	na	3511	0.17574542760849	0.39606434	Yes	
row_142	XM_047173156	na	3546	0.17197556793689728	0.39585167	Yes	
row_143	XM_047169991	na	3660	0.1592227965593338	0.39036256	Yes	
row_144	XM_047163722	na	3666	0.15873827040195465	0.391879	Yes	
row_145	XM_047167810	na	3670	0.15804235637187958	0.3935172	Yes	
row_146	XM_047172095	na	3678	0.1571628749370575	0.3948855	Yes	
row_147	XM_047173547	na	3709	0.15357251465320587	0.39471906	Yes	
row_148	XM_047165174	na	3736	0.15088121592998505	0.3947811	Yes	
row_149	XM_047176354	na	3740	0.15059176087379456	0.3963329	Yes	
row_150	XM_047163203	na	3745	0.1500203162431717	0.3978131	Yes	
row_151	XM_047183240	na	3759	0.14899392426013947	0.3986972	Yes	
row_152	XM_047164109	na	3765	0.14892064034938812	0.40009975	Yes	
row_153	XM_047177518	na	3770	0.14847950637340546	0.40156212	Yes	
row_154	XM_047166759	na	3804	0.14572739601135254	0.40110996	Yes	
row_155	XM_047174511	na	3821	0.14414125680923462	0.401743	Yes	
row_156	XM_047163508	na	3822	0.1440771520137787	0.40341398	Yes	
row_157	XM_047179128	na	3858	0.14017799496650696	0.4027676	Yes	
row_158	XM_047168827	na	3865	0.13911424577236176	0.40399152	Yes	
row_159	XM_047165640	na	3871	0.13836446404457092	0.40527165	Yes	
row_160	XM_047177788	na	3889	0.1370060294866562	0.405757	Yes	
row_161	XM_047186184	na	3921	0.13417808711528778	0.40530074	Yes	
row_162	XM_047163061	na	3948	0.13105987012386322	0.40513286	Yes	
row_163	XM_047163922	na	3986	0.1271335482597351	0.40420535	Yes	
row_164	XM_047166771	na	3999	0.12643390893936157	0.4048927	Yes	
row_165	XM_047186051	na	4001	0.12615714967250824	0.40629095	Yes	
row_166	XM_047176072	na	4028	0.12426269799470901	0.40604424	Yes	
row_167	XM_047176083	na	4046	0.12268544733524323	0.40636352	Yes	
row_168	XM_047179507	na	4082	0.1199241653084755	0.40548223	Yes	
row_169	XM_047181667	na	4143	0.11316108703613281	0.4028996	Yes	
row_170	XM_047182243	na	4148	0.11268673092126846	0.40394682	Yes	
row_171	XM_047180093	na	4151	0.112439826130867	0.40512106	Yes	
row_172	XM_047166538	na	4160	0.11179470270872116	0.40589827	Yes	
row_173	XM_047171133	na	4181	0.11047534644603729	0.4058812	Yes	
row_174	XM_047177519	na	4199	0.10858587920665741	0.40603694	Yes	
row_175	XM_047178463	na	4222	0.10659781843423843	0.40584505	Yes	
row_176	XM_047165050	na	4227	0.10622084140777588	0.40681732	Yes	
row_177	XM_047165732	na	4236	0.10554114729166031	0.40752202	Yes	
row_178	XM_047184124	na	4243	0.10530652850866318	0.40835384	Yes	
row_179	XM_047173520	na	4278	0.10251019895076752	0.40733552	No	
row_180	XM_047166328	na	4314	0.09903906285762787	0.406212	No	
row_181	XM_047173646	na	4321	0.0982634574174881	0.40696216	No	
row_182	XM_047171859	na	4344	0.09689334779977798	0.4066577	No	
row_183	XM_047178252	na	4356	0.09591159969568253	0.40705597	No	
row_184	XM_047174436	na	4362	0.09525467455387115	0.40783614	No	
row_185	XM_047172041	na	4380	0.09305776655673981	0.4078118	No	
row_186	XM_047185783	na	4413	0.08997614681720734	0.40677792	No	
row_187	XM_047177467	na	4431	0.08835851401090622	0.4066991	No	
row_188	XM_047176229	na	4576	0.07381148636341095	0.39820692	No	
row_189	XM_047182729	na	4602	0.07149967551231384	0.39741322	No	
row_190	XM_047185591	na	4604	0.07112710922956467	0.3981732	No	
row_191	XM_047179849	na	4621	0.07019959390163422	0.39794868	No	
row_192	XM_047165674	na	4684	0.06381304562091827	0.39466384	No	
row_193	XM_047176849	na	4697	0.06237995624542236	0.39460832	No	
row_194	XM_047170382	na	4722	0.060687169432640076	0.3937541	No	
row_195	XM_047176850	na	4737	0.05937521159648895	0.3935339	No	
row_196	XM_047180113	na	4770	0.05621672421693802	0.3921085	No	
row_197	XM_047173705	na	4771	0.05619046092033386	0.3927602	No	
row_198	XM_047173179	na	4792	0.05457223206758499	0.39209473	No	
row_199	XM_047177182	na	4812	0.053066954016685486	0.39147675	No	
row_200	XM_047170267	na	4815	0.05276380479335785	0.39195886	No	
row_201	XM_047185794	na	4865	0.04960259050130844	0.38935316	No	
row_202	XM_047176697	na	4934	0.0458834171295166	0.38547087	No	
row_203	XM_047175628	na	4950	0.043721094727516174	0.38500416	No	
row_204	XM_047184176	na	4999	0.04037882015109062	0.38235638	No	
row_205	XM_047163661	na	5045	0.038308508694171906	0.37987936	No	
row_206	XM_047176761	na	5080	0.03512585535645485	0.37807953	No	
row_207	XM_047184811	na	5087	0.034656476229429245	0.37809196	No	
row_208	XM_047174092	na	5122	0.031182756647467613	0.3762464	No	
row_209	XM_047175883	na	5123	0.031177431344985962	0.37660798	No	
row_210	XM_047174021	na	5169	0.02746991626918316	0.37400526	No	
row_211	XM_047179655	na	5172	0.027368098497390747	0.37419283	No	
row_212	XM_047185792	na	5173	0.027365202084183693	0.3745102	No	
row_213	XM_047179171	na	5226	0.02404779940843582	0.37141338	No	
row_214	XM_047174321	na	5311	0.016487766057252884	0.36615145	No	
row_215	XM_047167656	na	5312	0.0164030808955431	0.3663417	No	
row_216	XM_047181651	na	5322	0.015663418918848038	0.3659391	No	
row_217	XM_047175950	na	5384	0.011448021978139877	0.36211187	No	
row_218	XM_047184900	na	5415	0.009619657881557941	0.3602759	No	
row_219	XM_047164268	na	5424	0.008606391958892345	0.35985634	No	
row_220	XM_047180508	na	5442	0.00815165601670742	0.3588473	No	
row_221	XM_047172247	na	5531	0.0031644960399717093	0.35317117	No	
row_222	XM_047162967	na	5569	0.0	0.35076922	No	
row_223	XM_047162969	na	5570	0.0	0.35076922	No	
row_224	XM_047163594	na	5638	0.0	0.3464197	No	
row_225	XM_047165294	na	5846	0.0	0.33298162	No	
row_226	XM_047167262	na	6009	0.0	0.32246488	No	
row_227	XM_047168701	na	6194	0.0	0.31051993	No	
row_228	XM_047168948	na	6215	0.0	0.30922157	No	
row_229	XM_047170235	na	6356	0.0	0.30013302	No	
row_230	XM_047171134	na	6452	0.0	0.2939658	No	
row_231	XM_047171933	na	6544	0.0	0.28805822	No	
row_232	XM_047173224	na	6695	0.0	0.2783205	No	
row_233	XM_047174214	na	6788	0.0	0.27234802	No	
row_234	XM_047174717	na	6840	0.0	0.2690372	No	
row_235	XM_047174829	na	6848	0.0	0.26858276	No	
row_236	XM_047176852	na	7069	0.0	0.25430077	No	
row_237	XM_047177032	na	7084	0.0	0.2533919	No	
row_238	XM_047177789	na	7155	0.0	0.24884763	No	
row_239	XM_047179016	na	7273	0.0	0.2412522	No	
row_240	XM_047179750	na	7365	0.0	0.23534465	No	
row_241	XM_047181896	na	7632	0.0	0.21807641	No	
row_242	XM_047184930	na	7919	0.0	0.1995098	No	
row_243	XM_047179019	na	8553	-0.003209303366020322	0.15845379	No	
row_244	XM_047185522	na	8651	-0.010564987547695637	0.15227926	No	
row_245	XM_047186349	na	8666	-0.011420429684221745	0.15150286	No	
row_246	XM_047177031	na	8667	-0.011459024623036385	0.15163575	No	
row_247	XM_047178683	na	8688	-0.013341876678168774	0.15049213	No	
row_248	XM_047166148	na	8716	-0.015035374090075493	0.14891371	No	
row_249	XM_047173342	na	8721	-0.015210562385618687	0.14883046	No	
row_250	XM_047174739	na	8839	-0.02226841077208519	0.14149329	No	
row_251	XM_047168421	na	8911	-0.02676800638437271	0.13719454	No	
row_252	XM_047184898	na	8912	-0.02686520852148533	0.13750613	No	
row_253	XM_047177514	na	8914	-0.02696850523352623	0.13775398	No	
row_254	XM_047171717	na	8932	-0.028302989900112152	0.13697863	No	
row_255	XM_047165828	na	8936	-0.028876198455691338	0.13711877	No	
row_256	XM_047181414	na	8964	-0.0309380441904068	0.1357248	No	
row_257	XM_047178622	na	8993	-0.03332611173391342	0.1342936	No	
row_258	XM_047185418	na	9056	-0.03842254728078842	0.13071428	No	
row_259	XM_047178221	na	9220	-0.04895014315843582	0.12070034	No	
row_260	XM_047178159	na	9269	-0.05331430584192276	0.1182026	No	
row_261	XM_047184199	na	9318	-0.05801663547754288	0.11575939	No	
row_262	XM_047183959	na	9322	-0.058460529893636703	0.11624265	No	
row_263	XM_047163595	na	9432	-0.06808701902627945	0.10995623	No	
row_264	XM_047169411	na	9483	-0.07129400968551636	0.10753717	No	
row_265	XM_047166770	na	9702	-0.0888710618019104	0.09441572	No	
row_266	XM_047172140	na	9733	-0.09177080541849136	0.09353252	No	
row_267	XM_047165721	na	9738	-0.09208318591117859	0.09434081	No	
row_268	XM_047181684	na	9921	-0.1072998046875	0.08377014	No	
row_269	XM_047176079	na	9963	-0.11105142533779144	0.08239645	No	
row_270	XM_047170973	na	9994	-0.11361074447631836	0.081766546	No	
row_271	XM_047172104	na	10008	-0.11487741023302078	0.08225494	No	
row_272	XM_047171320	na	10128	-0.12253609299659729	0.07595082	No	
row_273	XM_047178339	na	10152	-0.12466853111982346	0.075903594	No	
row_274	XM_047168891	na	10178	-0.1273917257785797	0.07575811	No	
row_275	XM_047162936	na	10364	-0.14272253215312958	0.06540351	No	
row_276	XM_047170668	na	10390	-0.1446344554424286	0.06545801	No	
row_277	XM_047166791	na	10437	-0.1488647311925888	0.06419828	No	
row_278	XM_047170728	na	10456	-0.15049931406974792	0.06477521	No	
row_279	XM_047162970	na	10466	-0.15165112912654877	0.065949775	No	
row_280	XM_047183372	na	10469	-0.15203790366649628	0.067583255	No	
row_281	XM_047167335	na	10525	-0.1567476987838745	0.065830685	No	
row_282	XM_047175999	na	10531	-0.15712431073188782	0.0673284	No	
row_283	XM_047170440	na	10584	-0.1617317497730255	0.06582839	No	
row_284	XM_047186502	na	10628	-0.163964182138443	0.06493854	No	
row_285	XM_047164014	na	10636	-0.16461732983589172	0.066393316	No	
row_286	XM_047174910	na	10659	-0.16690438985824585	0.06690085	No	
row_287	XM_047168144	na	10938	-0.19145426154136658	0.051074043	No	
row_288	XM_047174465	na	11029	-0.19863709807395935	0.047535166	No	
row_289	XM_047167903	na	11061	-0.20319989323616028	0.04787938	No	
row_290	XM_047176772	na	11102	-0.2059766799211502	0.047671538	No	
row_291	XM_047171526	na	11113	-0.20682887732982635	0.049421124	No	
row_292	XM_047165496	na	11126	-0.20813846588134766	0.05105606	No	
row_293	XM_047177868	na	11148	-0.20984891057014465	0.052126575	No	
row_294	XM_047179526	na	11275	-0.22229456901550293	0.046525016	No	
row_295	XM_047171257	na	11437	-0.2372838258743286	0.038825165	No	
row_296	XM_047174303	na	11454	-0.23881231248378754	0.04055618	No	
row_297	XM_047173369	na	11464	-0.2400732934474945	0.04275625	No	
row_298	XM_047177291	na	11573	-0.2502371072769165	0.038647294	No	
row_299	XM_047185790	na	11640	-0.2572849988937378	0.037346642	No	
row_300	XM_047178110	na	11670	-0.2607574164867401	0.03848824	No	
row_301	XM_047170977	na	11676	-0.2615533769130707	0.041197103	No	
row_302	XM_047176214	na	11730	-0.26656123995780945	0.040847972	No	
row_303	XM_047180443	na	11807	-0.27561235427856445	0.039110698	No	
row_304	XM_047170785	na	11825	-0.2770862579345703	0.04122069	No	
row_305	XM_047178641	na	11841	-0.27848759293556213	0.04347677	No	
row_306	XM_047163263	na	12134	-0.3087111711502075	0.028101038	No	
row_307	XM_047170976	na	12182	-0.31390488147735596	0.028690502	No	
row_308	XM_047185117	na	12220	-0.31671342253685	0.02996172	No	
row_309	XM_047167074	na	12264	-0.32084888219833374	0.030891392	No	
row_310	XM_047170010	na	12415	-0.33862385153770447	0.025080966	No	
row_311	XM_047186032	na	12581	-0.35864993929862976	0.018529028	No	
row_312	XM_047163081	na	12585	-0.35898151993751526	0.022497684	No	
row_313	XM_047164212	na	12652	-0.36515337228775024	0.022448072	No	
row_314	XM_047170613	na	12864	-0.3667064309120178	0.013003334	No	
row_315	XM_047168638	na	13341	-0.3898284137248993	-0.013376562	No	
row_316	XM_047164912	na	13516	-0.3995128870010376	-0.020038843	No	
row_317	XM_047183500	na	13548	-0.40210965275764465	-0.017387703	No	
row_318	XM_047174908	na	13749	-0.423103392124176	-0.02546426	No	
row_319	XM_047176976	na	13810	-0.4270089864730835	-0.02440697	No	
row_320	XM_047169914	na	13936	-0.4402311444282532	-0.027416013	No	
row_321	XM_047180967	na	13963	-0.44154277443885803	-0.023982944	No	
row_322	XM_047182154	na	14321	-0.4840772747993469	-0.041544493	No	
row_323	XM_047167902	na	14374	-0.49031129479408264	-0.039233685	No	
row_324	XM_047172928	na	14437	-0.4974931478500366	-0.03748877	No	
row_325	XM_047184182	na	14481	-0.5038151144981384	-0.034437083	No	
row_326	XM_047178432	na	14556	-0.5198304057121277	-0.03321212	No	
row_327	XM_047176799	na	14598	-0.5288779735565186	-0.029739924	No	
row_328	XM_047164416	na	14648	-0.5399391055107117	-0.026658788	No	
row_329	XM_047176492	na	14753	-0.5678274631500244	-0.026824709	No	
row_330	XM_047167899	na	14930	-0.6238856315612793	-0.031014586	No	
row_331	XM_047173305	na	15151	-0.6713582277297974	-0.037510287	No	
row_332	XM_047182014	na	15156	-0.6713582277297974	-0.029983653	No	
