NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047177671	na	51	0.992631196975708	0.11609965	Yes	
row_1	XM_047173050	na	129	0.7938451170921326	0.20664385	Yes	
row_2	XM_047163584	na	257	0.671290934085846	0.27927044	Yes	
row_3	XM_047179215	na	868	0.4548572599887848	0.29513004	Yes	
row_4	XM_047182165	na	1221	0.39972415566444397	0.32078356	Yes	
row_5	XM_047183760	na	1557	0.38124948740005493	0.34529793	Yes	
row_6	XM_047166593	na	1604	0.37717342376708984	0.38771814	Yes	
row_7	XM_047171797	na	2092	0.3377489745616913	0.397327	Yes	
row_8	XM_047184563	na	2235	0.3175601363182068	0.42646906	Yes	
row_9	XM_047182242	na	2358	0.30114760994911194	0.45491084	Yes	
row_10	XM_047175199	na	2461	0.2880309820175171	0.4830487	Yes	
row_11	XM_047174505	na	2534	0.2792056202888489	0.5120351	Yes	
row_12	XM_047184313	na	3161	0.20997603237628937	0.49743366	No	
row_13	XM_047179544	na	3727	0.15136611461639404	0.47966835	No	
row_14	XM_047165174	na	3736	0.15088121592998505	0.49729988	No	
row_15	XM_047179507	na	4082	0.1199241653084755	0.48975804	No	
row_16	XM_047182243	na	4148	0.11268673092126846	0.4991691	No	
row_17	XM_047175883	na	5123	0.031177431344985962	0.4409189	No	
row_18	XM_047167262	na	6009	0.0	0.38458535	No	
row_19	XM_047167718	na	6074	0.0	0.38051152	No	
row_20	XM_047174341	na	6803	0.0	0.33417162	No	
row_21	XM_047175563	na	6936	0.0	0.3257693	No	
row_22	XM_047175564	na	6937	0.0	0.3257693	No	
row_23	XM_047183054	na	7762	0.0	0.27331865	No	
row_24	XM_047178879	na	8731	-0.015911808237433434	0.21361496	No	
row_25	XM_047184123	na	8817	-0.02100147306919098	0.21072944	No	
row_26	XM_047174739	na	8839	-0.02226841077208519	0.21207008	No	
row_27	XM_047165828	na	8936	-0.028876198455691338	0.20943117	No	
row_28	XM_047167335	na	10525	-0.1567476987838745	0.12719513	No	
row_29	XM_047175999	na	10531	-0.15712431073188782	0.14576824	No	
row_30	XM_047185598	na	11304	-0.22404788434505463	0.12356527	No	
row_31	XM_047171994	na	11482	-0.241496741771698	0.14133419	No	
row_32	XM_047184525	na	11753	-0.26940298080444336	0.15653853	No	
row_33	XM_047174538	na	15442	-0.8099024891853333	0.019159751	No	
