NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047184394	na	312	0.6500242352485657	0.11160738	Yes	
row_1	XM_047181453	na	586	0.5401683449745178	0.20347981	Yes	
row_2	XM_047182798	na	787	0.4739558696746826	0.28660482	Yes	
row_3	XM_047182806	na	997	0.4326237738132477	0.3607994	Yes	
row_4	XM_047180485	na	1072	0.42301061749458313	0.44163454	Yes	
row_5	XM_047168675	na	1147	0.409471333026886	0.51973176	Yes	
row_6	XM_047182792	na	1548	0.38124948740005493	0.571392	Yes	
row_7	XM_047181843	na	2728	0.25404998660087585	0.5477943	Yes	
row_8	XM_047186370	na	2951	0.2314223200082779	0.5804755	Yes	
row_9	XM_047182814	na	3388	0.18698105216026306	0.5905618	Yes	
row_10	XM_047165856	na	4918	0.04703745245933533	0.5028461	No	
row_11	XM_047168672	na	6191	0.0	0.42196098	No	
row_12	XM_047168674	na	6192	0.0	0.42196098	No	
row_13	XM_047181845	na	7625	0.0	0.3309016	No	
row_14	XM_047165468	na	9712	-0.09006764739751816	0.2164684	No	
row_15	XM_047172405	na	10135	-0.12327462434768677	0.21456231	No	
row_16	XM_047178245	na	11404	-0.2332920879125595	0.18110757	No	
row_17	XM_047168969	na	14196	-0.46850886940956116	0.09837209	No	
