NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047185495	na	79	0.9175422191619873	0.032089636	No	
row_1	XM_047168709	na	364	0.6366514563560486	0.0397121	No	
row_2	XM_047166091	na	398	0.6153483986854553	0.06250964	No	
row_3	XM_047185468	na	906	0.4474785625934601	0.0482271	No	
row_4	XM_047168675	na	1147	0.409471333026886	0.049465843	No	
row_5	XM_047175826	na	1282	0.39068982005119324	0.05671714	No	
row_6	XM_047178687	na	2070	0.34117424488067627	0.020241732	No	
row_7	XM_047184483	na	2324	0.30748555064201355	0.01652201	No	
row_8	XM_047175879	na	2325	0.3074285089969635	0.028965084	No	
row_9	XM_047184660	na	3338	0.192734956741333	-0.027894435	No	
row_10	XM_047164648	na	4141	0.1132681667804718	-0.07455268	No	
row_11	XM_047178653	na	4619	0.07034792751073837	-0.10218265	No	
row_12	XM_047167762	na	4736	0.05948319658637047	-0.10718676	No	
row_13	XM_047181490	na	4789	0.054965775460004807	-0.1082845	No	
row_14	XM_047185794	na	4865	0.04960259050130844	-0.11106888	No	
row_15	XM_047165856	na	4918	0.04703745245933533	-0.112487525	No	
row_16	XM_047176600	na	5033	0.038528863340616226	-0.11821196	No	
row_17	XM_047186417	na	5092	0.034142423421144485	-0.120535895	No	
row_18	XM_047170904	na	5103	0.03292134404182434	-0.11984235	No	
row_19	XM_047164975	na	5217	0.024417810142040253	-0.12607403	No	
row_20	XM_047164445	na	5723	0.0	-0.15834033	No	
row_21	XM_047166195	na	5910	0.0	-0.17022456	No	
row_22	XM_047167537	na	6051	0.0	-0.17916968	No	
row_23	XM_047167623	na	6059	0.0	-0.17961694	No	
row_24	XM_047167829	na	6086	0.0	-0.18127817	No	
row_25	XM_047168672	na	6191	0.0	-0.18792312	No	
row_26	XM_047168674	na	6192	0.0	-0.18792312	No	
row_27	XM_047173322	na	6706	0.0	-0.22070058	No	
row_28	XM_047175669	na	6950	0.0	-0.23622674	No	
row_29	XM_047180809	na	7523	0.0	-0.27277392	No	
row_30	XM_047185138	na	7954	0.0	-0.3002482	No	
row_31	XM_047170496	na	8710	-0.014460192061960697	-0.3479027	No	
row_32	XM_047165881	na	8717	-0.015056820586323738	-0.3476766	No	
row_33	XM_047169962	na	8781	-0.01959741860628128	-0.35090873	No	
row_34	XM_047175142	na	8991	-0.03326748311519623	-0.362916	No	
row_35	XM_047178441	na	9326	-0.05871007964015007	-0.38188022	No	
row_36	XM_047174778	na	9516	-0.07342971116304398	-0.3909841	No	
row_37	XM_047168123	na	9663	-0.08451833575963974	-0.3968917	No	
row_38	XM_047186263	na	9740	-0.09224892407655716	-0.3980139	No	
row_39	XM_047166658	na	9756	-0.09387604892253876	-0.3951727	No	
row_40	XM_047165444	na	9779	-0.095561683177948	-0.3927105	No	
row_41	XM_047172104	na	10008	-0.11487741023302078	-0.40262866	No	
