NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047174116	na	134	0.7811527848243713	0.032979026	Yes	
row_1	XM_047170834	na	147	0.7525344491004944	0.07222212	Yes	
row_2	XM_047174903	na	355	0.6398648023605347	0.09303091	Yes	
row_3	XM_047175111	na	427	0.6064944863319397	0.120744556	Yes	
row_4	XM_047175635	na	788	0.4737014174461365	0.12295531	Yes	
row_5	XM_047185724	na	1022	0.4282127022743225	0.13085228	Yes	
row_6	XM_047163608	na	1023	0.42817962169647217	0.15361668	Yes	
row_7	XM_047174491	na	1203	0.4042242467403412	0.16368437	Yes	
row_8	XM_047166324	na	1226	0.39923471212387085	0.18350594	Yes	
row_9	XM_047166626	na	1343	0.38441210985183716	0.19654073	Yes	
row_10	XM_047167058	na	1346	0.38441210985183716	0.21685056	Yes	
row_11	XM_047185425	na	1461	0.38276559114456177	0.22992545	Yes	
row_12	XM_047166937	na	1487	0.38124948740005493	0.24859938	Yes	
row_13	XM_047185043	na	1613	0.3750622272491455	0.26056272	Yes	
row_14	XM_047180590	na	1726	0.36842089891433716	0.2730026	Yes	
row_15	XM_047185516	na	1858	0.3509558439254761	0.28330144	Yes	
row_16	XM_047168809	na	1905	0.34669893980026245	0.29879832	Yes	
row_17	XM_047186477	na	2257	0.3144910931587219	0.29311892	Yes	
row_18	XM_047172323	na	2284	0.31128865480422974	0.3080095	Yes	
row_19	XM_047177582	na	2350	0.30241715908050537	0.31993964	Yes	
row_20	XM_047164360	na	2437	0.290059894323349	0.3298726	Yes	
row_21	XM_047177850	na	2543	0.27786028385162354	0.3379445	Yes	
row_22	XM_047174819	na	2611	0.269351989030838	0.34798905	Yes	
row_23	XM_047170753	na	2628	0.267263263463974	0.3611772	Yes	
row_24	XM_047185512	na	2641	0.26658564805984497	0.37458456	Yes	
row_25	XM_047180717	na	2953	0.23113957047462463	0.3670264	Yes	
row_26	XM_047170983	na	2956	0.23093220591545105	0.37917638	Yes	
row_27	XM_047185771	na	3136	0.21194373071193695	0.37902138	Yes	
row_28	XM_047174275	na	3188	0.20747315883636475	0.38679716	Yes	
row_29	XM_047177013	na	3220	0.20318010449409485	0.39562106	Yes	
row_30	XM_047175850	na	3263	0.1995868682861328	0.4035519	Yes	
row_31	XM_047180718	na	3357	0.19130973517894745	0.4077881	Yes	
row_32	XM_047179474	na	3364	0.1900668740272522	0.41751018	Yes	
row_33	XM_047165035	na	3472	0.17882154881954193	0.420189	Yes	
row_34	XM_047174296	na	3479	0.17836447060108185	0.42928895	Yes	
row_35	XM_047180651	na	3700	0.15462464094161987	0.42347008	No	
row_36	XM_047170982	na	3772	0.14826634526252747	0.4268218	No	
row_37	XM_047174392	na	3911	0.13513119518756866	0.42519948	No	
row_38	XM_047174437	na	4027	0.12426916509866714	0.42446744	No	
row_39	XM_047165417	na	4238	0.10546538978815079	0.41667315	No	
row_40	XM_047169361	na	4537	0.07736603170633316	0.40176913	No	
row_41	XM_047168043	na	4566	0.0745711475610733	0.4039469	No	
row_42	XM_047170819	na	4970	0.04245990142226219	0.38048637	No	
row_43	XM_047166496	na	5182	0.026896987110376358	0.36845115	No	
row_44	XM_047177119	na	5453	0.007537099998444319	0.35162148	No	
row_45	XM_047163674	na	5644	0.0	0.3394964	No	
row_46	XM_047164789	na	5788	0.0	0.33037066	No	
row_47	XM_047166322	na	5918	0.0	0.3221384	No	
row_48	XM_047168811	na	6204	0.0	0.30395076	No	
row_49	XM_047172601	na	6628	0.0	0.2769565	No	
row_50	XM_047175851	na	6968	0.0	0.2553228	No	
row_51	XM_047175852	na	6969	0.0	0.2553228	No	
row_52	XM_047177977	na	7175	0.0	0.24224049	No	
row_53	XM_047182800	na	7732	0.0	0.20675868	No	
row_54	XM_047185511	na	8017	0.0	0.18863487	No	
row_55	XM_047166482	na	9085	-0.041428305208683014	0.122745536	No	
row_56	XM_047185942	na	9393	-0.06372802704572678	0.106542096	No	
row_57	XM_047179934	na	10320	-0.13866524398326874	0.0548205	No	
row_58	XM_047165387	na	11043	-0.20116493105888367	0.019440236	No	
row_59	XM_047163219	na	11172	-0.21202509105205536	0.022544187	No	
row_60	XM_047173219	na	11398	-0.2329784780740738	0.020571962	No	
row_61	XM_047168182	na	11406	-0.23353946208953857	0.0325415	No	
row_62	XM_047186361	na	11678	-0.2619028687477112	0.029171508	No	
row_63	XM_047168477	na	12265	-0.320855051279068	0.0088336365	No	
row_64	XM_047170984	na	12311	-0.32654646039009094	0.02332292	No	
row_65	XM_047166321	na	12531	-0.35199955105781555	0.028061412	No	
row_66	XM_047173228	na	12701	-0.36515337228775024	0.03669004	No	
row_67	XM_047179928	na	12731	-0.36515337228775024	0.05425294	No	
row_68	XM_047174267	na	12895	-0.3667064309120178	0.06334704	No	
row_69	XM_047182052	na	13173	-0.37624263763427734	0.06567309	No	
row_70	XM_047185772	na	13194	-0.37624263763427734	0.0843999	No	
row_71	XM_047176119	na	13403	-0.39322584867477417	0.09203219	No	
row_72	XM_047186008	na	14195	-0.4684818983078003	0.066460654	No	
row_73	XM_047182799	na	14865	-0.6068345308303833	0.056030285	No	
