NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047172306	na	31	1.0823400020599365	0.16818236	Yes	
row_1	XM_047185175	na	155	0.7397875785827637	0.27666304	Yes	
row_2	XM_047173766	na	436	0.6039222478866577	0.35380226	Yes	
row_3	XM_047166502	na	573	0.5462475419044495	0.4310302	Yes	
row_4	XM_047165071	na	773	0.4780002236366272	0.49352345	Yes	
row_5	XM_047167425	na	1587	0.38114944100379944	0.50175226	Yes	
row_6	XM_047177800	na	1630	0.37106573581695557	0.5574166	Yes	
row_7	XM_047178092	na	2036	0.34573468565940857	0.5860189	Yes	
row_8	XM_047179163	na	2374	0.2990543246269226	0.6116061	Yes	
row_9	XM_047167727	na	2489	0.28435975313186646	0.6490618	Yes	
row_10	XM_047180901	na	2975	0.22937044501304626	0.6542841	Yes	
row_11	XM_047172153	na	3445	0.18185211718082428	0.6530534	No	
row_12	XM_047172152	na	10038	-0.11679236590862274	0.2522891	No	
row_13	XM_047180100	na	10398	-0.1450715810060501	0.25227007	No	
row_14	XM_047171088	na	11432	-0.23660455644130707	0.22378735	No	
row_15	XM_047184757	na	12249	-0.31961485743522644	0.22215162	No	
