NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047178430	na	19	1.1445238590240479	0.02960366	Yes	
row_1	XM_047180031	na	170	0.7266454100608826	0.039562233	Yes	
row_2	XM_047182207	na	227	0.6844409704208374	0.05440607	Yes	
row_3	XM_047167006	na	249	0.6744587421417236	0.071223244	Yes	
row_4	XM_047184447	na	294	0.6618057489395142	0.08622627	Yes	
row_5	XM_047183628	na	303	0.6531829833984375	0.10330331	Yes	
row_6	XM_047168394	na	305	0.6520698070526123	0.12079881	Yes	
row_7	XM_047178250	na	317	0.6466975808143616	0.13750902	Yes	
row_8	XM_047174903	na	355	0.6398648023605347	0.15236963	Yes	
row_9	XM_047168849	na	369	0.6337884664535522	0.16860409	Yes	
row_10	XM_047177022	na	384	0.6230699419975281	0.18448585	Yes	
row_11	XM_047186354	na	421	0.6089237332344055	0.19857731	Yes	
row_12	XM_047175111	na	427	0.6064944863319397	0.21458927	Yes	
row_13	XM_047175503	na	513	0.5692940354347229	0.22447453	Yes	
row_14	XM_047174843	na	560	0.5516372919082642	0.23638272	Yes	
row_15	XM_047185480	na	721	0.49074286222457886	0.23934807	Yes	
row_16	XM_047174432	na	723	0.4903610646724701	0.2524889	Yes	
row_17	XM_047178189	na	728	0.4890962541103363	0.2654035	Yes	
row_18	XM_047170087	na	743	0.48251888155937195	0.2775004	Yes	
row_19	XM_047171862	na	776	0.4766088128089905	0.288285	Yes	
row_20	XM_047179371	na	830	0.4620324373245239	0.29733178	Yes	
row_21	XM_047179337	na	1086	0.4198000729084015	0.29230088	Yes	
row_22	XM_047169505	na	1243	0.39695775508880615	0.29299694	Yes	
row_23	XM_047170743	na	1244	0.39679646492004395	0.30368227	Yes	
row_24	XM_047173935	na	1617	0.3741171061992645	0.28992596	Yes	
row_25	XM_047184086	na	1776	0.3677024841308594	0.28970608	Yes	
row_26	XM_047164341	na	1786	0.3666304051876068	0.2990025	Yes	
row_27	XM_047172908	na	1791	0.3662518858909607	0.30860904	Yes	
row_28	XM_047171043	na	1813	0.3620961308479309	0.3170146	Yes	
row_29	XM_047173237	na	1822	0.35967591404914856	0.32618782	Yes	
row_30	XM_047165925	na	1868	0.34848645329475403	0.33268943	Yes	
row_31	XM_047178718	na	1962	0.34669893980026245	0.33606794	Yes	
row_32	XM_047169464	na	2088	0.33849889039993286	0.33717567	Yes	
row_33	XM_047166994	na	2157	0.3284977972507477	0.3416656	Yes	
row_34	XM_047164066	na	2173	0.3263552188873291	0.3494931	Yes	
row_35	XM_047162907	na	2244	0.31693875789642334	0.3535436	Yes	
row_36	XM_047181902	na	2262	0.3136061429977417	0.36089966	Yes	
row_37	XM_047177850	na	2543	0.27786028385162354	0.3504449	Yes	
row_38	XM_047174819	na	2611	0.269351989030838	0.35340616	Yes	
row_39	XM_047182428	na	2657	0.2639527916908264	0.35763136	Yes	
row_40	XM_047169124	na	2718	0.2555081844329834	0.36066824	Yes	
row_41	XM_047185496	na	2726	0.25442826747894287	0.3670713	Yes	
row_42	XM_047176863	na	2769	0.2499312460422516	0.3711111	Yes	
row_43	XM_047182257	na	2851	0.24035246670246124	0.37239456	Yes	
row_44	XM_047181799	na	2852	0.2401891052722931	0.3788626	Yes	
row_45	XM_047175244	na	2887	0.23686876893043518	0.38306314	Yes	
row_46	XM_047183206	na	2892	0.23639608919620514	0.3891728	Yes	
row_47	XM_047186218	na	3005	0.22647875547409058	0.38809675	Yes	
row_48	XM_047181967	na	3015	0.2253139317035675	0.39358765	Yes	
