NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047166229	na	25	1.1083921194076538	0.19602735	Yes	
row_1	XM_047174903	na	355	0.6398648023605347	0.28918535	Yes	
row_2	XM_047178189	na	728	0.4890962541103363	0.35272765	Yes	
row_3	XM_047171104	na	742	0.4825492203235626	0.43793547	Yes	
row_4	XM_047171862	na	776	0.4766088128089905	0.52081215	Yes	
row_5	XM_047184568	na	1241	0.3971155285835266	0.56210375	Yes	
row_6	XM_047174819	na	2611	0.269351989030838	0.5230571	No	
row_7	XM_047184569	na	3613	0.16482305526733398	0.48877904	No	
row_8	XM_047174666	na	4489	0.0828583836555481	0.44790107	No	
row_9	XM_047182521	na	4977	0.04245990142226219	0.4244976	No	
row_10	XM_047167656	na	5312	0.0164030808955431	0.40617937	No	
row_11	XM_047181487	na	7594	0.0	0.26110527	No	
row_12	XM_047179478	na	9140	-0.04491022229194641	0.17084871	No	
row_13	XM_047182522	na	9449	-0.06828801333904266	0.16343477	No	
row_14	XM_047169075	na	9541	-0.07450281083583832	0.17093033	No	
row_15	XM_047184932	na	10044	-0.11726780980825424	0.15991049	No	
row_16	XM_047174667	na	10232	-0.13187852501869202	0.17152995	No	
row_17	XM_047185310	na	10242	-0.13245432078838348	0.19457307	No	
row_18	XM_047168224	na	10401	-0.14550866186618805	0.21046713	No	
row_19	XM_047175109	na	11295	-0.22358156740665436	0.19353415	No	
row_20	XM_047165319	na	14471	-0.5008633136749268	0.08090056	No	
