NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047178430	na	19	1.1445238590240479	0.0477282	Yes	
row_1	XM_047180031	na	170	0.7266454100608826	0.0692215	Yes	
row_2	XM_047178250	na	317	0.6466975808143616	0.08755154	Yes	
row_3	XM_047163940	na	415	0.6115413308143616	0.107507445	Yes	
row_4	XM_047175111	na	427	0.6064944863319397	0.13273959	Yes	
row_5	XM_047176102	na	443	0.5997148156166077	0.15742639	Yes	
row_6	XM_047168801	na	479	0.5830109715461731	0.18012168	Yes	
row_7	XM_047186059	na	640	0.5185109972953796	0.19207622	Yes	
row_8	XM_047172769	na	649	0.5155054926872253	0.21360911	Yes	
row_9	XM_047173014	na	650	0.5145048499107361	0.23561011	Yes	
row_10	XM_047179153	na	689	0.5028114318847656	0.25468436	Yes	
row_11	XM_047175635	na	788	0.4737014174461365	0.26868218	Yes	
row_12	XM_047178210	na	892	0.4514380395412445	0.28140867	Yes	
row_13	XM_047171031	na	943	0.43964529037475586	0.2970155	Yes	
row_14	XM_047173676	na	946	0.438032865524292	0.31561872	Yes	
row_15	XM_047177746	na	1078	0.42153528332710266	0.3252784	Yes	
row_16	XM_047174491	na	1203	0.4042242467403412	0.33464488	Yes	
row_17	XM_047170743	na	1244	0.39679646492004395	0.34905803	Yes	
row_18	XM_047172541	na	1251	0.39587369561195374	0.36560303	Yes	
row_19	XM_047166626	na	1343	0.38441210985183716	0.3762297	Yes	
row_20	XM_047185425	na	1461	0.38276559114456177	0.3851256	Yes	
row_21	XM_047185043	na	1613	0.3750622272491455	0.3915208	Yes	
row_22	XM_047175431	na	1626	0.37169763445854187	0.4066488	Yes	
row_23	XM_047175523	na	2054	0.34375327825546265	0.39407957	Yes	
row_24	XM_047183524	na	2097	0.3373853862285614	0.4058245	Yes	
row_25	XM_047185520	na	2110	0.3352121412754059	0.41939235	Yes	
row_26	XM_047180774	na	2161	0.32824110984802246	0.4302354	Yes	
row_27	XM_047175108	na	2169	0.3271750509738922	0.44377884	Yes	
row_28	XM_047186477	na	2257	0.3144910931587219	0.45167106	Yes	
row_29	XM_047172097	na	2266	0.3133728504180908	0.46456045	Yes	
row_30	XM_047172323	na	2284	0.31128865480422974	0.476786	Yes	
row_31	XM_047167454	na	2491	0.2842061519622803	0.4757837	Yes	
row_32	XM_047169126	na	2531	0.27944621443748474	0.48524266	Yes	
row_33	XM_047177850	na	2543	0.27786028385162354	0.4964219	Yes	
row_34	XM_047186338	na	2614	0.26912936568260193	0.50346	Yes	
row_35	XM_047180315	na	2647	0.26531702280044556	0.51276183	Yes	
row_36	XM_047167386	na	2700	0.25762927532196045	0.5204577	Yes	
row_37	XM_047166703	na	2703	0.2570706903934479	0.53132266	Yes	
row_38	XM_047185496	na	2726	0.25442826747894287	0.5407975	Yes	
row_39	XM_047164582	na	2803	0.24570515751838684	0.54645073	Yes	
row_40	XM_047172642	na	2944	0.23238107562065125	0.54744714	Yes	
row_41	XM_047172134	na	2989	0.2275652140378952	0.5543683	Yes	
row_42	XM_047177013	na	3220	0.20318010449409485	0.5483686	Yes	
row_43	XM_047185560	na	3221	0.20317819714546204	0.5570568	Yes	
row_44	XM_047173647	na	3251	0.20005688071250916	0.5637595	Yes	
row_45	XM_047182227	na	3269	0.19924138486385345	0.57119375	Yes	
row_46	XM_047167015	na	3322	0.19380627572536469	0.57616043	Yes	
row_47	XM_047174897	na	3344	0.19199547171592712	0.5830293	Yes	
row_48	XM_047185543	na	3597	0.16752837598323822	0.57410014	No	
row_49	XM_047186442	na	3729	0.15123027563095093	0.5722012	No	
row_50	XM_047175511	na	3769	0.14849215745925903	0.57606035	No	
row_51	XM_047174392	na	3911	0.13513119518756866	0.5728344	No	
row_52	XM_047171808	na	3947	0.1310841590166092	0.57620454	No	
row_53	XM_047182592	na	4030	0.12408092617988586	0.57627386	No	
row_54	XM_047167005	na	4108	0.11842795461416245	0.5764207	No	
row_55	XM_047165417	na	4238	0.10546538978815079	0.5726925	No	
row_56	XM_047173646	na	4321	0.0982634574174881	0.5716578	No	
row_57	XM_047179396	na	4423	0.08916889131069183	0.5690208	No	
row_58	XM_047170819	na	4970	0.04245990142226219	0.53596836	No	
row_59	XM_047179171	na	5226	0.02404779940843582	0.5207121	No	
row_60	XM_047164789	na	5788	0.0	0.48488605	No	
row_61	XM_047174738	na	6843	0.0	0.41757652	No	
row_62	XM_047176934	na	7075	0.0	0.4028246	No	
row_63	XM_047179729	na	7361	0.0	0.3846242	No	
row_64	XM_047180236	na	7429	0.0	0.38034552	No	
row_65	XM_047182595	na	7707	0.0	0.36265603	No	
row_66	XM_047175126	na	8624	-0.008021458983421326	0.30450234	No	
row_67	XM_047179504	na	8648	-0.010379312559962273	0.30347735	No	
row_68	XM_047169223	na	8715	-0.01502013485878706	0.29990482	No	
row_69	XM_047166979	na	9027	-0.03605065494775772	0.2815856	No	
row_70	XM_047166482	na	9085	-0.041428305208683014	0.27971706	No	
row_71	XM_047178551	na	9127	-0.04482124373316765	0.2790154	No	
row_72	XM_047179730	na	9746	-0.09281374514102936	0.24351813	No	
row_73	XM_047171447	na	10073	-0.11952944099903107	0.22781068	No	
row_74	XM_047172924	na	10091	-0.11955095827579498	0.23183723	No	
row_75	XM_047176103	na	10127	-0.12249819934368134	0.23484029	No	
row_76	XM_047168652	na	10347	-0.14140650629997253	0.22690149	No	
row_77	XM_047165387	na	11043	-0.20116493105888367	0.19112018	No	
row_78	XM_047184230	na	11219	-0.21684865653514862	0.18921727	No	
row_79	XM_047175473	na	11814	-0.2759164869785309	0.16308242	No	
row_80	XM_047168477	na	12265	-0.320855051279068	0.1480652	No	
row_81	XM_047177243	na	12420	-0.33974942564964294	0.15275879	No	
row_82	XM_047176119	na	13403	-0.39322584867477417	0.10686218	No	
row_83	XM_047176215	na	14296	-0.48086485266685486	0.07046064	No	
row_84	XM_047176933	na	14518	-0.511730968952179	0.07822974	No	
