NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047172261	na	205	0.6915104985237122	0.05699997	Yes	
row_1	XM_047173372	na	381	0.6276878714561462	0.109445535	Yes	
row_2	XM_047184899	na	778	0.47589755058288574	0.13242051	Yes	
row_3	XM_047167781	na	931	0.4427969455718994	0.16759771	Yes	
row_4	XM_047166952	na	1318	0.38470396399497986	0.18196973	Yes	
row_5	XM_047164500	na	1321	0.3845481872558594	0.22080794	Yes	
row_6	XM_047163578	na	1651	0.36842089891433716	0.23716405	Yes	
row_7	XM_047171866	na	1683	0.36842089891433716	0.2725192	Yes	
row_8	XM_047169951	na	2194	0.3231799900531769	0.27275145	Yes	
row_9	XM_047175591	na	2268	0.31328240036964417	0.2998418	Yes	
row_10	XM_047175248	na	2301	0.30968764424324036	0.32918182	Yes	
row_11	XM_047169865	na	2457	0.28856539726257324	0.3485397	Yes	
row_12	XM_047173783	na	2689	0.259304940700531	0.36008725	Yes	
row_13	XM_047175286	na	2894	0.23605534434318542	0.37100035	Yes	
row_14	XM_047183723	na	2974	0.2296215295791626	0.38923094	Yes	
row_15	XM_047173281	na	3306	0.19475077092647552	0.3878618	Yes	
row_16	XM_047172906	na	3307	0.19469648599624634	0.4075901	Yes	
row_17	XM_047165737	na	3610	0.165047749876976	0.40506008	Yes	
row_18	XM_047169991	na	3660	0.1592227965593338	0.4180699	Yes	
row_19	XM_047174428	na	3973	0.1287943720817566	0.41122884	Yes	
row_20	XM_047166538	na	4160	0.11179470270872116	0.41069838	Yes	
row_21	XM_047174436	na	4362	0.09525467455387115	0.4075356	Yes	
row_22	XM_047171474	na	4378	0.0932590588927269	0.4160291	Yes	
row_23	XM_047163287	na	4519	0.07953264564275742	0.4151623	Yes	
row_24	XM_047166325	na	4652	0.06640344858169556	0.4134752	Yes	
row_25	XM_047165674	na	4684	0.06381304562091827	0.41796485	Yes	
row_26	XM_047176849	na	4697	0.06237995624542236	0.42352068	Yes	
row_27	XM_047170382	na	4722	0.060687169432640076	0.4281399	Yes	
row_28	XM_047176850	na	4737	0.05937521159648895	0.43326372	Yes	
row_29	XM_047180113	na	4770	0.05621672421693802	0.43691993	Yes	
row_30	XM_047167202	na	4796	0.05415819585323334	0.4408138	Yes	
row_31	XM_047184811	na	5087	0.034656476229429245	0.4258365	No	
row_32	XM_047175883	na	5123	0.031177431344985962	0.42676425	No	
row_33	XM_047174321	na	5311	0.016487766057252884	0.4165127	No	
row_34	XM_047184900	na	5415	0.009619657881557941	0.41092065	No	
row_35	XM_047166953	na	5985	0.0	0.37464398	No	
row_36	XM_047169629	na	6301	0.0	0.3545611	No	
row_37	XM_047169630	na	6302	0.0	0.3545611	No	
row_38	XM_047169631	na	6303	0.0	0.3545611	No	
row_39	XM_047171473	na	6492	0.0	0.3425751	No	
row_40	XM_047173012	na	6682	0.0	0.3305254	No	
row_41	XM_047174426	na	6811	0.0	0.32236472	No	
row_42	XM_047175592	na	6943	0.0	0.3140128	No	
row_43	XM_047175593	na	6944	0.0	0.3140128	No	
row_44	XM_047176852	na	7069	0.0	0.30610716	No	
row_45	XM_047183724	na	7819	0.0	0.2583545	No	
row_46	XM_047186030	na	8055	0.0	0.24337205	No	
row_47	XM_047186448	na	8098	0.0	0.24069434	No	
row_48	XM_047184898	na	8912	-0.02686520852148533	0.19158359	No	
row_49	XM_047171717	na	8932	-0.028302989900112152	0.19324015	No	
row_50	XM_047176079	na	9963	-0.11105142533779144	0.138825	No	
row_51	XM_047170728	na	10456	-0.15049931406974792	0.12270733	No	
row_52	XM_047174910	na	10659	-0.16690438985824585	0.12674098	No	
row_53	XM_047181206	na	10893	-0.1872747540473938	0.1308623	No	
row_54	XM_047186465	na	11119	-0.2074129581451416	0.13753425	No	
row_55	XM_047165496	na	11126	-0.20813846588134766	0.15824209	No	
row_56	XM_047174908	na	13749	-0.423103392124176	0.033948485	No	
row_57	XM_047169914	na	13936	-0.4402311444282532	0.06669802	No	
row_58	XM_047186055	na	14274	-0.4780857563018799	0.09365628	No	
