NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047183219	na	56	0.9855321049690247	0.19001761	Yes	
row_1	XM_047181370	na	445	0.598842442035675	0.28297424	Yes	
row_2	XM_047164472	na	476	0.584205150604248	0.39581633	Yes	
row_3	XM_047180008	na	920	0.4440866708755493	0.45487916	Yes	
row_4	XM_047185473	na	1562	0.38124948740005493	0.48901132	Yes	
row_5	XM_047185474	na	1563	0.38124948740005493	0.56389624	Yes	
row_6	XM_047163564	na	2911	0.23450514674186707	0.52431965	Yes	
row_7	XM_047176257	na	3012	0.22592024505138397	0.56233716	Yes	
row_8	XM_047182976	na	3053	0.22080211341381073	0.60316396	Yes	
row_9	XM_047176639	na	3195	0.20735877752304077	0.634929	Yes	
row_10	XM_047168297	na	4401	0.09129598736763	0.57625127	No	
row_11	XM_047183927	na	9092	-0.04189112037420273	0.28630415	No	
row_12	XM_047181255	na	10330	-0.1395217925310135	0.23506445	No	
row_13	XM_047165611	na	10795	-0.1784362941980362	0.24061319	No	
row_14	XM_047178858	na	13162	-0.37624263763427734	0.16409187	No	
