NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047168599	na	47	1.0164177417755127	0.04683018	Yes	
row_1	XM_047177671	na	51	0.992631196975708	0.09530267	Yes	
row_2	XM_047173927	na	143	0.7583717107772827	0.12667364	Yes	
row_3	XM_047164715	na	366	0.6359023451805115	0.14367898	Yes	
row_4	XM_047177405	na	404	0.6139463782310486	0.1714162	Yes	
row_5	XM_047183623	na	489	0.5789297819137573	0.19443677	Yes	
row_6	XM_047173283	na	590	0.5390510559082031	0.21448104	Yes	
row_7	XM_047164094	na	606	0.5336915850639343	0.23968796	Yes	
row_8	XM_047181141	na	627	0.5239741802215576	0.26409936	Yes	
row_9	XM_047170013	na	758	0.48104599118232727	0.27938506	Yes	
row_10	XM_047166663	na	836	0.46104392409324646	0.29707304	Yes	
row_11	XM_047175924	na	874	0.4544447660446167	0.31699064	Yes	
row_12	XM_047167011	na	948	0.4367758631706238	0.33374423	Yes	
row_13	XM_047175438	na	1070	0.423575758934021	0.3467869	Yes	
row_14	XM_047175077	na	1307	0.3867310881614685	0.35068294	Yes	
row_15	XM_047172211	na	1315	0.3851640224456787	0.3691189	Yes	
row_16	XM_047168963	na	1610	0.37611687183380127	0.36879256	Yes	
row_17	XM_047166092	na	1631	0.37066543102264404	0.38568795	Yes	
row_18	XM_047183443	na	1814	0.3620702922344208	0.39182174	Yes	
row_19	XM_047170134	na	1847	0.3535252809524536	0.4071109	Yes	
row_20	XM_047178886	na	1848	0.35305753350257874	0.42441964	Yes	
row_21	XM_047182127	na	2133	0.3321892321109772	0.422578	Yes	
row_22	XM_047184772	na	2198	0.3223109841346741	0.43429437	Yes	
row_23	XM_047180049	na	2327	0.3074004054069519	0.4411947	Yes	
row_24	XM_047169864	na	2380	0.2978097200393677	0.45247582	Yes	
row_25	XM_047164322	na	2400	0.29455554485321045	0.46570373	Yes	
row_26	XM_047166446	na	2497	0.2836746275424957	0.4734834	Yes	
row_27	XM_047174505	na	2534	0.2792056202888489	0.4848737	Yes	
row_28	XM_047165757	na	2624	0.2682499289512634	0.492344	Yes	
row_29	XM_047170922	na	2742	0.2531128227710724	0.49728498	Yes	
row_30	XM_047185885	na	2773	0.249696746468544	0.5076116	Yes	
row_31	XM_047183513	na	2872	0.23859184980392456	0.5130534	Yes	
row_32	XM_047167910	na	3000	0.22681404650211334	0.5160668	Yes	
row_33	XM_047175300	na	3037	0.22275058925151825	0.5246894	Yes	
row_34	XM_047169081	na	3239	0.2018883377313614	0.5217575	No	
row_35	XM_047168910	na	3722	0.15172524750232697	0.49843055	No	
row_36	XM_047184870	na	3764	0.14893507957458496	0.5031152	No	
row_37	XM_047185178	na	3837	0.1430639922618866	0.5055333	No	
row_38	XM_047165989	na	3908	0.1353781372308731	0.50770223	No	
row_39	XM_047169066	na	4022	0.1247633770108223	0.50660616	No	
row_40	XM_047184534	na	4391	0.09214300662279129	0.48763463	No	
row_41	XM_047185882	na	4433	0.08828956633806229	0.4893461	No	
row_42	XM_047163362	na	4719	0.060815151780843735	0.47413644	No	
row_43	XM_047172354	na	4991	0.041290633380413055	0.45886323	No	
row_44	XM_047179595	na	5038	0.038528863340616226	0.457816	No	
row_45	XM_047184820	na	5165	0.027801277115941048	0.4511366	No	
row_46	XM_047182270	na	5255	0.022428087890148163	0.4465554	No	
row_47	XM_047183311	na	5284	0.019240915775299072	0.4457115	No	
row_48	XM_047177924	na	5351	0.01362606417387724	0.44216684	No	
row_49	XM_047163361	na	5451	0.0075821541249752045	0.43621954	No	
row_50	XM_047172247	na	5531	0.0031644960399717093	0.43133223	No	
row_51	XM_047167116	na	5996	0.0	0.40171584	No	
row_52	XM_047172532	na	6620	0.0	0.36195073	No	
row_53	XM_047177329	na	7116	0.0	0.33035564	No	
row_54	XM_047180046	na	7410	0.0	0.3116539	No	
row_55	XM_047173826	na	8663	-0.011373608373105526	0.23229831	No	
row_56	XM_047171637	na	8700	-0.014136649668216705	0.23069355	No	
row_57	XM_047171638	na	8774	-0.018973976373672485	0.22696428	No	
row_58	XM_047170952	na	8855	-0.023526715114712715	0.2230114	No	
row_59	XM_047169843	na	9281	-0.054617319256067276	0.19856195	No	
row_60	XM_047167422	na	9335	-0.05925681069493294	0.19808412	No	
row_61	XM_047180108	na	9775	-0.09538675844669342	0.1747398	No	
row_62	XM_047167554	na	9912	-0.10664016753435135	0.1712872	No	
row_63	XM_047169299	na	10052	-0.11767755448818207	0.1681842	No	
row_64	XM_047172924	na	10091	-0.11955095827579498	0.17161974	No	
row_65	XM_047172530	na	10278	-0.13469630479812622	0.16635117	No	
row_66	XM_047165778	na	10380	-0.14369702339172363	0.16694927	No	
row_67	XM_047167022	na	10575	-0.16074791550636292	0.16244726	No	
row_68	XM_047166417	na	10882	-0.18625560402870178	0.152047	No	
row_69	XM_047177935	na	11035	-0.19985243678092957	0.15214288	No	
row_70	XM_047174713	na	11675	-0.2614120543003082	0.1241723	No	
row_71	XM_047178483	na	11915	-0.2869366705417633	0.12298444	No	
row_72	XM_047184812	na	12411	-0.3380551338195801	0.1079626	No	
row_73	XM_047166307	na	13044	-0.3701314330101013	0.085768804	No	
row_74	XM_047167086	na	13070	-0.37311914563179016	0.102465354	No	
row_75	XM_047176726	na	14135	-0.46014198660850525	0.057110466	No	
row_76	XM_047163787	na	15563	-0.9273176193237305	0.011489256	No	
