NAME	TITLE	SCORE	
XM_047183804	na	2.6849465	
XM_047162998	na	2.0257556	
XM_047164823	na	1.7439818	
XM_047183609	na	1.6444392	
XM_047165892	na	1.5948603	
XM_047186462	na	1.5170541	
XM_047185337	na	1.5075049	
XM_047172499	na	1.4971554	
XM_047177158	na	1.3868669	
XM_047185910	na	1.353972	
XM_047179079	na	1.2808223	
XM_047176250	na	1.2764946	
XM_047166391	na	1.2147033	
XR_006985089	na	1.2054527	
XR_006985402	na	1.2003646	
XM_047174782	na	1.1757039	
XM_047169585	na	1.1719507	
XM_047172049	na	1.149764	
XM_047168511	na	1.1468445	
XM_047178430	na	1.1445239	
XM_047186105	na	1.1288892	
XR_006985812	na	1.1284953	
XM_047170683	na	1.1184944	
XM_047184040	na	1.1168219	
XM_047171045	na	1.1154498	
XM_047166229	na	1.1083921	
XM_047178020	na	1.1020501	
XM_047180602	na	1.1020501	
XM_047185916	na	1.1020501	
XM_047174549	na	1.1013921	
XM_047172022	na	1.0825902	
XM_047172306	na	1.08234	
XM_047172880	na	1.0771685	
XM_047182200	na	1.0771685	
XM_047186153	na	1.0771685	
XR_006984925	na	1.0771685	
XM_047166861	na	1.0701847	
XM_047163094	na	1.0677159	
XM_047169032	na	1.0677159	
XM_047170175	na	1.0677159	
XM_047176384	na	1.0677159	
XM_047177130	na	1.0500959	
XM_047185393	na	1.0449679	
XM_047183951	na	1.0428936	
XM_047168210	na	1.0296634	
XM_047170859	na	1.0260384	
XM_047172579	na	1.0187773	
XM_047168599	na	1.0164177	
XM_047168626	na	1.0056896	
XM_047171300	na	1.0046701	
XM_047169215	na	0.99628305	
XM_047177671	na	0.9926312	
XM_047179135	na	0.99066234	
XM_047182571	na	0.9892871	
XM_047186111	na	0.9892871	
XR_006984361	na	0.9868494	
XM_047183219	na	0.9855321	
XM_047174796	na	0.9852933	
XM_047163973	na	0.9734636	
XM_047176981	na	0.9704746	
XM_047165123	na	0.97032523	
XM_047165759	na	0.9654445	
XM_047179651	na	0.9606189	
XM_047177773	na	0.95977455	
XR_006984475	na	0.94951564	
XM_047169394	na	0.94909424	
XR_006985458	na	0.9482356	
XM_047172013	na	0.9473452	
XR_006985915	na	0.94333863	
XM_047173147	na	0.9386178	
XM_047177250	na	0.9376065	
XM_047181411	na	0.9366997	
XM_047173470	na	0.93613434	
XM_047169620	na	0.92749983	
XM_047169406	na	0.92645913	
XM_047183604	na	0.9246743	
XM_047185308	na	0.923309	
XM_047172946	na	0.9225006	
XM_047173240	na	0.91975385	
XM_047185495	na	0.9175422	
XM_047185405	na	0.9145057	
XM_047173550	na	0.91048056	
XM_047169531	na	0.90852255	
XM_047169163	na	0.9017564	
XM_047166156	na	0.8939154	
XM_047164161	na	0.8883005	
XM_047182153	na	0.87516695	
XM_047179326	na	0.8635852	
unassigned_transcript_524	na	0.8627719	
XM_047183645	na	0.8624213	
XM_047179596	na	0.8622484	
XM_047182103	na	0.8619921	
XM_047170915	na	0.8576665	
XM_047178838	na	0.856386	
XM_047184174	na	0.8556628	
XM_047183396	na	0.854866	
XR_006984897	na	0.85082406	
XM_047186035	na	0.849145	
XM_047181408	na	0.8490752	
XM_047179390	na	0.84685874	
XR_006984683	na	0.8451158	
XM_047169085	na	0.84423435	
XM_047183338	na	0.84423435	
XM_047164602	na	0.8421427	
XM_047164490	na	0.8419572	
XM_047162849	na	0.8403125	
XM_047183699	na	0.83760726	
XM_047185595	na	0.83753973	
XM_047185584	na	0.83138734	
XM_047176728	na	0.8309271	
XM_047177763	na	0.82805926	
