NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047173805	na	52	3.653282642364502	0.0407214	Yes	
row_1	XM_047179055	na	75	3.2960915565490723	0.07905384	Yes	
row_2	XM_047177572	na	93	3.1396570205688477	0.11581983	Yes	
row_3	XM_047165791	na	105	3.0427377223968506	0.15180083	Yes	
row_4	XM_047170620	na	143	2.742729663848877	0.18250307	Yes	
row_5	XM_047169878	na	173	2.578770160675049	0.21173988	Yes	
row_6	XM_047178591	na	195	2.4894425868988037	0.24041107	Yes	
row_7	XM_047173924	na	216	2.355297803878784	0.26752886	Yes	
row_8	XM_047175141	na	235	2.2787177562713623	0.29385126	Yes	
row_9	XM_047170847	na	245	2.2531721591949463	0.32044086	Yes	
row_10	XM_047179432	na	279	2.1244122982025146	0.34394416	Yes	
row_11	XM_047170336	na	307	2.032421588897705	0.3667219	Yes	
row_12	XM_047169860	na	345	1.894086480140686	0.38719267	Yes	
row_13	XM_047165242	na	365	1.8475534915924072	0.4082529	Yes	
row_14	XM_047181905	na	366	1.8450982570648193	0.43049788	Yes	
row_15	XM_047179377	na	380	1.8120288848876953	0.4515133	Yes	
row_16	XM_047185986	na	387	1.796367883682251	0.4727873	Yes	
row_17	XM_047164512	na	424	1.7003568410873413	0.49098635	Yes	
row_18	XM_047167814	na	431	1.685486078262329	0.5109235	Yes	
row_19	XM_047177546	na	432	1.6841938495635986	0.5312286	Yes	
row_20	XM_047178600	na	437	1.6811668872833252	0.5512415	Yes	
row_21	XM_047181906	na	461	1.6286940574645996	0.56940746	Yes	
row_22	XM_047164511	na	513	1.5132206678390503	0.58439165	Yes	
row_23	XM_047170846	na	623	1.3383821249008179	0.5935609	Yes	
row_24	XM_047170603	na	625	1.336195945739746	0.6096065	Yes	
row_25	XM_047170288	na	630	1.332674503326416	0.62541795	Yes	
row_26	XM_047168500	na	876	1.0576075315475464	0.6225098	Yes	
row_27	XM_047177658	na	1067	0.9309108853340149	0.62158936	Yes	
row_28	XM_047171336	na	1356	0.7578878402709961	0.6123194	Yes	
row_29	XM_047182289	na	1408	0.7343090176582336	0.6179128	Yes	
row_30	XM_047168501	na	1462	0.7141618728637695	0.6231355	Yes	
row_31	XM_047175221	na	1464	0.7133708000183105	0.63167214	Yes	
row_32	XM_047167367	na	1719	0.6275312304496765	0.62300366	Yes	
row_33	XM_047170683	na	1767	0.6172894239425659	0.62744194	Yes	
row_34	XM_047166372	na	1835	0.6037034392356873	0.6304381	Yes	
row_35	XM_047177007	na	1861	0.5999524593353271	0.6360734	Yes	
row_36	XM_047169106	na	1886	0.5932063460350037	0.6416913	Yes	
row_37	XM_047174587	na	2051	0.5563279986381531	0.6379166	No	
row_38	XM_047172659	na	2436	0.46722909808158875	0.6190067	No	
row_39	XM_047178824	na	2649	0.42567527294158936	0.6105889	No	
row_40	XM_047177318	na	2823	0.4003002345561981	0.6043579	No	
row_41	XM_047166605	na	2979	0.3792822062969208	0.59902394	No	
row_42	XM_047169899	na	3129	0.34978851675987244	0.5937179	No	
row_43	XM_047167670	na	3418	0.33375051617622375	0.57933444	No	
row_44	XM_047167678	na	3419	0.33375051617622375	0.5833582	No	
row_45	XM_047168641	na	3426	0.33375051617622375	0.5869985	No	
row_46	XM_047181872	na	4161	0.24146905541419983	0.54299676	No	
row_47	XM_047177659	na	4332	0.21399123966693878	0.5347113	No	
row_48	XM_047186220	na	4348	0.21247132122516632	0.5363142	No	
row_49	XM_047168640	na	4390	0.20502571761608124	0.5361656	No	
row_50	XM_047184400	na	4657	0.1701585054397583	0.5212159	No	
row_51	XM_047184671	na	5088	0.09608426690101624	0.49489126	No	
row_52	XM_047185589	na	5195	0.07867638766765594	0.4890649	No	
row_53	XM_047185695	na	5226	0.07386178523302078	0.48803797	No	
row_54	XM_047178248	na	5257	0.06964021176099777	0.48696014	No	
row_55	XM_047170384	na	5415	0.04986589029431343	0.47752684	No	
row_56	XM_047169107	na	5686	0.02586030773818493	0.4605818	No	
row_57	XM_047180373	na	5918	0.003074266482144594	0.44585472	No	
row_58	XM_047166373	na	6114	0.0	0.43339145	No	
row_59	XM_047167366	na	6171	0.0	0.42981228	No	
row_60	XM_047170200	na	6308	0.0	0.42111996	No	
row_61	XM_047170822	na	6351	0.0	0.41843557	No	
row_62	XM_047175182	na	6599	0.0	0.40264878	No	
row_63	XM_047175220	na	6600	0.0	0.40264878	No	
row_64	XM_047175222	na	6601	0.0	0.40264878	No	
row_65	XM_047171166	na	7669	-0.016058417037129402	0.33464605	No	
row_66	XM_047178227	na	7698	-0.019079899415373802	0.3330865	No	
row_67	XM_047174813	na	7856	-0.04231727868318558	0.32356215	No	
row_68	XM_047183360	na	8744	-0.15786311030387878	0.2687736	No	
row_69	XM_047170604	na	8770	-0.16051709651947021	0.26911098	No	
row_70	XM_047170379	na	8913	-0.18229541182518005	0.26223296	No	
row_71	XM_047184593	na	9126	-0.21053247153759003	0.25122142	No	
row_72	XM_047173638	na	9153	-0.21468186378479004	0.2521479	No	
row_73	XM_047174117	na	9177	-0.21799145638942719	0.25330606	No	
row_74	XM_047186278	na	9321	-0.23902374505996704	0.24704807	No	
row_75	XM_047185919	na	9973	-0.3160458505153656	0.20925032	No	
row_76	XM_047185016	na	9990	-0.3181363046169281	0.21206322	No	
row_77	XM_047176768	na	10217	-0.3235934376716614	0.20151997	No	
row_78	XM_047177309	na	10664	-0.35349249839782715	0.17727607	No	
row_79	XM_047184594	na	10928	-0.3854749798774719	0.16511406	No	
row_80	XM_047169898	na	11013	-0.3929043412208557	0.16448224	No	
row_81	XM_047178249	na	11071	-0.3953299820423126	0.16560532	No	
row_82	XM_047185017	na	11080	-0.3953299820423126	0.16986021	No	
row_83	XM_047184078	na	11174	-0.4094591736793518	0.16885276	No	
row_84	XM_047182159	na	11260	-0.4222423732280731	0.16851072	No	
row_85	XM_047163641	na	11404	-0.44166430830955505	0.16469583	No	
row_86	XM_047164513	na	11521	-0.46176549792289734	0.16284895	No	
row_87	XM_047169543	na	11625	-0.4785730838775635	0.1620356	No	
row_88	XM_047169067	na	11651	-0.48128554224967957	0.16624026	No	
row_89	XM_047172138	na	12177	-0.567749559879303	0.1395303	No	
row_90	XM_047182895	na	12779	-0.6400082111358643	0.10883403	No	
row_91	XM_047182158	na	12794	-0.6410750150680542	0.1156682	No	
row_92	XM_047174988	na	12932	-0.6700718998908997	0.11499053	No	
row_93	XM_047175184	na	13285	-0.7315138578414917	0.10131209	No	
row_94	XM_047178518	na	13741	-0.8174285888671875	0.08208631	No	
row_95	XM_047173335	na	14017	-0.8730759024620056	0.07503596	No	
row_96	XM_047181874	na	14352	-0.946906328201294	0.065104805	No	
row_97	XM_047171167	na	15634	-1.9687612056732178	0.006966746	No	
