NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047177150	na	402	1.775760293006897	-0.001902387	No	
row_1	XM_047185236	na	584	1.39484441280365	0.0052151997	No	
row_2	XM_047177406	na	1619	0.6561055183410645	-0.052070834	No	
row_3	XM_047168763	na	2107	0.5427103042602539	-0.075921476	No	
row_4	XM_047179649	na	2866	0.3954908847808838	-0.11906151	No	
row_5	XM_047167523	na	3045	0.36544349789619446	-0.12554096	No	
row_6	XM_047164003	na	3097	0.35523220896720886	-0.12404165	No	
row_7	XM_047176501	na	3518	0.33256033062934875	-0.1464258	No	
row_8	XM_047167316	na	3680	0.316517174243927	-0.15247428	No	
row_9	XM_047184933	na	3975	0.26982632279396057	-0.16764712	No	
row_10	XM_047175460	na	4292	0.22185805439949036	-0.18486834	No	
row_11	XM_047178289	na	4347	0.21253131330013275	-0.1854722	No	
row_12	XM_047184647	na	5100	0.0941908061504364	-0.23226471	No	
row_13	XM_047164128	na	5541	0.039660245180130005	-0.25985026	No	
row_14	XM_047164132	na	6018	0.0	-0.29026756	No	
row_15	XM_047165595	na	6096	0.0	-0.295188	No	
row_16	XM_047165596	na	6097	0.0	-0.295188	No	
row_17	XM_047175413	na	6615	0.0	-0.32822526	No	
row_18	XM_047176148	na	6658	0.0	-0.33090913	No	
row_19	XM_047179421	na	6837	0.0	-0.34228367	No	
row_20	XM_047185293	na	7171	0.0	-0.36356297	No	
row_21	XM_047168538	na	7580	-0.006602094508707523	-0.38954648	No	
row_22	XM_047176732	na	8152	-0.08390609920024872	-0.42491055	No	
row_23	XM_047184984	na	8989	-0.19344660639762878	-0.47574127	No	
row_24	XM_047176228	na	9275	-0.23111115396022797	-0.4908576	No	
row_25	XM_047170136	na	9679	-0.2888724207878113	-0.5127406	No	
row_26	XM_047166360	na	9724	-0.2980138957500458	-0.51156044	No	
row_27	XM_047184983	na	9900	-0.31100112199783325	-0.5185774	No	
row_28	XM_047168812	na	10174	-0.3235934376716614	-0.5316881	No	
row_29	XM_047182102	na	10438	-0.3268972635269165	-0.54411554	No	
row_30	XM_047177483	na	10663	-0.3534856140613556	-0.55369467	No	
row_31	XM_047163421	na	10739	-0.3636523485183716	-0.55361617	No	
row_32	XM_047185556	na	10924	-0.3850458264350891	-0.5602165	No	
row_33	XM_047185126	na	11110	-0.3991813063621521	-0.56669134	No	
row_34	XM_047168844	na	11140	-0.4047943651676178	-0.5631223	No	
row_35	XM_047175106	na	11197	-0.4139328598976135	-0.5611562	No	
row_36	XM_047182803	na	11242	-0.4204534888267517	-0.55833596	No	
row_37	XM_047177121	na	11332	-0.43008366227149963	-0.5582623	No	
row_38	XM_047164206	na	11333	-0.43019530177116394	-0.55249983	No	
row_39	XM_047171186	na	11365	-0.4362938702106476	-0.5486367	No	
row_40	XM_047167328	na	11742	-0.49773213267326355	-0.5659967	No	
row_41	XM_047174323	na	11929	-0.5248709321022034	-0.57085186	No	
row_42	XM_047178277	na	12179	-0.5679168701171875	-0.5791562	No	
row_43	XM_047184870	na	12334	-0.5869149565696716	-0.5811354	Yes	
row_44	XM_047181963	na	12432	-0.5917324423789978	-0.5794077	Yes	
row_45	XM_047167336	na	12485	-0.5977473258972168	-0.5747238	Yes	
row_46	XM_047180814	na	12557	-0.6092848181724548	-0.5710995	Yes	
row_47	XM_047174867	na	12682	-0.6256790161132812	-0.5706424	Yes	
row_48	XM_047177763	na	12764	-0.6381656527519226	-0.5672703	Yes	
row_49	XM_047184212	na	12838	-0.6486518383026123	-0.5632465	Yes	
row_50	XM_047179420	na	13105	-0.6987701654434204	-0.5708844	Yes	
