NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047177514	na	5327	0.13457468152046204	-0.31998324	No	
row_1	XM_047174731	na	7202	0.0	-0.43912622	No	
row_2	XM_047177818	na	7455	0.0	-0.4551476	No	
row_3	XM_047182353	na	7866	0.0	-0.4812141	No	
row_4	XM_047174771	na	9080	-0.07410091906785965	-0.5480412	No	
row_5	XM_047174730	na	10339	-0.27138635516166687	-0.5903292	No	
row_6	XM_047168409	na	10420	-0.2828473746776581	-0.55613184	No	
row_7	XM_047174772	na	10436	-0.2859661877155304	-0.5173688	No	
row_8	XM_047176959	na	13323	-0.566794753074646	-0.62213176	Yes	
row_9	XM_047169202	na	13849	-0.6453565359115601	-0.56587875	Yes	
row_10	XM_047179623	na	13875	-0.6511240005493164	-0.47703627	Yes	
row_11	XM_047174656	na	14173	-0.720504641532898	-0.3958507	Yes	
row_12	XM_047168007	na	14908	-0.9699611067771912	-0.30780223	Yes	
row_13	XM_047164005	na	15300	-1.2141225337982178	-0.16403636	Yes	
row_14	XM_047173761	na	15442	-1.383419156074524	0.01913662	Yes	
