NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047185291	na	4706	0.23116503655910492	-0.2870437	No	
row_1	XM_047173943	na	4733	0.22756987810134888	-0.27638254	No	
row_2	XM_047179738	na	5787	0.06862498819828033	-0.33969593	No	
row_3	XM_047167029	na	6201	0.0019456836162135005	-0.3658796	No	
row_4	XM_047167030	na	6538	0.0	-0.38726726	No	
row_5	XM_047182806	na	7916	0.0	-0.47491843	No	
row_6	XM_047180159	na	9341	-0.11321397870779037	-0.5594342	No	
row_7	XM_047179054	na	9681	-0.16371235251426697	-0.5721526	No	
row_8	XM_047169128	na	10275	-0.2591167092323303	-0.5958758	No	
row_9	XM_047164555	na	10329	-0.26888030767440796	-0.58469754	No	
row_10	XM_047185403	na	10607	-0.2888621985912323	-0.5866963	No	
row_11	XM_047170959	na	11683	-0.3802085220813751	-0.6345471	Yes	
row_12	XM_047175058	na	11687	-0.38110727071762085	-0.61411244	Yes	
row_13	XM_047173940	na	12073	-0.42274993658065796	-0.61573976	Yes	
row_14	XM_047170072	na	12418	-0.4690260589122772	-0.61225283	Yes	
row_15	XM_047185401	na	12442	-0.4722725450992584	-0.5881573	Yes	
row_16	XM_047175760	na	13059	-0.5421186089515686	-0.5980284	Yes	
row_17	XM_047182792	na	13245	-0.5594053864479065	-0.57952917	Yes	
row_18	XM_047182814	na	13586	-0.6036511063575745	-0.56850165	Yes	
row_19	XM_047165192	na	13823	-0.6398468613624573	-0.54889524	Yes	
row_20	XM_047178303	na	13906	-0.6595091223716736	-0.518422	Yes	
row_21	XM_047171056	na	13907	-0.6597515344619751	-0.48271608	Yes	
row_22	XM_047173607	na	14115	-0.706271231174469	-0.4576688	Yes	
row_23	XM_047174245	na	14231	-0.7420921325683594	-0.42482674	Yes	
row_24	XM_047178250	na	14403	-0.7930406332015991	-0.39279193	Yes	
row_25	XM_047180160	na	14464	-0.81461101770401	-0.3525242	Yes	
row_26	XM_047170743	na	14536	-0.8368864059448242	-0.31175107	Yes	
row_27	XM_047165489	na	14617	-0.8611180186271667	-0.2702394	Yes	
row_28	XM_047176727	na	14642	-0.8695421814918518	-0.22470723	Yes	
row_29	XM_047185702	na	14879	-0.9588416814804077	-0.18783672	Yes	
row_30	XM_047163640	na	15076	-1.0587763786315918	-0.14301157	Yes	
row_31	XM_047170552	na	15142	-1.1089588403701782	-0.08713189	Yes	
row_32	XM_047169053	na	15158	-1.1176937818527222	-0.027596787	Yes	
row_33	XM_047182798	na	15274	-1.1967893838882446	0.029853621	Yes	
