NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047177572	na	112	2.840240478515625	0.05818855	Yes	
row_1	XM_047179055	na	183	2.5087575912475586	0.11142865	Yes	
row_2	XM_047170288	na	202	2.4306888580322266	0.16618556	Yes	
row_3	XM_047178591	na	261	2.2281546592712402	0.21373644	Yes	
row_4	XM_047179432	na	309	2.1189870834350586	0.25947726	Yes	
row_5	XM_047174587	na	318	2.100611925125122	0.3072797	Yes	
row_6	XM_047170847	na	405	1.8895097970962524	0.34525853	Yes	
row_7	XM_047170336	na	415	1.865924596786499	0.38759968	Yes	
row_8	XM_047175141	na	527	1.6862146854400635	0.41931048	Yes	
row_9	XM_047179377	na	531	1.6843183040618896	0.45785707	Yes	
row_10	XM_047172659	na	622	1.5394829511642456	0.48753083	Yes	
row_11	XM_047177546	na	862	1.2997549772262573	0.5022	Yes	
row_12	XM_047170846	na	935	1.2369989156723022	0.5260635	Yes	
row_13	XM_047178824	na	947	1.229526400566101	0.5536407	Yes	
row_14	XM_047169899	na	955	1.226589560508728	0.5814052	Yes	
row_15	XM_047180373	na	1016	1.1774896383285522	0.60466444	Yes	
row_16	XM_047164512	na	1144	1.0859142541885376	0.6215497	Yes	
row_17	XM_047170620	na	1146	1.084405541419983	0.64642626	Yes	
row_18	XM_047169878	na	1151	1.0818774700164795	0.6710536	Yes	
row_19	XM_047164511	na	1196	1.0583621263504028	0.6925922	Yes	
row_20	XM_047170384	na	1222	1.0487205982208252	0.7151193	Yes	
row_21	XM_047173924	na	1788	0.7856212854385376	0.6971983	No	
row_22	XM_047175184	na	2298	0.6436077356338501	0.6795782	No	
row_23	XM_047168640	na	2681	0.5504125356674194	0.6679044	No	
row_24	XM_047170200	na	3369	0.4097806215286255	0.63356817	No	
row_25	XM_047167670	na	3674	0.3700920045375824	0.6227156	No	
row_26	XM_047167678	na	3675	0.3700920045375824	0.6312274	No	
row_27	XM_047171336	na	3768	0.3643883466720581	0.6337477	No	
row_28	XM_047168641	na	3786	0.36419403553009033	0.6410409	No	
row_29	XM_047178518	na	3958	0.34898537397384644	0.63817483	No	
row_30	XM_047174117	na	4758	0.2238241583108902	0.5924276	No	
row_31	XM_047164513	na	6347	0.0	0.49127468	No	
row_32	XM_047166372	na	6483	0.0	0.48267543	No	
row_33	XM_047166373	na	6484	0.0	0.48267543	No	
row_34	XM_047169543	na	6747	0.0	0.46598646	No	
row_35	XM_047175182	na	7234	0.0	0.43502906	No	
row_36	XM_047178249	na	7486	0.0	0.4190408	No	
row_37	XM_047174988	na	8934	-0.05318545177578926	0.32809255	No	
row_38	XM_047184078	na	9198	-0.09242388606071472	0.31346554	No	
row_39	XM_047169860	na	9884	-0.1991327404975891	0.27441204	No	
row_40	XM_047169898	na	11499	-0.3544710874557495	0.17975543	No	
row_41	XM_047170604	na	11574	-0.36617574095726013	0.18346344	No	
row_42	XM_047178248	na	13186	-0.5551650524139404	0.0936137	No	
row_43	XM_047186278	na	13800	-0.6353057622909546	0.06917804	No	
row_44	XM_047183360	na	15710	-2.370718002319336	0.0021021443	No	
