NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047164049	na	1460	0.9263014793395996	-0.039213095	No	
row_1	XM_047176760	na	2137	0.6801281571388245	-0.04280023	No	
row_2	XM_047169457	na	2559	0.5840990543365479	-0.035725344	No	
row_3	XM_047170633	na	4470	0.27401503920555115	-0.14140631	No	
row_4	XM_047165513	na	5563	0.10166486352682114	-0.2050163	No	
row_5	XM_047173914	na	5876	0.054003000259399414	-0.2217434	No	
row_6	XM_047169664	na	5970	0.04071798175573349	-0.22530162	No	
row_7	XM_047171465	na	6014	0.03239588066935539	-0.22615996	No	
row_8	XM_047176587	na	7362	0.0	-0.31189606	No	
row_9	XM_047165408	na	8731	-0.023632720112800598	-0.39759836	No	
row_10	XM_047165310	na	9867	-0.1968034952878952	-0.45842826	No	
row_11	XM_047165167	na	9869	-0.19717341661453247	-0.44705802	No	
row_12	XM_047167055	na	10258	-0.25692182779312134	-0.45685542	No	
row_13	XM_047171958	na	10725	-0.30319520831108093	-0.46893412	No	
row_14	XM_047173153	na	11673	-0.379231721162796	-0.507219	No	
row_15	XM_047172136	na	11828	-0.3958895206451416	-0.4940638	No	
row_16	XM_047168540	na	12560	-0.48680368065834045	-0.51236236	Yes	
row_17	XM_047180773	na	12568	-0.4880567789077759	-0.48450595	Yes	
row_18	XM_047173700	na	12816	-0.5065068006515503	-0.47085553	Yes	
row_19	XM_047166520	na	12857	-0.5115942358970642	-0.44373462	Yes	
row_20	XM_047165235	na	13393	-0.5788878798484802	-0.44421798	Yes	
row_21	XM_047165081	na	13425	-0.5834619998931885	-0.41235664	Yes	
row_22	XM_047180557	na	13587	-0.603843092918396	-0.3875879	Yes	
row_23	XM_047169480	na	13945	-0.6690740585327148	-0.37151182	Yes	
row_24	XM_047179596	na	14082	-0.6985621452331543	-0.33965915	Yes	
row_25	XM_047173699	na	14409	-0.7953726053237915	-0.314286	Yes	
row_26	XM_047163289	na	14558	-0.8439370393753052	-0.27476695	Yes	
row_27	XM_047172589	na	14846	-0.9432016611099243	-0.23833896	Yes	
row_28	XM_047178315	na	14852	-0.9445424675941467	-0.18388401	Yes	
row_29	XM_047171090	na	14930	-0.979973554611206	-0.13195722	Yes	
row_30	XM_047169134	na	14956	-0.9953325390815735	-0.07582998	Yes	
row_31	XM_047175837	na	15017	-1.0311355590820312	-0.019854309	Yes	
row_32	XM_047164724	na	15181	-1.1381484270095825	0.035771042	Yes	
