NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047169855	na	8	4.240993976593018	0.025335778	Yes	
row_1	XM_047183102	na	62	3.2281436920166016	0.041593496	Yes	
row_2	XM_047170198	na	114	2.8276445865631104	0.05553894	Yes	
row_3	XM_047170670	na	115	2.814120054244995	0.07269311	Yes	
row_4	XM_047183992	na	118	2.810487985610962	0.08969608	Yes	
row_5	XM_047170422	na	135	2.733180046081543	0.105324335	Yes	
row_6	XM_047178667	na	140	2.696988344192505	0.12150637	Yes	
row_7	XM_047163897	na	174	2.55391263961792	0.1349448	Yes	
row_8	XM_047167439	na	215	2.387134552001953	0.14691487	Yes	
row_9	XM_047172943	na	254	2.2485477924346924	0.15816921	Yes	
row_10	XM_047166135	na	260	2.233569860458374	0.17146182	Yes	
row_11	XM_047174729	na	266	2.21417498588562	0.18463622	Yes	
row_12	XM_047178712	na	292	2.155409336090088	0.19616173	Yes	
row_13	XM_047167601	na	343	2.017885446548462	0.20523562	Yes	
row_14	XM_047173841	na	394	1.9042843580245972	0.21361703	Yes	
row_15	XM_047177063	na	478	1.7525136470794678	0.21894369	Yes	
row_16	XM_047175473	na	480	1.7505254745483398	0.22954993	Yes	
row_17	XM_047170421	na	481	1.746918797492981	0.2401987	Yes	
row_18	XM_047170666	na	539	1.6755146980285645	0.24673386	Yes	
row_19	XM_047165083	na	542	1.6712777614593506	0.2567925	Yes	
row_20	XM_047173285	na	543	1.6692758798599243	0.26696795	Yes	
row_21	XM_047173717	na	554	1.6481788158416748	0.2763695	Yes	
row_22	XM_047171113	na	555	1.6468069553375244	0.28640804	Yes	
row_23	XM_047178666	na	577	1.6157721281051636	0.2949022	Yes	
row_24	XM_047179223	na	599	1.5754181146621704	0.3031504	Yes	
row_25	XM_047176787	na	606	1.5659838914871216	0.31230903	Yes	
row_26	XM_047184935	na	657	1.504777193069458	0.31825513	Yes	
row_27	XM_047170719	na	693	1.4746460914611816	0.32498556	Yes	
row_28	XM_047178105	na	706	1.4616619348526	0.3331211	Yes	
row_29	XM_047174725	na	743	1.4138939380645752	0.33941665	Yes	
row_30	XM_047173730	na	759	1.3977713584899902	0.34696913	Yes	
row_31	XM_047163066	na	779	1.3837062120437622	0.3541777	Yes	
row_32	XM_047173690	na	961	1.2195963859558105	0.34993166	Yes	
row_33	XM_047186007	na	1032	1.1650880575180054	0.35251644	Yes	
row_34	XM_047168278	na	1059	1.1464430093765259	0.357827	Yes	
row_35	XM_047186261	na	1073	1.1377822160720825	0.36392373	Yes	
row_36	XM_047178834	na	1077	1.1338789463043213	0.37064198	Yes	
row_37	XM_047172282	na	1097	1.116694450378418	0.37622294	Yes	
row_38	XM_047177510	na	1098	1.115993618965149	0.38302577	Yes	
row_39	XM_047175509	na	1141	1.0905238389968872	0.38696295	Yes	
row_40	XM_047173431	na	1197	1.058322787284851	0.38986492	Yes	
row_41	XM_047176933	na	1204	1.0543718338012695	0.3959049	Yes	
row_42	XM_047179504	na	1211	1.050768256187439	0.4019229	Yes	
row_43	XM_047185696	na	1233	1.0439239740371704	0.40693122	Yes	
row_44	XM_047185560	na	1235	1.0437932014465332	0.4132294	Yes	
row_45	XM_047175549	na	1286	1.010924220085144	0.4161651	Yes	
row_46	XM_047164700	na	1303	1.0061118602752686	0.4212656	Yes	
row_47	XM_047185792	na	1327	0.9946335554122925	0.42584437	Yes	
row_48	XM_047177386	na	1369	0.971709668636322	0.42912182	Yes	
row_49	XM_047165610	na	1413	0.9453166127204895	0.43210933	Yes	
row_50	XM_047183501	na	1446	0.9306429624557495	0.43571725	Yes	
row_51	XM_047165372	na	1552	0.8795559406280518	0.43430287	Yes	
row_52	XM_047186238	na	1557	0.8752647638320923	0.4393801	Yes	
row_53	XM_047168970	na	1567	0.871067225933075	0.44410914	Yes	
row_54	XM_047165484	na	1588	0.8615696430206299	0.4480704	Yes	
row_55	XM_047171114	na	1651	0.8340936899185181	0.44915378	Yes	
row_56	XM_047168652	na	1663	0.8301150798797607	0.45350412	Yes	
row_57	XM_047164582	na	1694	0.8170632123947144	0.45654872	Yes	
row_58	XM_047175561	na	1794	0.7828425765037537	0.454932	Yes	
row_59	XM_047185906	na	1797	0.7820258736610413	0.45956996	Yes	
row_60	XM_047184740	na	1809	0.7786574959754944	0.4636066	Yes	
row_61	XM_047178748	na	1851	0.7656252384185791	0.46562782	Yes	
row_62	XM_047177691	na	1905	0.7517490983009338	0.46679005	Yes	
row_63	XM_047169717	na	1924	0.7455371022224426	0.4701731	Yes	
row_64	XM_047171026	na	1948	0.7367404103279114	0.47317982	Yes	
row_65	XM_047172951	na	1973	0.7304517030715942	0.47608367	Yes	
row_66	XM_047186029	na	1998	0.7205030918121338	0.4789269	Yes	
row_67	XM_047170521	na	2005	0.7195374369621277	0.48292583	Yes	
row_68	XM_047184012	na	2097	0.6928055286407471	0.4812765	Yes	
row_69	XM_047166417	na	2120	0.684384822845459	0.4840286	Yes	
row_70	XM_047168993	na	2175	0.6698430776596069	0.48462704	Yes	
row_71	XM_047173197	na	2272	0.6474841237068176	0.4823788	Yes	
row_72	XM_047171055	na	2318	0.6410463452339172	0.4833825	Yes	
row_73	XM_047180105	na	2347	0.6383943557739258	0.48546705	Yes	
row_74	XM_047185692	na	2461	0.6080952882766724	0.48188165	Yes	
row_75	XM_047182916	na	2492	0.6007406711578369	0.48360762	Yes	
row_76	XM_047176755	na	2558	0.5841193795204163	0.48297364	Yes	
row_77	XM_047169263	na	2568	0.5812032222747803	0.48593572	Yes	
row_78	XM_047176843	na	2600	0.573338508605957	0.48743013	Yes	
row_79	XM_047169665	na	2688	0.548816978931427	0.48516124	Yes	
row_80	XM_047167599	na	2694	0.5452291369438171	0.48816216	Yes	
row_81	XM_047180331	na	2824	0.5128339529037476	0.48296353	No	
row_82	XM_047182886	na	2859	0.5033078789710999	0.48383746	No	
row_83	XM_047174704	na	2878	0.49800851941108704	0.4857116	No	
row_84	XM_047170669	na	2929	0.4896572232246399	0.4854698	No	
row_85	XM_047182227	na	2995	0.47686904668807983	0.48418203	No	
row_86	XM_047164453	na	3291	0.42199990153312683	0.46771726	No	
row_87	XM_047165336	na	3294	0.42146769165992737	0.47015736	No	
row_88	XM_047174304	na	3392	0.40900278091430664	0.46639085	No	
row_89	XM_047182885	na	3525	0.39305931329727173	0.46026853	No	
row_90	XM_047180268	na	3547	0.3928109407424927	0.46130782	No	
