NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047167004	na	72	3.1069087982177734	0.10816293	Yes	
row_1	XM_047164183	na	94	2.9563121795654297	0.21410513	Yes	
row_2	XM_047178594	na	96	2.9373040199279785	0.32062972	Yes	
row_3	XM_047186503	na	124	2.767904281616211	0.41935337	Yes	
row_4	XM_047172764	na	125	2.7643790245056152	0.5196665	Yes	
row_5	XM_047179408	na	166	2.601731777191162	0.61153316	Yes	
row_6	XM_047175073	na	235	2.319673776626587	0.69138354	Yes	
row_7	XM_047180088	na	296	2.148818254470825	0.7655428	Yes	
row_8	XM_047183248	na	980	1.2031935453414917	0.76575893	Yes	
row_9	XM_047172572	na	1766	0.7938138842582703	0.74463147	No	
row_10	XM_047180594	na	2464	0.6070414185523987	0.7223241	No	
row_11	XM_047180593	na	3825	0.36419403553009033	0.64903134	No	
row_12	XM_047166719	na	4985	0.18329761922359467	0.5819598	No	
row_13	XM_047172571	na	5381	0.12644536793231964	0.5614226	No	
row_14	XM_047166494	na	6205	0.0013178157387301326	0.50912005	No	
row_15	XM_047168206	na	6645	0.0	0.4811956	No	
row_16	XM_047183247	na	7952	0.0	0.39812198	No	
row_17	XM_047172946	na	8831	-0.037127114832401276	0.3436204	No	
row_18	XM_047166252	na	10311	-0.2655068635940552	0.25917706	No	
row_19	XM_047172570	na	10513	-0.2888621985912323	0.2568738	No	
row_20	XM_047184974	na	11491	-0.3534357249736786	0.20755298	No	
row_21	XM_047182566	na	13086	-0.5463650822639465	0.12598632	No	
row_22	XM_047175627	na	15257	-1.1838572025299072	0.030913923	No	
