NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047168615	na	1	4.791283130645752	0.026348842	Yes	
row_1	XM_047177207	na	7	4.271946907043457	0.04957756	Yes	
row_2	XM_047168588	na	19	3.9805891513824463	0.07081437	Yes	
row_3	XM_047176948	na	20	3.939387321472168	0.09253122	Yes	
row_4	XM_047171216	na	26	3.7053701877593994	0.112636544	Yes	
row_5	XM_047168554	na	30	3.604200601577759	0.13231273	Yes	
row_6	XM_047168626	na	40	3.4218599796295166	0.15059797	Yes	
row_7	XM_047163384	na	44	3.371077537536621	0.16898902	Yes	
row_8	XM_047170729	na	78	3.055940628051758	0.18371414	Yes	
row_9	XM_047170436	na	82	3.017082452774048	0.20015368	Yes	
row_10	XM_047168457	na	83	3.015178680419922	0.2167756	Yes	
row_11	XM_047168550	na	98	2.9229774475097656	0.2319892	Yes	
row_12	XM_047175092	na	129	2.7600769996643066	0.24527617	Yes	
row_13	XM_047168947	na	156	2.6337132453918457	0.25812367	Yes	
row_14	XM_047167776	na	194	2.4618828296661377	0.26931676	Yes	
row_15	XM_047175945	na	201	2.44105863571167	0.28238797	Yes	
row_16	XM_047176233	na	205	2.415771245956421	0.29551262	Yes	
row_17	XM_047168726	na	216	2.3836750984191895	0.30801034	Yes	
row_18	XM_047176952	na	297	2.1464216709136963	0.31469998	Yes	
row_19	XM_047179539	na	322	2.0855836868286133	0.32465437	Yes	
row_20	XM_047183302	na	330	2.060427188873291	0.33556297	Yes	
row_21	XM_047175946	na	357	1.9768635034561157	0.34478942	Yes	
row_22	XM_047168411	na	381	1.9321258068084717	0.35396212	Yes	
row_23	XM_047175947	na	404	1.8914871215820312	0.36297506	Yes	
row_24	XM_047174191	na	416	1.8636199235916138	0.37254158	Yes	
row_25	XM_047168645	na	421	1.8518905639648438	0.3824934	Yes	
row_26	XM_047183046	na	487	1.7414990663528442	0.38791513	Yes	
row_27	XM_047164163	na	541	1.6726937294006348	0.393729	Yes	
