NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047170176	na	27	3.649233341217041	0.07119178	Yes	
row_1	XM_047169438	na	57	3.26206636428833	0.13452037	Yes	
row_2	XM_047170729	na	78	3.055940628051758	0.19430417	Yes	
row_3	XM_047172145	na	109	2.8444390296936035	0.24922468	Yes	
row_4	XM_047175784	na	143	2.6864688396453857	0.30079767	Yes	
row_5	XM_047166711	na	210	2.3974714279174805	0.34449288	Yes	
row_6	XM_047172937	na	348	2.000169515609741	0.3757241	Yes	
row_7	XM_047166420	na	461	1.7782593965530396	0.40411508	Yes	
row_8	XM_047171670	na	483	1.744794487953186	0.437638	Yes	
row_9	XM_047163129	na	637	1.528662085533142	0.4584285	Yes	
row_10	XM_047166657	na	736	1.4195845127105713	0.48054543	Yes	
row_11	XM_047182788	na	768	1.3927242755889893	0.5063965	Yes	
row_12	XM_047170060	na	856	1.303985357284546	0.5269049	Yes	
row_13	XM_047165242	na	970	1.2128112316131592	0.5439343	Yes	
row_14	XM_047163599	na	1028	1.1665021181106567	0.56360805	Yes	
row_15	XM_047163750	na	1251	1.029923677444458	0.5700353	Yes	
row_16	XM_047166679	na	1274	1.0145094394683838	0.5889031	Yes	
row_17	XM_047186308	na	1564	0.8729036450386047	0.58792233	No	
row_18	XM_047182916	na	2492	0.6007406711578369	0.54083556	No	
row_19	XM_047182886	na	2859	0.5033078789710999	0.5275619	No	
row_20	XM_047165919	na	2894	0.49538397789001465	0.53529257	No	
row_21	XM_047180332	na	3226	0.4340782165527344	0.52286667	No	
row_22	XM_047174631	na	3421	0.4026709794998169	0.518546	No	
row_23	XM_047182885	na	3525	0.39305931329727173	0.5198339	No	
row_24	XM_047177097	na	4371	0.29244667291641235	0.47181427	No	
row_25	XM_047169616	na	5413	0.12323097884654999	0.40792	No	
row_26	XM_047182921	na	5655	0.08788703382015228	0.39431396	No	
row_27	XM_047163791	na	6018	0.03211306780576706	0.37188062	No	
row_28	XM_047169025	na	6066	0.02657550759613514	0.3694157	No	
row_29	XM_047175780	na	6081	0.024732908234000206	0.36901745	No	
row_30	XM_047163749	na	6285	0.0	0.35607764	No	
row_31	XM_047173805	na	8822	-0.036402102559804916	0.19515273	No	
row_32	XM_047182913	na	9019	-0.06394078582525253	0.18393667	No	
row_33	XM_047173423	na	10008	-0.21953175961971283	0.1253449	No	
row_34	XM_047174630	na	10354	-0.2745214104652405	0.108838595	No	
row_35	XM_047164869	na	10466	-0.2888621985912323	0.107534684	No	
row_36	XM_047167932	na	10708	-0.30000555515289307	0.09816683	No	
row_37	XM_047182702	na	10927	-0.3193267285823822	0.09065111	No	
row_38	XM_047185271	na	11465	-0.3487080931663513	0.06338842	No	
row_39	XM_047177007	na	11496	-0.35430043935775757	0.06855516	No	
row_40	XM_047182917	na	11555	-0.36468562483787537	0.072144605	No	
row_41	XM_047166605	na	11628	-0.3721909821033478	0.074991606	No	
row_42	XM_047182790	na	11907	-0.40045005083084106	0.065272175	No	
row_43	XM_047184237	na	12311	-0.45386770367622375	0.04865217	No	
row_44	XM_047182789	na	12322	-0.4547777771949768	0.057101343	No	
row_45	XM_047182923	na	12477	-0.47655391693115234	0.056806624	No	
row_46	XM_047182794	na	12495	-0.47837772965431213	0.06528113	No	
row_47	XM_047182882	na	12620	-0.49374857544898987	0.06724226	No	
row_48	XM_047182883	na	12650	-0.49653640389442444	0.07531466	No	
row_49	XM_047168898	na	12918	-0.5190257430076599	0.06866559	No	
row_50	XM_047182893	na	13104	-0.5493624210357666	0.06784957	No	
row_51	XM_047182796	na	13354	-0.5715950727462769	0.06339821	No	
row_52	XM_047165753	na	13857	-0.6479834914207458	0.04434615	No	
row_53	XM_047182701	na	14525	-0.8325473070144653	0.018464137	No	
row_54	XM_047172560	na	14615	-0.8604418039321899	0.029982911	No	
row_55	XM_047163455	na	15684	-2.0948314666748047	0.0037607993	No	
