NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047173223	na	470	1.765499234199524	0.002206074	No	
row_1	XM_047177291	na	1176	1.0672341585159302	-0.023405802	No	
row_2	XM_047164322	na	1178	1.0649343729019165	-0.0039893226	No	
row_3	XM_047178159	na	1760	0.7960397601127625	-0.026623528	No	
row_4	XM_047175883	na	1921	0.7460173964500427	-0.023220152	No	
row_5	XM_047165674	na	2028	0.711117684841156	-0.016998079	No	
row_6	XM_047178339	na	2143	0.6777457594871521	-0.01189863	No	
row_7	XM_047175340	na	2574	0.5796158909797668	-0.028824715	No	
row_8	XM_047177868	na	2710	0.53849858045578	-0.027616901	No	
row_9	XM_047164433	na	2813	0.5154465436935425	-0.024718095	No	
row_10	XM_047165721	na	3115	0.45132696628570557	-0.035732284	No	
row_11	XM_047182777	na	3224	0.43493661284446716	-0.034690343	No	
row_12	XM_047185418	na	3917	0.35507720708847046	-0.072497204	No	
row_13	XM_047169951	na	4234	0.3163488209247589	-0.08694082	No	
row_14	XM_047176079	na	4253	0.3106515407562256	-0.08241054	No	
row_15	XM_047182014	na	4304	0.3027547001838684	-0.080073364	No	
row_16	XM_047176772	na	4337	0.2971745431423187	-0.076685905	No	
row_17	XM_047179128	na	4342	0.29676032066345215	-0.071513444	No	
row_18	XM_047171133	na	4539	0.2635202407836914	-0.07924097	No	
row_19	XM_047170668	na	5176	0.1589033603668213	-0.11705124	No	
row_20	XM_047178252	na	5321	0.13534744083881378	-0.12379432	No	
row_21	XM_047164014	na	5366	0.12884210050106049	-0.12425435	No	
row_22	XM_047185783	na	5629	0.09314385056495667	-0.13932388	No	
row_23	XM_047175966	na	5829	0.06147138029336929	-0.15093948	No	
row_24	XM_047172041	na	6024	0.03078170120716095	-0.16279636	No	
row_25	XM_047169837	na	6170	0.0074523622170090675	-0.17194301	No	
row_26	XM_047162943	na	6221	0.0	-0.17514405	No	
row_27	XM_047162969	na	6223	0.0	-0.17520806	No	
row_28	XM_047169304	na	6719	0.0	-0.2068982	No	
row_29	XM_047169305	na	6720	0.0	-0.2068982	No	
row_30	XM_047171134	na	6885	0.0	-0.21739756	No	
row_31	XM_047171270	na	6898	0.0	-0.21816581	No	
row_32	XM_047172927	na	7069	0.0	-0.2290493	No	
row_33	XM_047173224	na	7079	0.0	-0.22962548	No	
row_34	XM_047177032	na	7394	0.0	-0.2497279	No	
row_35	XM_047178335	na	7495	0.0	-0.25612995	No	
row_36	XM_047179750	na	7624	0.0	-0.26432458	No	
row_37	XM_047183760	na	7992	0.0	-0.2878201	No	
row_38	XM_047184930	na	8072	0.0	-0.2928777	No	
row_39	XM_047178683	na	8766	-0.02780071087181568	-0.33673537	No	
row_40	XM_047181651	na	8808	-0.03428829088807106	-0.338733	No	
row_41	XM_047178463	na	8845	-0.04005211591720581	-0.34030506	No	
row_42	XM_047176799	na	8865	-0.0451979897916317	-0.34069467	No	
row_43	XM_047165050	na	8926	-0.05244237184524536	-0.34357658	No	
row_44	XM_047175950	na	8940	-0.05392664670944214	-0.34342238	No	
row_45	XM_047175879	na	8947	-0.05463419109582901	-0.34280708	No	
row_46	XM_047166377	na	9012	-0.06295209378004074	-0.34575284	No	
row_47	XM_047180443	na	9217	-0.09546603262424469	-0.3570667	No	
