NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047177852	na	3513	0.39305931329727173	-0.17822896	No	
row_1	XM_047165642	na	4525	0.26522591710090637	-0.21205075	No	
row_2	XM_047186204	na	6009	0.03329857066273689	-0.3025227	No	
row_3	XM_047183603	na	8937	-0.053581077605485916	-0.4824817	No	
row_4	XM_047170568	na	9988	-0.21587851643562317	-0.5244511	No	
row_5	XM_047172577	na	10514	-0.2888621985912323	-0.5246559	No	
row_6	XM_047167767	na	11233	-0.33395886421203613	-0.531953	No	
row_7	XM_047179503	na	12050	-0.4199865460395813	-0.53560066	Yes	
row_8	XM_047174164	na	12366	-0.46173804998397827	-0.5025969	Yes	
row_9	XM_047170211	na	12394	-0.46610093116760254	-0.45077965	Yes	
row_10	XM_047181448	na	12434	-0.4707447588443756	-0.399192	Yes	
row_11	XM_047186471	na	12534	-0.48424190282821655	-0.34986925	Yes	
row_12	XM_047165641	na	13826	-0.6408922076225281	-0.35834765	Yes	
row_13	XM_047164480	na	14227	-0.7413626313209534	-0.29863232	Yes	
row_14	XM_047180516	na	14326	-0.767316997051239	-0.21673337	Yes	
row_15	XM_047164802	na	15285	-1.2056645154953003	-0.13917097	Yes	
row_16	XM_047165731	na	15489	-1.4647083282470703	0.016150538	Yes	
