NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047168554	na	30	3.604200601577759	0.049434304	No	
row_1	XM_047176690	na	447	1.8048688173294067	0.04847754	No	
row_2	XM_047177515	na	562	1.6362719535827637	0.06448354	No	
row_3	XM_047173227	na	838	1.3173131942749023	0.06562071	No	
row_4	XM_047178432	na	1185	1.062334656715393	0.058571834	No	
row_5	XM_047165925	na	1896	0.7539178729057312	0.023787364	No	
row_6	XM_047177795	na	2110	0.6879656910896301	0.019932296	No	
row_7	XM_047184419	na	2423	0.6217238306999207	0.008785129	No	
row_8	XM_047163563	na	2478	0.6039179563522339	0.013927999	No	
row_9	XM_047175150	na	2952	0.48508763313293457	-0.009489986	No	
row_10	XM_047164066	na	3249	0.4295280873775482	-0.022349875	No	
row_11	XM_047163537	na	3415	0.4043618440628052	-0.02716824	No	
row_12	XM_047182207	na	3742	0.36971133947372437	-0.04280418	No	
row_13	XM_047174184	na	3744	0.36930620670318604	-0.03760588	No	
row_14	XM_047184418	na	3840	0.36419403553009033	-0.038508	No	
row_15	XM_047166306	na	4209	0.31960350275039673	-0.057551123	No	
row_16	XM_047177588	na	4210	0.31959208846092224	-0.052997097	No	
row_17	XM_047167005	na	4261	0.3100719153881073	-0.05178489	No	
row_18	XM_047182206	na	4290	0.30487656593322754	-0.049236003	No	
row_19	XM_047167093	na	4339	0.29678699374198914	-0.04808485	No	
row_20	XM_047182578	na	4571	0.2564109265804291	-0.059243567	No	
row_21	XM_047176055	na	4591	0.2514437735080719	-0.05687896	No	
row_22	XM_047171850	na	4647	0.2417520135641098	-0.056960892	No	
row_23	XM_047173943	na	4733	0.22756987810134888	-0.059168603	No	
row_24	XM_047180651	na	4753	0.224587082862854	-0.057186693	No	
row_25	XM_047185840	na	4847	0.20723482966423035	-0.060197152	No	
row_26	XM_047179831	na	4912	0.19772495329380035	-0.061483555	No	
row_27	XM_047172429	na	4923	0.19647391140460968	-0.059325133	No	
row_28	XM_047162841	na	4944	0.19308094680309296	-0.05785629	No	
row_29	XM_047174185	na	5225	0.1501840054988861	-0.07367072	No	
row_30	XM_047168638	na	5237	0.14836236834526062	-0.07226199	No	
row_31	XM_047183144	na	5361	0.12951542437076569	-0.078303605	No	
row_32	XM_047185892	na	5414	0.12294711917638779	-0.07988607	No	
row_33	XM_047181902	na	5447	0.1180134117603302	-0.08025638	No	
row_34	XM_047186354	na	5555	0.10274960845708847	-0.085653424	No	
row_35	XM_047183042	na	5649	0.08849076926708221	-0.090355925	No	
row_36	XM_047174903	na	5734	0.07491984963417053	-0.0946747	No	
row_37	XM_047179738	na	5787	0.06862498819828033	-0.09703123	No	
row_38	XM_047175503	na	5816	0.062350280582904816	-0.09793822	No	
row_39	XM_047179830	na	5865	0.05586322024464607	-0.10022011	No	
row_40	XM_047165301	na	6015	0.032394662499427795	-0.10931285	No	
row_41	XM_047163410	na	6255	0.0	-0.12463827	No	
row_42	XM_047169304	na	6719	0.0	-0.15432727	No	
row_43	XM_047169305	na	6720	0.0	-0.15432727	No	
row_44	XM_047174738	na	7203	0.0	-0.1852346	No	
row_45	XM_047176802	na	7378	0.0	-0.19639203	No	
