NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047167218	na	1586	0.8620370626449585	-0.04094033	No	
row_1	XM_047171993	na	1969	0.7313820123672485	-0.014357211	No	
row_2	XM_047184450	na	2521	0.5944408178329468	-0.0080568055	No	
row_3	XM_047173301	na	2862	0.50273197889328	0.0052889674	No	
row_4	XM_047167336	na	3577	0.38638535141944885	-0.013259823	No	
row_5	XM_047173970	na	4669	0.2376101016998291	-0.06615053	No	
row_6	XM_047179173	na	4967	0.1883917897939682	-0.07194097	No	
row_7	XM_047168556	na	5287	0.14128829538822174	-0.08240891	No	
row_8	XM_047167328	na	5479	0.11455321311950684	-0.086592056	No	
row_9	XM_047177339	na	5913	0.049831636250019073	-0.11067796	No	
row_10	XM_047174231	na	6004	0.03480241075158119	-0.11398334	No	
row_11	XM_047163515	na	6057	0.027457091957330704	-0.11538176	No	
row_12	XM_047176560	na	6156	0.010083424858748913	-0.12091622	No	
row_13	XM_047177443	na	7431	0.0	-0.20198525	No	
row_14	XM_047168480	na	8596	-0.0014983288710936904	-0.27595037	No	
row_15	XM_047186072	na	9085	-0.07451344281435013	-0.3018187	No	
row_16	XM_047174200	na	9155	-0.08549641817808151	-0.3002604	No	
row_17	XM_047176735	na	9290	-0.10636170953512192	-0.30138642	No	
row_18	XM_047177629	na	9964	-0.2112162560224533	-0.32951486	No	
row_19	XM_047172019	na	9976	-0.21321865916252136	-0.3153786	No	
row_20	XM_047184134	na	10406	-0.28110942244529724	-0.3231172	No	
row_21	XM_047173327	na	12172	-0.43543338775634766	-0.4051319	No	
row_22	XM_047166731	na	13094	-0.547184407711029	-0.42566407	Yes	
row_23	XM_047173430	na	13554	-0.6000936627388	-0.41311607	Yes	
row_24	XM_047166250	na	14036	-0.6875922679901123	-0.39587963	Yes	
row_25	XM_047181755	na	15511	-1.4975430965423584	-0.38547316	Yes	
row_26	XM_047181642	na	15552	-1.5826386213302612	-0.27789515	Yes	
row_27	XM_047182727	na	15676	-2.0201544761657715	-0.14515546	Yes	
row_28	XM_047186071	na	15690	-2.1464593410491943	0.003372471	Yes	
