NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047177237	na	370	1.9542601108551025	0.001622046	No	
row_1	XM_047170024	na	540	1.6733349561691284	0.01248851	No	
row_2	XM_047164003	na	642	1.5226348638534546	0.025760539	No	
row_3	XM_047178105	na	706	1.4616619348526	0.04067829	No	
row_4	XM_047178359	na	786	1.3805423974990845	0.053518046	No	
row_5	XM_047176278	na	793	1.3723664283752441	0.07093245	No	
row_6	XM_047169795	na	1051	1.1512727737426758	0.06938548	No	
row_7	XM_047176651	na	1227	1.0469011068344116	0.071742594	No	
row_8	XM_047167521	na	1379	0.9632893204689026	0.07455415	No	
row_9	XM_047183515	na	1787	0.7858149409294128	0.05864947	No	
row_10	XM_047164927	na	1815	0.7767133712768555	0.066991955	No	
row_11	XM_047173682	na	1938	0.7413554191589355	0.068784565	No	
row_12	XM_047186263	na	1978	0.7276752591133118	0.07572162	No	
row_13	XM_047175353	na	2047	0.7071377635002136	0.08053286	No	
row_14	XM_047180114	na	2059	0.704508364200592	0.088964775	No	
row_15	XM_047176354	na	2333	0.6399749517440796	0.079760544	No	
row_16	XM_047173993	na	2395	0.6299070119857788	0.08401896	No	
row_17	XM_047181058	na	2432	0.6171264052391052	0.089714594	No	
row_18	XM_047166107	na	2661	0.5570279955863953	0.08231992	No	
row_19	XM_047174779	na	2732	0.5334454774856567	0.08475019	No	
row_20	XM_047167881	na	2738	0.5329914093017578	0.091342315	No	
row_21	XM_047173625	na	2782	0.5237048268318176	0.09537747	No	
row_22	XM_047175745	na	3164	0.44428637623786926	0.076710366	No	
row_23	XM_047185025	na	3390	0.4093548059463501	0.06759278	No	
row_24	XM_047174926	na	3408	0.40492987632751465	0.07175456	No	
row_25	XM_047171761	na	4002	0.34714263677597046	0.03823431	No	
row_26	XM_047174778	na	4104	0.3427661657333374	0.036203846	No	
row_27	XM_047169962	na	4166	0.3299253284931183	0.036571603	No	
row_28	XM_047170257	na	4488	0.2711278200149536	0.019505838	No	
row_29	XM_047180870	na	4599	0.25058218836784363	0.015702711	No	
row_30	XM_047185905	na	4844	0.2073725014925003	0.0027472242	No	
row_31	XM_047164714	na	4910	0.1980060338973999	0.0011475586	No	
row_32	XM_047176847	na	5058	0.17527946829795837	-0.0060046213	No	
row_33	XM_047164304	na	5129	0.1648327261209488	-0.008355128	No	
