NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047174879	na	1081	1.1294018030166626	-0.03473051	No	
row_1	XM_047170972	na	1533	0.8882326483726501	-0.03659259	No	
row_2	XM_047182839	na	1902	0.7527903914451599	-0.037263434	No	
row_3	XM_047165674	na	2028	0.711117684841156	-0.023701617	No	
row_4	XM_047175659	na	2148	0.6758435368537903	-0.010825299	No	
row_5	XM_047164745	na	2454	0.6097339391708374	-0.011810718	No	
row_6	XM_047169884	na	2512	0.5960175395011902	0.0026018398	No	
row_7	XM_047166107	na	2661	0.5570279955863953	0.010031354	No	
row_8	XM_047174171	na	3205	0.4370633363723755	-0.0113581	No	
row_9	XM_047179775	na	3356	0.41084015369415283	-0.008482594	No	
row_10	XM_047184482	na	3572	0.386616587638855	-0.010485181	No	
row_11	XM_047179547	na	3637	0.37529119849205017	-0.0032024318	No	
row_12	XM_047184483	na	3950	0.34997913241386414	-0.01249942	No	
row_13	XM_047164925	na	4113	0.34102749824523926	-0.012502961	No	
row_14	XM_047169951	na	4234	0.3163488209247589	-0.0105757	No	
row_15	XM_047164357	na	4248	0.31248512864112854	-0.0019427538	No	
row_16	XM_047176056	na	4353	0.29562634229660034	3.7725645E-4	No	
row_17	XM_047170062	na	4387	0.28978586196899414	0.007047615	No	
row_18	XM_047167887	na	4459	0.2771240472793579	0.0109115755	No	
row_19	XM_047166980	na	4936	0.19373035430908203	-0.013573718	No	
row_20	XM_047177549	na	5117	0.16619959473609924	-0.020018687	No	
row_21	XM_047162889	na	5437	0.11903505027294159	-0.036754873	No	
row_22	XM_047176280	na	6012	0.03296705707907677	-0.07235679	No	
row_23	XM_047180665	na	6052	0.028411617502570152	-0.073983274	No	
row_24	XM_047164244	na	6324	0.0	-0.09126313	No	
row_25	XM_047165054	na	6410	0.0	-0.09668301	No	
row_26	XM_047167315	na	8654	-0.012184763327240944	-0.23933518	No	
row_27	XM_047167449	na	8843	-0.039955854415893555	-0.25011283	No	
row_28	XM_047184299	na	8927	-0.05254051461815834	-0.2538143	No	
row_29	XM_047186287	na	9309	-0.10884054750204086	-0.2748125	No	
row_30	XM_047174322	na	9349	-0.11478665471076965	-0.2738236	No	
row_31	XM_047175658	na	9695	-0.1659516990184784	-0.290797	No	
row_32	XM_047176935	na	9885	-0.1992092728614807	-0.29681632	No	
row_33	XM_047164250	na	9895	-0.2007889449596405	-0.29131043	No	
row_34	XM_047163891	na	9981	-0.21527427434921265	-0.29021192	No	
row_35	XM_047167052	na	10026	-0.2219792902469635	-0.2862961	No	
row_36	XM_047171922	na	10509	-0.2888621985912323	-0.30828345	No	
row_37	XM_047179174	na	10674	-0.294425904750824	-0.30982557	No	
row_38	XM_047175446	na	11479	-0.3516167998313904	-0.35044453	No	
row_39	XM_047166982	na	12093	-0.42505645751953125	-0.37666097	No	
row_40	XM_047181013	na	12372	-0.46189188957214355	-0.38040137	No	
row_41	XM_047168718	na	13038	-0.5380107760429382	-0.4065133	Yes	
row_42	XM_047175081	na	13097	-0.5477414727210999	-0.3936263	Yes	
row_43	XM_047183724	na	13249	-0.5594053864479065	-0.3863161	Yes	
row_44	XM_047186453	na	13451	-0.5874813199043274	-0.3813439	Yes	
row_45	XM_047177925	na	13734	-0.6243204474449158	-0.3804211	Yes	
row_46	XM_047166981	na	13805	-0.6354858875274658	-0.3656424	Yes	
row_47	XM_047176368	na	13944	-0.6688228249549866	-0.35419017	Yes	
row_48	XM_047176346	na	13976	-0.6722044944763184	-0.33581287	Yes	
row_49	XM_047166739	na	14234	-0.7434432506561279	-0.329689	Yes	
row_50	XM_047173039	na	14418	-0.7998342514038086	-0.31713915	Yes	
row_51	XM_047175286	na	14432	-0.804676353931427	-0.29360294	Yes	
row_52	XM_047178587	na	14496	-0.8247103691101074	-0.27264827	Yes	
row_53	XM_047185702	na	14879	-0.9588416814804077	-0.2679727	Yes	
row_54	XM_047167824	na	15063	-1.0540781021118164	-0.24772452	Yes	
row_55	XM_047180113	na	15246	-1.1759389638900757	-0.22372268	Yes	
row_56	XM_047179856	na	15421	-1.3512767553329468	-0.19390163	Yes	
row_57	XM_047183723	na	15514	-1.501538634300232	-0.15430212	Yes	
row_58	XM_047164935	na	15517	-1.5065312385559082	-0.10881276	Yes	
row_59	XM_047165131	na	15603	-1.6930480003356934	-0.06296813	Yes	
row_60	XM_047181901	na	15711	-2.372272253036499	0.002040234	Yes	
