NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047186329	na	4144	0.33361151814460754	-0.22005244	No	
row_1	XM_047166293	na	5905	0.05164758861064911	-0.32523626	No	
row_2	XM_047165783	na	6447	0.0	-0.3596357	No	
row_3	XM_047165784	na	6448	0.0	-0.3596357	No	
row_4	XM_047182037	na	7842	0.0	-0.4482095	No	
row_5	XM_047179010	na	8633	-0.009020958095788956	-0.49726686	No	
row_6	XM_047176407	na	9497	-0.1357874870300293	-0.53445816	No	
row_7	XM_047178956	na	10699	-0.2983775734901428	-0.5719684	Yes	
row_8	XM_047166291	na	11218	-0.33395886421203613	-0.5614167	Yes	
row_9	XM_047171851	na	12186	-0.4372089207172394	-0.56596917	Yes	
row_10	XM_047185350	na	12385	-0.4648561477661133	-0.5180246	Yes	
row_11	XM_047169881	na	13291	-0.5634189248085022	-0.50219953	Yes	
row_12	XM_047169225	na	13793	-0.6333010792732239	-0.451586	Yes	
row_13	XM_047177098	na	14338	-0.771562933921814	-0.38570192	Yes	
row_14	XM_047166292	na	14913	-0.9734057188034058	-0.29544106	Yes	
row_15	XM_047170672	na	15273	-1.1953169107437134	-0.1626118	Yes	
row_16	XM_047172331	na	15496	-1.4777336120605469	0.015705427	Yes	
