NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047163194	na	3139	0.4479970335960388	-0.15104778	No	
row_1	XM_047184750	na	3724	0.3700920045375824	-0.14805356	No	
row_2	XM_047167197	na	3927	0.3535120487213135	-0.122563295	No	
row_3	XM_047174275	na	4772	0.22101546823978424	-0.15227102	No	
row_4	XM_047177618	na	4939	0.19308790564537048	-0.14188857	No	
row_5	XM_047178326	na	5243	0.14788828790187836	-0.14512064	No	
row_6	XM_047163551	na	6263	0.0	-0.20992602	No	
row_7	XM_047172601	na	7039	0.0	-0.25921375	No	
row_8	XM_047174267	na	7157	0.0	-0.26665458	No	
row_9	XM_047184759	na	8055	0.0	-0.32370114	No	
row_10	XM_047185772	na	8167	0.0	-0.33076042	No	
row_11	XM_047185771	na	11953	-0.4042126536369324	-0.5276401	Yes	
row_12	XM_047178556	na	12552	-0.4865189492702484	-0.51291025	Yes	
row_13	XM_047164360	na	12893	-0.5153275728225708	-0.4786482	Yes	
row_14	XM_047163228	na	12915	-0.5188493132591248	-0.42371672	Yes	
row_15	XM_047174334	na	13277	-0.5623006820678711	-0.38569617	Yes	
row_16	XM_047186008	na	14180	-0.7231768369674683	-0.36463526	Yes	
row_17	XM_047177619	na	14681	-0.8856382369995117	-0.30039012	Yes	
row_18	XM_047172331	na	15496	-1.4777336120605469	-0.19190423	Yes	
row_19	XM_047180434	na	15665	-1.913851261138916	0.004960438	Yes	
