NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047170176	na	27	3.649233341217041	0.018884007	Yes	
row_1	XM_047166917	na	136	2.7309210300445557	0.027373265	Yes	
row_2	XM_047175784	na	143	2.6864688396453857	0.042167045	Yes	
row_3	XM_047185568	na	193	2.470445156097412	0.05297655	Yes	
row_4	XM_047175689	na	197	2.4544804096221924	0.066652335	Yes	
row_5	XM_047186259	na	207	2.410581111907959	0.07969444	Yes	
row_6	XM_047183222	na	212	2.3900108337402344	0.09294169	Yes	
row_7	XM_047180081	na	223	2.367053985595703	0.10567358	Yes	
row_8	XM_047166086	na	226	2.3528037071228027	0.11883914	Yes	
row_9	XM_047175231	na	231	2.3360812664031982	0.13178165	Yes	
row_10	XM_047175073	na	235	2.319673776626587	0.14469574	Yes	
row_11	XM_047184238	na	236	2.31908917427063	0.15779933	Yes	
row_12	XM_047171176	na	238	2.3132736682891846	0.1708058	Yes	
row_13	XM_047180647	na	262	2.22590970993042	0.18190466	Yes	
row_14	XM_047178211	na	268	2.2090046405792236	0.19406489	Yes	
row_15	XM_047168803	na	269	2.2041783332824707	0.2065192	Yes	
row_16	XM_047183517	na	275	2.1944499015808105	0.21859719	Yes	
row_17	XM_047175882	na	278	2.186824083328247	0.2308249	Yes	
row_18	XM_047163507	na	283	2.1788792610168457	0.24287918	Yes	
row_19	XM_047169426	na	290	2.157946825027466	0.25468665	Yes	
row_20	XM_047180088	na	296	2.148818254470825	0.2665068	Yes	
row_21	XM_047176514	na	299	2.143636465072632	0.27849048	Yes	
row_22	XM_047171006	na	300	2.1374173164367676	0.29056758	Yes	
row_23	XM_047166157	na	301	2.136636972427368	0.30264026	Yes	
row_24	XM_047178183	na	315	2.106712579727173	0.31370834	Yes	
row_25	XM_047178532	na	320	2.0928421020507812	0.32527646	Yes	
row_26	XM_047167735	na	321	2.0904898643493652	0.3370884	Yes	
row_27	XM_047176589	na	325	2.079577684402466	0.34864587	Yes	
row_28	XM_047170313	na	331	2.0604236125946045	0.35996658	Yes	
row_29	XM_047179147	na	334	2.0477888584136963	0.3714087	Yes	
row_30	XM_047176617	na	340	2.0314760208129883	0.38256583	Yes	
