NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047168969	na	673	1.4932973384857178	0.12584974	No	
row_1	XM_047183011	na	5849	0.058302175253629684	-0.19665962	No	
row_2	XM_047183012	na	5964	0.041633300483226776	-0.1992073	No	
row_3	XM_047167829	na	6611	0.0	-0.24028838	No	
row_4	XM_047176005	na	7313	0.0	-0.28486708	No	
row_5	XM_047181845	na	7830	0.0	-0.31768107	No	
row_6	XM_047182806	na	7916	0.0	-0.32308647	No	
row_7	XM_047183007	na	7931	0.0	-0.32397678	No	
row_8	XM_047179369	na	10697	-0.2982359230518341	-0.4661297	No	
row_9	XM_047176004	na	10891	-0.3193267285823822	-0.4423395	No	
row_10	XM_047165468	na	13050	-0.5397109389305115	-0.51862013	Yes	
row_11	XM_047182792	na	13245	-0.5594053864479065	-0.46777984	Yes	
row_12	XM_047183008	na	13559	-0.6003655791282654	-0.41988125	Yes	
row_13	XM_047182814	na	13586	-0.6036511063575745	-0.3533604	Yes	
row_14	XM_047176305	na	13680	-0.6143224835395813	-0.2898951	Yes	
row_15	XM_047183009	na	13963	-0.6703742742538452	-0.23211856	Yes	
row_16	XM_047181843	na	14578	-0.8500643372535706	-0.17516135	Yes	
row_17	XM_047184639	na	14986	-1.0090513229370117	-0.08708494	Yes	
row_18	XM_047182798	na	15274	-1.1967893838882446	0.029825117	Yes	
