NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047176638	na	307	2.120257616043091	0.08714341	Yes	
row_1	XM_047176650	na	384	1.9241806268692017	0.17912072	Yes	
row_2	XM_047182332	na	500	1.725180983543396	0.25860384	Yes	
row_3	XM_047178689	na	518	1.7093666791915894	0.34352735	Yes	
row_4	XM_047176359	na	610	1.5574074983596802	0.41609627	Yes	
row_5	XM_047167371	na	851	1.3064944744110107	0.46655935	Yes	
row_6	XM_047176339	na	917	1.2489122152328491	0.5252611	Yes	
row_7	XM_047178690	na	1342	0.9889032244682312	0.5480363	Yes	
row_8	XM_047184117	na	1528	0.8904238343238831	0.581065	Yes	
row_9	XM_047175020	na	1678	0.8206567168235779	0.6128742	Yes	
row_10	XM_047170740	na	2491	0.6007509231567383	0.59143007	Yes	
row_11	XM_047176637	na	2494	0.600635826587677	0.62152326	Yes	
row_12	XM_047176649	na	2883	0.49732092022895813	0.62185574	Yes	
row_13	XM_047170669	na	2929	0.4896572232246399	0.64362895	Yes	
row_14	XM_047182704	na	3595	0.37986689805984497	0.62042534	No	
row_15	XM_047176361	na	4358	0.2944292724132538	0.58675057	No	
row_16	XM_047176362	na	4635	0.2433125376701355	0.5814298	No	
row_17	XM_047182333	na	4911	0.19778338074684143	0.57388186	No	
row_18	XM_047163675	na	5485	0.11302703619003296	0.54310673	No	
row_19	XM_047179220	na	7560	0.0	0.41113093	No	
row_20	XM_047184425	na	8033	0.0	0.38109595	No	
row_21	XM_047179221	na	9073	-0.0734647735953331	0.31867707	No	
row_22	XM_047164265	na	9110	-0.07775762677192688	0.32029858	No	
row_23	XM_047186478	na	9619	-0.15493226051330566	0.29576805	No	
row_24	XM_047178782	na	9969	-0.21221882104873657	0.28423756	No	
row_25	XM_047180565	na	11072	-0.32332196831703186	0.23038115	No	
row_26	XM_047180564	na	11332	-0.33395886421203613	0.23070292	No	
row_27	XM_047176360	na	12463	-0.47462213039398193	0.18267728	No	
row_28	XM_047176338	na	12903	-0.5162908434867859	0.18071891	No	
