NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047178359	na	786	1.3805423974990845	0.026005462	No	
row_1	XM_047173010	na	2336	0.6385481953620911	-0.037424304	No	
row_2	XM_047173968	na	2490	0.6009608507156372	-0.014063701	No	
row_3	XM_047182699	na	2571	0.5808317065238953	0.012834954	No	
row_4	XM_047165730	na	2634	0.566079318523407	0.040066846	No	
row_5	XM_047184317	na	3460	0.3931802809238434	0.009208043	No	
row_6	XM_047184638	na	4158	0.3313920497894287	-0.016906247	No	
row_7	XM_047175108	na	4841	0.20796146988868713	-0.04886402	No	
row_8	XM_047183011	na	5849	0.058302175253629684	-0.109752156	No	
row_9	XM_047183012	na	5964	0.041633300483226776	-0.11471561	No	
row_10	XM_047167829	na	6611	0.0	-0.15583591	No	
row_11	XM_047176005	na	7313	0.0	-0.20045717	No	
row_12	XM_047182806	na	7916	0.0	-0.23877671	No	
row_13	XM_047183007	na	7931	0.0	-0.23966786	No	
row_14	XM_047178360	na	10555	-0.2888621985912323	-0.39072168	No	
row_15	XM_047179369	na	10697	-0.2982359230518341	-0.38327065	No	
row_16	XM_047176004	na	10891	-0.3193267285823822	-0.377968	No	
row_17	XM_047184637	na	11092	-0.32332196831703186	-0.3728909	No	
row_18	XM_047173459	na	12025	-0.415624737739563	-0.40932444	No	
row_19	XM_047174214	na	13162	-0.554352879524231	-0.45110252	Yes	
row_20	XM_047182792	na	13245	-0.5594053864479065	-0.42551127	Yes	
row_21	XM_047183008	na	13559	-0.6003655791282654	-0.41236806	Yes	
row_22	XM_047182814	na	13586	-0.6036511063575745	-0.38077527	Yes	
row_23	XM_047176305	na	13680	-0.6143224835395813	-0.3528595	Yes	
row_24	XM_047178272	na	13690	-0.6163539886474609	-0.31948495	Yes	
row_25	XM_047183009	na	13963	-0.6703742742538452	-0.299876	Yes	
row_26	XM_047182786	na	13970	-0.6709282994270325	-0.26330465	Yes	
row_27	XM_047183465	na	14029	-0.686066746711731	-0.22920948	Yes	
row_28	XM_047179549	na	14503	-0.8267698287963867	-0.213781	Yes	
row_29	XM_047168007	na	14908	-0.9699611067771912	-0.18607375	Yes	
row_30	XM_047163057	na	14982	-1.0069555044174194	-0.13525954	Yes	
row_31	XM_047184639	na	14986	-1.0090513229370117	-0.079874136	Yes	
row_32	XM_047180903	na	15166	-1.1259708404541016	-0.02925212	Yes	
row_33	XM_047182798	na	15274	-1.1967893838882446	0.0298535	Yes	
