NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047165514	na	618	1.5417441129684448	-0.0028306777	No	
row_1	XM_047173227	na	838	1.3173131942749023	0.014489976	No	
row_2	XM_047178125	na	1403	0.9499828815460205	0.0010439212	No	
row_3	XM_047165925	na	1896	0.7539178729057312	-0.012463182	No	
row_4	XM_047165495	na	2070	0.7017650604248047	-0.0068342383	No	
row_5	XM_047179241	na	2132	0.6811129450798035	0.0054576686	No	
row_6	XM_047165569	na	2393	0.6301999092102051	0.0038287307	No	
row_7	XM_047185932	na	2785	0.5227654576301575	-0.0087210275	No	
row_8	XM_047176223	na	2890	0.4963984787464142	-0.0035658253	No	
row_9	XM_047185359	na	2947	0.4859430193901062	0.0044067963	No	
row_10	XM_047182791	na	3261	0.4266006052494049	-0.0054464187	No	
row_11	XM_047166794	na	3938	0.3515445590019226	-0.04026951	No	
row_12	XM_047177806	na	4197	0.32237035036087036	-0.04908696	No	
row_13	XM_047176719	na	5024	0.17708933353424072	-0.097637355	No	
row_14	XM_047185337	na	5042	0.17556986212730408	-0.09455039	No	
row_15	XM_047173953	na	5224	0.15024791657924652	-0.10254048	No	
row_16	XM_047163395	na	5273	0.1440519243478775	-0.10218268	No	
row_17	XM_047178252	na	5321	0.13534744083881378	-0.101967886	No	
row_18	XM_047164262	na	5694	0.08307374268770218	-0.12375431	No	
row_19	XM_047174903	na	5734	0.07491984963417053	-0.12446473	No	
row_20	XM_047173180	na	5972	0.04023041948676109	-0.13864653	No	
row_21	XM_047170987	na	6159	0.009752419777214527	-0.15029517	No	
row_22	XM_047172133	na	6163	0.008917471393942833	-0.15027484	No	
row_23	XM_047163250	na	6167	0.008312327787280083	-0.15026891	No	
row_24	XM_047170986	na	6878	0.0	-0.19561893	No	
row_25	XM_047175080	na	7227	0.0	-0.21784683	No	
row_26	XM_047177818	na	7455	0.0	-0.23234606	No	
row_27	XM_047182037	na	7842	0.0	-0.25700116	No	
row_28	XM_047186440	na	8598	-0.0016197219956666231	-0.305187	No	
row_29	XM_047180021	na	8648	-0.011484703980386257	-0.3080438	No	
row_30	XM_047178531	na	8835	-0.03843481466174126	-0.31901073	No	
row_31	XM_047182428	na	9148	-0.08513204753398895	-0.33691585	No	
row_32	XM_047175078	na	9306	-0.10878188163042068	-0.3443585	No	
row_33	XM_047185543	na	9307	-0.10882900655269623	-0.34177193	No	
row_34	XM_047180191	na	9447	-0.12786710262298584	-0.34761128	No	
row_35	XM_047170898	na	9482	-0.13217635452747345	-0.3466415	No	
row_36	XM_047181056	na	9538	-0.14209133386611938	-0.3467774	No	
row_37	XM_047169011	na	9713	-0.16827155649662018	-0.35389203	No	
row_38	XM_047180627	na	9926	-0.20497028529644012	-0.36256158	No	
row_39	XM_047172908	na	10013	-0.22031861543655396	-0.3628183	No	
row_40	XM_047177729	na	10141	-0.23994234204292297	-0.36522743	No	
row_41	XM_047178416	na	10448	-0.28827300667762756	-0.37792122	No	
row_42	XM_047177036	na	10977	-0.3215644359588623	-0.4040036	No	
row_43	XM_047177558	na	11524	-0.35872524976730347	-0.4303525	Yes	
