NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047176040	na	4463	0.27636057138442993	-0.26423988	No	
row_1	XM_047166325	na	5275	0.14305396378040314	-0.305614	No	
row_2	XM_047183189	na	5696	0.08280135691165924	-0.3264171	No	
row_3	XM_047183011	na	5849	0.058302175253629684	-0.3319183	No	
row_4	XM_047183012	na	5964	0.041633300483226776	-0.336194	No	
row_5	XM_047167829	na	6611	0.0	-0.37730384	No	
row_6	XM_047176005	na	7313	0.0	-0.42191374	No	
row_7	XM_047182806	na	7916	0.0	-0.46022353	No	
row_8	XM_047183007	na	7931	0.0	-0.46111447	No	
row_9	XM_047179369	na	10697	-0.2982359230518341	-0.6157326	No	
row_10	XM_047171289	na	10727	-0.30329862236976624	-0.5958762	No	
row_11	XM_047165055	na	10838	-0.3193267285823822	-0.58002764	No	
row_12	XM_047176004	na	10891	-0.3193267285823822	-0.56048805	No	
row_13	XM_047186047	na	11425	-0.33981919288635254	-0.57009184	No	
row_14	XM_047163432	na	11641	-0.37411078810691833	-0.5570052	No	
row_15	XM_047182792	na	13245	-0.5594053864479065	-0.61898917	Yes	
row_16	XM_047177863	na	13405	-0.5815156698226929	-0.5874985	Yes	
row_17	XM_047183008	na	13559	-0.6003655791282654	-0.5542772	Yes	
row_18	XM_047182814	na	13586	-0.6036511063575745	-0.5127388	Yes	
row_19	XM_047176305	na	13680	-0.6143224835395813	-0.47470066	Yes	
row_20	XM_047163600	na	13837	-0.6431844234466553	-0.43860647	Yes	
row_21	XM_047166251	na	13858	-0.6480750441551208	-0.39350766	Yes	
row_22	XM_047179453	na	13923	-0.664493203163147	-0.35003412	Yes	
row_23	XM_047183009	na	13963	-0.6703742742538452	-0.30454883	Yes	
row_24	XM_047173469	na	13985	-0.6760014295578003	-0.25751543	Yes	
row_25	XM_047165373	na	14315	-0.7645941376686096	-0.22374333	Yes	
row_26	XM_047184639	na	14986	-1.0090513229370117	-0.19418004	Yes	
row_27	XM_047174218	na	15105	-1.078644871711731	-0.12450922	Yes	
row_28	XM_047170552	na	15142	-1.1089588403701782	-0.047451083	Yes	
row_29	XM_047182798	na	15274	-1.1967893838882446	0.029846014	Yes	
