NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047184716	na	65	3.1575160026550293	0.058050785	Yes	
row_1	XM_047177572	na	112	2.840240478515625	0.11106357	Yes	
row_2	XM_047180856	na	165	2.6063339710235596	0.15908633	Yes	
row_3	XM_047179055	na	183	2.5087575912475586	0.20741893	Yes	
row_4	XM_047170288	na	202	2.4306888580322266	0.25415	Yes	
row_5	XM_047178591	na	261	2.2281546592712402	0.2943409	Yes	
row_6	XM_047177535	na	372	1.94906485080719	0.32571852	Yes	
row_7	XM_047170336	na	415	1.865924596786499	0.35979465	Yes	
row_8	XM_047169633	na	459	1.7828673124313354	0.39217094	Yes	
row_9	XM_047177559	na	714	1.4553031921386719	0.40464008	Yes	
row_10	XM_047166558	na	724	1.4407480955123901	0.43244556	Yes	
row_11	XM_047169950	na	833	1.321939468383789	0.45159778	Yes	
row_12	XM_047177546	na	862	1.2997549772262573	0.47541443	Yes	
row_13	XM_047169899	na	955	1.226589560508728	0.49370876	Yes	
row_14	XM_047180373	na	1016	1.1774896383285522	0.5130765	Yes	
row_15	XM_047173661	na	1046	1.1531498432159424	0.5339416	Yes	
row_16	XM_047164512	na	1144	1.0859142541885376	0.5491461	Yes	
row_17	XM_047169878	na	1151	1.0818774700164795	0.57007396	Yes	
row_18	XM_047164511	na	1196	1.0583621263504028	0.58811545	Yes	
row_19	XM_047170384	na	1222	1.0487205982208252	0.6071786	Yes	
row_20	XM_047170374	na	1321	0.9966530799865723	0.6205611	Yes	
row_21	XM_047168596	na	2236	0.6548486948013306	0.5751768	No	
row_22	XM_047175184	na	2298	0.6436077356338501	0.5839645	No	
row_23	XM_047180313	na	2440	0.6140378713607788	0.58706844	No	
row_24	XM_047169598	na	2508	0.5966821312904358	0.59454924	No	
row_25	XM_047163890	na	3202	0.43843385577201843	0.55899453	No	
row_26	XM_047170200	na	3369	0.4097806215286255	0.5564809	No	
row_27	XM_047185134	na	3440	0.39848265051841736	0.55986637	No	
row_28	XM_047176247	na	3457	0.39402344822883606	0.5666074	No	
row_29	XM_047169596	na	3683	0.3700920045375824	0.5595497	No	
row_30	XM_047171336	na	3768	0.3643883466720581	0.56137085	No	
row_31	XM_047168571	na	3921	0.35483482480049133	0.5586676	No	
row_32	XM_047174117	na	4758	0.2238241583108902	0.5097669	No	
row_33	XM_047169446	na	5880	0.053769055753946304	0.43934277	No	
row_34	XM_047185236	na	5948	0.044632844626903534	0.43594953	No	
row_35	XM_047164310	na	6327	0.0	0.41184545	No	
row_36	XM_047164311	na	6328	0.0	0.41184545	No	
row_37	XM_047164513	na	6347	0.0	0.41069764	No	
row_38	XM_047168175	na	6642	0.0	0.39195004	No	
row_39	XM_047169543	na	6747	0.0	0.38531822	No	
row_40	XM_047169582	na	6760	0.0	0.38455302	No	
row_41	XM_047169584	na	6761	0.0	0.38455302	No	
row_42	XM_047169820	na	6782	0.0	0.38327768	No	
row_43	XM_047173645	na	7121	0.0	0.3617243	No	
row_44	XM_047173652	na	7122	0.0	0.3617243	No	
row_45	XM_047173964	na	7141	0.0	0.36057648	No	
row_46	XM_047175182	na	7234	0.0	0.3547099	No	
row_47	XM_047180760	na	7741	0.0	0.3224436	No	
row_48	XM_047174988	na	8934	-0.05318545177578926	0.2474805	No	
row_49	XM_047169860	na	9884	-0.1991327404975891	0.1908877	No	
row_50	XM_047170295	na	11179	-0.3326622247695923	0.114925385	No	
row_51	XM_047164484	na	11205	-0.33395886421203613	0.119909406	No	
row_52	XM_047169959	na	11250	-0.33395886421203613	0.12368185	No	
row_53	XM_047169898	na	11499	-0.3544710874557495	0.11484978	No	
row_54	XM_047168419	na	12291	-0.45198574662208557	0.07331285	No	
row_55	XM_047169819	na	13193	-0.5562120079994202	0.026814513	No	
row_56	XM_047169863	na	13762	-0.6257207989692688	0.0029198746	No	
row_57	XM_047173963	na	14449	-0.8104897141456604	-0.0248598	No	
row_58	XM_047168569	na	14976	-1.0042130947113037	-0.038620796	No	
row_59	XM_047168710	na	15117	-1.0905100107192993	-0.02606774	No	
row_60	XM_047165488	na	15531	-1.5265381336212158	-0.022334442	No	
row_61	XM_047168101	na	15645	-1.8169317245483398	0.00624914	No	
