NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047164326	na	1608	0.8540669083595276	-0.080925755	No	
row_1	XM_047185572	na	1612	0.8499928116798401	-0.05945184	No	
row_2	XM_047164493	na	1759	0.7962523102760315	-0.048480432	No	
row_3	XM_047164709	na	1960	0.7340373992919922	-0.04254354	No	
row_4	XM_047170544	na	2713	0.5374630093574524	-0.07687069	No	
row_5	XM_047185858	na	5076	0.17003025114536285	-0.22338618	No	
row_6	XM_047164614	na	5147	0.16217921674251556	-0.22372295	No	
row_7	XM_047163743	na	6284	0.0	-0.29627374	No	
row_8	XM_047164219	na	6320	0.0	-0.298509	No	
row_9	XM_047164220	na	6321	0.0	-0.298509	No	
row_10	XM_047164424	na	6340	0.0	-0.29965857	No	
row_11	XM_047164699	na	6373	0.0	-0.30170226	No	
row_12	XM_047164824	na	6384	0.0	-0.30234092	No	
row_13	XM_047164834	na	6387	0.0	-0.30246863	No	
row_14	XM_047185624	na	8155	0.0	-0.4153183	No	
row_15	XM_047180878	na	8678	-0.015765873715281487	-0.44825405	No	
row_16	XM_047164518	na	8717	-0.022545484825968742	-0.45010626	No	
row_17	XM_047174444	na	8838	-0.03955913335084915	-0.45676175	No	
row_18	XM_047183377	na	9392	-0.11836928129196167	-0.48906204	No	
row_19	XM_047176580	na	9645	-0.15906567871570587	-0.5011016	No	
row_20	XM_047166406	na	10134	-0.23917683959007263	-0.5261714	No	
row_21	XM_047164330	na	10707	-0.30000075697898865	-0.5550555	No	
row_22	XM_047181624	na	10827	-0.318266361951828	-0.55454314	No	
row_23	XM_047164629	na	10837	-0.3193267285823822	-0.5469786	No	
row_24	XM_047168171	na	10849	-0.3193267285823822	-0.5395418	No	
row_25	XM_047164218	na	11201	-0.33395886421203613	-0.5534461	No	
row_26	XM_047174785	na	11293	-0.33395886421203613	-0.55074555	No	
row_27	XM_047173573	na	11415	-0.3379288911819458	-0.54985976	No	
row_28	XM_047164479	na	11855	-0.4002546966075897	-0.5676944	Yes	
row_29	XM_047180865	na	11968	-0.40652844309806824	-0.5644853	Yes	
row_30	XM_047164698	na	12007	-0.4127184748649597	-0.5563924	Yes	
row_31	XM_047173749	na	12052	-0.42000389099121094	-0.54849696	Yes	
row_32	XM_047164222	na	12115	-0.42891573905944824	-0.54152393	Yes	
row_33	XM_047164730	na	12154	-0.43085959553718567	-0.5329686	Yes	
row_34	XM_047166398	na	12175	-0.4359055161476135	-0.52313507	Yes	
row_35	XM_047164397	na	12231	-0.44472211599349976	-0.51531214	Yes	
row_36	XM_047183544	na	12241	-0.44472211599349976	-0.50455135	Yes	
