NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047163131	na	603	1.568983793258667	0.020668551	No	
row_1	XM_047163134	na	1607	0.8543094992637634	-0.011060845	No	
row_2	XM_047167203	na	1662	0.8305449485778809	0.01677608	No	
row_3	XM_047178849	na	2198	0.6641160249710083	0.0077007487	No	
row_4	XM_047184761	na	2556	0.5843091011047363	0.0069604563	No	
row_5	XM_047165270	na	3031	0.4666203260421753	-0.0056659775	No	
row_6	XM_047176753	na	3937	0.35159042477607727	-0.050083518	No	
row_7	XM_047163132	na	4363	0.29378896951675415	-0.06609675	No	
row_8	XM_047170728	na	4398	0.28790193796157837	-0.05742088	No	
row_9	XM_047178851	na	4791	0.21800565719604492	-0.07418557	No	
row_10	XM_047170556	na	5575	0.09992924332618713	-0.120307684	No	
row_11	XM_047183189	na	5696	0.08280135691165924	-0.124834746	No	
row_12	XM_047184233	na	8020	0.0	-0.27283424	No	
row_13	XM_047170505	na	8686	-0.017122525721788406	-0.3145569	No	
row_14	XM_047178464	na	9005	-0.061930496245622635	-0.3324846	No	
row_15	XM_047168389	na	9351	-0.11481327563524246	-0.35014102	No	
row_16	XM_047177376	na	9465	-0.1307840794324875	-0.3524151	No	
row_17	XM_047171991	na	9807	-0.18489408493041992	-0.36717752	No	
row_18	XM_047167391	na	9956	-0.2098819613456726	-0.36870277	No	
row_19	XM_047169725	na	10770	-0.31082847714424133	-0.40879402	No	
row_20	XM_047168390	na	11018	-0.32332196831703186	-0.4123546	No	
row_21	XM_047174712	na	11470	-0.3497430682182312	-0.42791712	Yes	
row_22	XM_047171526	na	11686	-0.3810887634754181	-0.42726356	Yes	
row_23	XM_047180901	na	11769	-0.39050397276878357	-0.41778192	Yes	
row_24	XM_047170507	na	11846	-0.39822933077812195	-0.4076271	Yes	
row_25	XM_047171088	na	11850	-0.39876893162727356	-0.3928011	Yes	
row_26	XM_047163561	na	12443	-0.4723483920097351	-0.41272965	Yes	
row_27	XM_047184757	na	12469	-0.4759078621864319	-0.39640033	Yes	
row_28	XM_047186331	na	12809	-0.5055155158042908	-0.3989611	Yes	
row_29	XM_047166502	na	12866	-0.512630045413971	-0.38322386	Yes	
row_30	XM_047177803	na	13062	-0.5425204038619995	-0.37521678	Yes	
row_31	XM_047178092	na	13091	-0.5468930006027222	-0.35640535	Yes	
row_32	XM_047179410	na	13216	-0.5592752695083618	-0.34324384	Yes	
row_33	XM_047185423	na	13477	-0.5912619233131409	-0.33754238	Yes	
row_34	XM_047184668	na	13688	-0.6159255504608154	-0.3277266	Yes	
row_35	XM_047184213	na	13760	-0.6255348920822144	-0.30869317	Yes	
row_36	XM_047167246	na	13854	-0.6464091539382935	-0.2902753	Yes	
row_37	XM_047179453	na	13923	-0.664493203163147	-0.2695836	Yes	
row_38	XM_047169050	na	13972	-0.6711211800575256	-0.24736813	Yes	
row_39	XM_047170718	na	14022	-0.6852214336395264	-0.22468536	Yes	
row_40	XM_047181681	na	14086	-0.6993144154548645	-0.2023638	Yes	
row_41	XM_047165751	na	14255	-0.7481324076652527	-0.18489343	Yes	
row_42	XM_047184100	na	14541	-0.8382147550582886	-0.1714848	Yes	
row_43	XM_047177846	na	14640	-0.8693850636482239	-0.14498848	Yes	
row_44	XM_047177130	na	14666	-0.8807790279388428	-0.113412194	Yes	
row_45	XM_047179163	na	14690	-0.8873093724250793	-0.08146257	Yes	
row_46	XM_047171157	na	15349	-1.268112063407898	-0.07562855	Yes	
row_47	XM_047175785	na	15722	-2.6731295585632324	0.0013378857	Yes	
