NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047170650	na	199	2.4487996101379395	0.057064824	Yes	
row_1	XM_047167918	na	311	2.114999771118164	0.11022961	Yes	
row_2	XM_047163981	na	355	1.9821546077728271	0.16394344	Yes	
row_3	XM_047170847	na	405	1.8895097970962524	0.21463637	Yes	
row_4	XM_047170963	na	644	1.5219279527664185	0.24281818	Yes	
row_5	XM_047184935	na	657	1.504777193069458	0.284911	Yes	
row_6	XM_047166558	na	724	1.4407480955123901	0.32173967	Yes	
row_7	XM_047184672	na	871	1.2925238609313965	0.34924957	Yes	
row_8	XM_047175805	na	896	1.2730213403701782	0.38397723	Yes	
row_9	XM_047170846	na	935	1.2369989156723022	0.4167869	Yes	
row_10	XM_047173661	na	1046	1.1531498432159424	0.44262108	Yes	
row_11	XM_047167522	na	1122	1.1004306077957153	0.46918374	Yes	
row_12	XM_047170523	na	1525	0.8918643593788147	0.46897158	Yes	
row_13	XM_047185417	na	1555	0.877810001373291	0.49212468	Yes	
row_14	XM_047164602	na	1721	0.8093013763427734	0.5046614	Yes	
row_15	XM_047181676	na	1775	0.7911003232002258	0.5238158	Yes	
row_16	XM_047163973	na	2139	0.6796543598175049	0.52004457	Yes	
row_17	XM_047165303	na	2251	0.6517359614372253	0.53153425	Yes	
row_18	XM_047166015	na	2267	0.6480602622032166	0.5490359	Yes	
row_19	XM_047180313	na	2440	0.6140378713607788	0.55556536	Yes	
row_20	XM_047179482	na	2864	0.5017697215080261	0.542905	No	
row_21	XM_047176274	na	2999	0.4759993851184845	0.5479241	No	
row_22	XM_047165289	na	3350	0.41295209527015686	0.5373852	No	
row_23	XM_047171930	na	4486	0.2712145447731018	0.47279367	No	
row_24	XM_047171519	na	4570	0.2564210593700409	0.47480845	No	
row_25	XM_047165302	na	4656	0.24028031527996063	0.4762361	No	
row_26	XM_047172131	na	4673	0.23647385835647583	0.48195168	No	
row_27	XM_047171109	na	4684	0.23470649123191833	0.48799917	No	
row_28	XM_047181674	na	4712	0.23049351572990417	0.49284354	No	
row_29	XM_047184766	na	4754	0.2241853028535843	0.49661624	No	
row_30	XM_047183550	na	4995	0.18225570023059845	0.48651555	No	
row_31	XM_047165207	na	5030	0.17596040666103363	0.48936078	No	
row_32	XM_047172533	na	5183	0.15800216794013977	0.48417622	No	
row_33	XM_047170850	na	5274	0.14309242367744446	0.4825173	No	
row_34	XM_047185751	na	5432	0.12007907032966614	0.4759341	No	
row_35	XM_047165304	na	5451	0.11713390052318573	0.4781233	No	
row_36	XM_047181754	na	5592	0.09714727848768234	0.4719701	No	
row_37	XM_047172534	na	7031	0.0	0.38034856	No	
row_38	XM_047173645	na	7121	0.0	0.374678	No	
row_39	XM_047173652	na	7122	0.0	0.374678	No	
row_40	XM_047181673	na	7821	0.0	0.3302052	No	
row_41	XM_047178096	na	9162	-0.086904376745224	0.24730282	No	
row_42	XM_047170649	na	9269	-0.10187137871980667	0.24345046	No	
row_43	XM_047170282	na	9705	-0.16748164594173431	0.22050466	No	
row_44	XM_047167845	na	9726	-0.16992071270942688	0.22406986	No	
row_45	XM_047171518	na	11543	-0.3620242178440094	0.11867501	No	
row_46	XM_047170318	na	12920	-0.5190796852111816	0.045787636	No	
row_47	XM_047171715	na	15708	-2.3324713706970215	-0.065353945	No	
row_48	XM_047183360	na	15710	-2.370718002319336	0.0021025257	No	
