NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047169731	na	407	1.8863978385925293	-0.0017973424	No	
row_1	XM_047181884	na	436	1.829824686050415	0.019985229	No	
row_2	XM_047181883	na	723	1.4420286417007446	0.020222789	No	
row_3	XM_047169903	na	778	1.38528573513031	0.03460956	No	
row_4	XM_047165242	na	970	1.2128112316131592	0.037986763	No	
row_5	XM_047171196	na	1029	1.1660610437393188	0.04929212	No	
row_6	XM_047170974	na	1065	1.1419992446899414	0.06176264	No	
row_7	XM_047185933	na	1123	1.1002817153930664	0.07228453	No	
row_8	XM_047164049	na	1460	0.9263014793395996	0.06266963	No	
row_9	XM_047176760	na	2137	0.6801281571388245	0.028075173	No	
row_10	XM_047184419	na	2423	0.6217238306999207	0.01780671	No	
row_11	XM_047171319	na	2485	0.6021826267242432	0.021653712	No	
row_12	XM_047165555	na	2549	0.5860030055046082	0.025163949	No	
row_13	XM_047169457	na	2559	0.5840990543365479	0.032113187	No	
row_14	XM_047178600	na	2601	0.5732780694961548	0.036870524	No	
row_15	XM_047183253	na	2777	0.5248401761054993	0.03240901	No	
row_16	XM_047186078	na	2911	0.4928232431411743	0.030228792	No	
row_17	XM_047185934	na	2934	0.4890482425689697	0.035119426	No	
row_18	XM_047163537	na	3415	0.4043618440628052	0.009542899	No	
row_19	XM_047186220	na	3579	0.3862294554710388	0.004064967	No	
row_20	XM_047166890	na	3600	0.37908968329429626	0.0076669925	No	
row_21	XM_047174462	na	3626	0.37644144892692566	0.010914195	No	
row_22	XM_047168500	na	3658	0.3717201352119446	0.013715724	No	
row_23	XM_047184418	na	3840	0.36419403553009033	0.0067993393	No	
row_24	XM_047174261	na	3971	0.3473309874534607	0.002936781	No	
row_25	XM_047185016	na	4141	0.33443617820739746	-0.0035933785	No	
row_26	XM_047165967	na	4275	0.30764663219451904	-0.008159714	No	
row_27	XM_047170633	na	4470	0.27401503920555115	-0.017071929	No	
row_28	XM_047176763	na	4480	0.27211976051330566	-0.014142745	No	
row_29	XM_047185598	na	4743	0.22683501243591309	-0.028024396	No	
row_30	XM_047179136	na	4929	0.19520212709903717	-0.03737491	No	
row_31	XM_047169226	na	5065	0.17337968945503235	-0.04379964	No	
row_32	XM_047172899	na	5087	0.168654665350914	-0.042973347	No	
row_33	XM_047175435	na	5234	0.14893624186515808	-0.05041858	No	
row_34	XM_047183144	na	5361	0.12951542437076569	-0.056831278	No	
row_35	XM_047178152	na	5383	0.12633909285068512	-0.05655025	No	
row_36	XM_047179966	na	5409	0.12385550141334534	-0.05655778	No	
row_37	XM_047185074	na	5476	0.11508623510599136	-0.05930803	No	
row_38	XM_047165513	na	5563	0.10166486352682114	-0.06351402	No	
row_39	XM_047168501	na	5774	0.07127862423658371	-0.076064855	No	
row_40	XM_047170752	na	5790	0.0666094645857811	-0.07616864	No	
row_41	XM_047175625	na	5856	0.05744784697890282	-0.07959746	No	
row_42	XM_047174355	na	5863	0.05606662482023239	-0.07925984	No	
row_43	XM_047173914	na	5876	0.054003000259399414	-0.07933365	No	
row_44	XM_047169664	na	5970	0.04071798175573349	-0.08477395	No	
row_45	XM_047171465	na	6014	0.03239588066935539	-0.08711451	No	
row_46	XM_047179947	na	6144	0.012444528751075268	-0.09522816	No	
row_47	XM_047166485	na	6496	0.0	-0.11774115	No	
row_48	XM_047167016	na	6537	0.0	-0.12030673	No	
row_49	XM_047167366	na	6563	0.0	-0.12191022	No	
row_50	XM_047170884	na	6872	0.0	-0.1416652	No	
row_51	XM_047171198	na	6888	0.0	-0.1426273	No	
row_52	XM_047172897	na	7066	0.0	-0.15398	No	
row_53	XM_047174341	na	7165	0.0	-0.16026568	No	
row_54	XM_047174380	na	7169	0.0	-0.1604581	No	
row_55	XM_047176587	na	7362	0.0	-0.1727729	No	
row_56	XM_047176802	na	7378	0.0	-0.173735	No	
row_57	XM_047177971	na	7465	0.0	-0.179251	No	
row_58	XM_047185874	na	8175	0.0	-0.22472595	No	
row_59	XM_047177540	na	8611	-0.004770519211888313	-0.25256518	No	
row_60	XM_047179010	na	8633	-0.009020958095788956	-0.2537959	No	
row_61	XM_047176492	na	8638	-0.009525918401777744	-0.25392967	No	
row_62	XM_047165408	na	8731	-0.023632720112800598	-0.259526	No	
row_63	XM_047181309	na	8735	-0.024274716153740883	-0.25940564	No	
row_64	XM_047186198	na	8790	-0.03057287260890007	-0.26247522	No	
row_65	XM_047173805	na	8822	-0.036402102559804916	-0.2639945	No	
row_66	XM_047180595	na	9241	-0.09803231805562973	-0.2895416	No	
row_67	XM_047177792	na	9326	-0.11154929548501968	-0.29349193	No	
row_68	XM_047165243	na	9368	-0.11704644560813904	-0.29461345	No	
row_69	XM_047166891	na	9387	-0.11821793764829636	-0.29424465	No	
row_70	XM_047176269	na	9610	-0.1533445417881012	-0.30650768	No	
row_71	XM_047175041	na	9675	-0.16306376457214355	-0.30851144	No	
row_72	XM_047179502	na	9841	-0.19121305644512177	-0.31663057	No	
row_73	XM_047165310	na	9867	-0.1968034952878952	-0.31569812	No	
row_74	XM_047165167	na	9869	-0.19717341661453247	-0.31322154	No	
row_75	XM_047172071	na	9963	-0.21089865267276764	-0.31646895	No	
row_76	XM_047164726	na	10015	-0.22040057182312012	-0.31690007	No	
row_77	XM_047169127	na	10126	-0.23798030614852905	-0.32088888	No	
row_78	XM_047177790	na	10220	-0.2509758770465851	-0.32361987	No	
row_79	XM_047167055	na	10258	-0.25692182779312134	-0.32268244	No	
row_80	XM_047167019	na	10479	-0.2888621985912323	-0.33307096	No	
row_81	XM_047171958	na	10725	-0.30319520831108093	-0.3448783	No	
row_82	XM_047171197	na	10775	-0.3114161193370819	-0.34400833	No	
row_83	XM_047167367	na	10847	-0.3193267285823822	-0.34444752	No	
row_84	XM_047177791	na	10898	-0.3193267285823822	-0.34353974	No	
row_85	XM_047185017	na	11096	-0.32332196831703186	-0.35200903	No	
row_86	XM_047167018	na	11150	-0.32734495401382446	-0.3511904	No	
row_87	XM_047179426	na	11408	-0.3361361622810364	-0.3633429	No	
row_88	XM_047165427	na	11409	-0.3367113471031189	-0.35900417	No	
row_89	XM_047178728	na	11456	-0.347368061542511	-0.35747853	No	
row_90	XM_047178075	na	11495	-0.35425546765327454	-0.35535103	No	
row_91	XM_047177007	na	11496	-0.35430043935775757	-0.35078564	No	
row_92	XM_047165667	na	11523	-0.3586525321006775	-0.3478318	No	
row_93	XM_047166605	na	11628	-0.3721909821033478	-0.34970638	No	
row_94	XM_047173153	na	11673	-0.379231721162796	-0.3476419	No	
row_95	XM_047172143	na	11721	-0.3868486285209656	-0.34567165	No	
row_96	XM_047164955	na	11824	-0.3952898681163788	-0.3471203	No	
row_97	XM_047173643	na	11983	-0.4097250998020172	-0.3519748	No	
row_98	XM_047164148	na	12019	-0.4148140251636505	-0.34887454	No	
row_99	XM_047178516	na	12304	-0.4531208872795105	-0.3612514	No	
row_100	XM_047168540	na	12560	-0.48680368065834045	-0.37133422	Yes	
row_101	XM_047180773	na	12568	-0.4880567789077759	-0.36549425	Yes	
row_102	XM_047176229	na	12581	-0.4895187020301819	-0.35995618	Yes	
row_103	XM_047174513	na	12585	-0.4898039996623993	-0.35383713	Yes	
row_104	XM_047173700	na	12816	-0.5065068006515503	-0.36206257	Yes	
row_105	XM_047166520	na	12857	-0.5115942358970642	-0.35803595	Yes	
row_106	XM_047176803	na	13025	-0.5354786515235901	-0.36184725	Yes	
row_107	XM_047181921	na	13184	-0.5550649166107178	-0.36482894	Yes	
row_108	XM_047179538	na	13268	-0.5609270930290222	-0.3629246	Yes	
row_109	XM_047176225	na	13290	-0.5631619095802307	-0.35701483	Yes	
row_110	XM_047169565	na	13373	-0.5753154754638672	-0.35486096	Yes	
row_111	XM_047165235	na	13393	-0.5788878798484802	-0.34862027	Yes	
row_112	XM_047185072	na	13400	-0.5807406902313232	-0.3415219	Yes	
row_113	XM_047173806	na	13417	-0.5824664831161499	-0.33504266	Yes	
row_114	XM_047165081	na	13425	-0.5834619998931885	-0.32797337	Yes	
row_115	XM_047184116	na	13445	-0.5850868821144104	-0.32165277	Yes	
row_116	XM_047186309	na	13701	-0.6198535561561584	-0.33002114	Yes	
row_117	XM_047169225	na	13793	-0.6333010792732239	-0.32769737	Yes	
row_118	XM_047185968	na	13895	-0.655689537525177	-0.32572648	Yes	
row_119	XM_047176863	na	14018	-0.684357762336731	-0.3247331	Yes	
row_120	XM_047162837	na	14074	-0.6976616382598877	-0.31927097	Yes	
row_121	XM_047179596	na	14082	-0.6985621452331543	-0.3107185	Yes	
row_122	XM_047177499	na	14256	-0.7482235431671143	-0.3121733	Yes	
row_123	XM_047174813	na	14366	-0.7796393036842346	-0.30911836	Yes	
row_124	XM_047174694	na	14398	-0.7920514941215515	-0.30090058	Yes	
row_125	XM_047173699	na	14409	-0.7953726053237915	-0.29129308	Yes	
row_126	XM_047172545	na	14413	-0.7974010109901428	-0.28121048	Yes	
row_127	XM_047169200	na	14548	-0.8401975035667419	-0.2789787	Yes	
row_128	XM_047173784	na	14553	-0.8413446545600891	-0.26839396	Yes	
row_129	XM_047163289	na	14558	-0.8439370393753052	-0.25777587	Yes	
row_130	XM_047176804	na	14568	-0.8467380404472351	-0.24744235	Yes	
row_131	XM_047171912	na	14657	-0.8771343231201172	-0.24178419	Yes	
row_132	XM_047169266	na	14691	-0.8875598907470703	-0.232464	Yes	
row_133	XM_047184086	na	14756	-0.9118330478668213	-0.22481938	Yes	
row_134	XM_047182891	na	14851	-0.9443535804748535	-0.21867989	Yes	
row_135	XM_047178315	na	14852	-0.9445424675941467	-0.20650885	Yes	
row_136	XM_047176801	na	14865	-0.9492451548576355	-0.19504687	Yes	
row_137	XM_047182060	na	14946	-0.9866465330123901	-0.18746446	Yes	
row_138	XM_047169134	na	14956	-0.9953325390815735	-0.17521621	Yes	
row_139	XM_047167182	na	14978	-1.0049775838851929	-0.16361335	Yes	
row_140	XM_047163801	na	15001	-1.0213123559951782	-0.15186416	Yes	
row_141	XM_047175837	na	15017	-1.0311355590820312	-0.13953939	Yes	
row_142	XM_047174194	na	15134	-1.1038933992385864	-0.1327552	Yes	
row_143	XM_047169479	na	15149	-1.1141184568405151	-0.11929701	Yes	
row_144	XM_047167743	na	15205	-1.151163935661316	-0.107991196	Yes	
row_145	XM_047166893	na	15238	-1.170554280281067	-0.09496031	Yes	
row_146	XM_047183424	na	15266	-1.1909432411193848	-0.081346	Yes	
row_147	XM_047169771	na	15279	-1.1990070343017578	-0.066665694	Yes	
row_148	XM_047176836	na	15345	-1.26564621925354	-0.05452609	Yes	
row_149	XM_047171549	na	15360	-1.2805930376052856	-0.03892277	Yes	
row_150	XM_047185073	na	15491	-1.469976782798767	-0.02831931	Yes	
row_151	XM_047182213	na	15582	-1.6510258913040161	-0.012817331	Yes	
row_152	XM_047165853	na	15638	-1.7910783290863037	0.0067342003	Yes	
