NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047177630	na	77	3.067203998565674	0.017565163	Yes	
row_1	XM_047168457	na	83	3.015178680419922	0.0393795	Yes	
row_2	XM_047167889	na	103	2.8984158039093018	0.059436124	Yes	
row_3	XM_047175092	na	129	2.7600769996643066	0.07809121	Yes	
row_4	XM_047175945	na	201	2.44105863571167	0.09144545	Yes	
row_5	XM_047172943	na	254	2.2485477924346924	0.104608476	Yes	
row_6	XM_047168363	na	284	2.1788556575775146	0.11873924	Yes	
row_7	XM_047176220	na	295	2.149545431137085	0.13387692	Yes	
row_8	XM_047168296	na	302	2.1353232860565186	0.14916748	Yes	
row_9	XM_047176589	na	325	2.079577684402466	0.16301964	Yes	
row_10	XM_047175946	na	357	1.9768635034561157	0.17553882	Yes	
row_11	XM_047169052	na	388	1.9161319732666016	0.18767649	Yes	
row_12	XM_047175947	na	404	1.8914871215820312	0.20059803	Yes	
row_13	XM_047168645	na	421	1.8518905639648438	0.21316455	Yes	
row_14	XM_047180005	na	423	1.8509141206741333	0.22668871	Yes	
row_15	XM_047181884	na	436	1.829824686050415	0.23935053	Yes	
row_16	XM_047170081	na	464	1.7745308876037598	0.25064158	Yes	
row_17	XM_047168102	na	471	1.7646068334579468	0.26321054	Yes	
row_18	XM_047178837	na	493	1.7327988147735596	0.27458113	Yes	
row_19	XM_047165518	na	496	1.730161428451538	0.28715447	Yes	
row_20	XM_047163528	na	506	1.7204334735870361	0.29920614	Yes	
row_21	XM_047170413	na	529	1.684600830078125	0.31015858	Yes	
row_22	XM_047164580	na	616	1.543867588043213	0.31596127	Yes	
row_23	XM_047166399	na	662	1.4997782707214355	0.32407746	Yes	
row_24	XM_047166089	na	685	1.4821726083755493	0.33354375	Yes	
row_25	XM_047181883	na	723	1.4420286417007446	0.34175053	Yes	
row_26	XM_047176025	na	735	1.4202907085418701	0.35147008	Yes	
row_27	XM_047176502	na	754	1.4049698114395142	0.36062688	Yes	
row_28	XM_047172334	na	780	1.3828774690628052	0.36917126	Yes	
row_29	XM_047186307	na	810	1.3511863946914673	0.37722567	Yes	
row_30	XM_047184629	na	829	1.3272063732147217	0.3858116	Yes	
row_31	XM_047175500	na	881	1.2837803363800049	0.3919561	Yes	
row_32	XM_047171156	na	886	1.281413197517395	0.4011063	Yes	
row_33	XM_047178824	na	947	1.229526400566101	0.4062736	Yes	
row_34	XM_047169899	na	955	1.226589560508728	0.41482836	Yes	
row_35	XM_047185452	na	992	1.1909632682800293	0.42125627	Yes	
row_36	XM_047169132	na	1142	1.0871988534927368	0.4196541	Yes	
row_37	XM_047170620	na	1146	1.084405541419983	0.4274223	Yes	
row_38	XM_047169878	na	1151	1.0818774700164795	0.43510762	Yes	
row_39	XM_047176733	na	1177	1.066543459892273	0.44132963	Yes	
row_40	XM_047166724	na	1228	1.046643853187561	0.44579753	Yes	
row_41	XM_047170471	na	1331	0.9926217198371887	0.4465241	Yes	
row_42	XM_047170969	na	1351	0.9823986291885376	0.4525143	Yes	
row_43	XM_047178485	na	1504	0.9030153155326843	0.44936696	Yes	
row_44	XM_047179819	na	1575	0.8673312067985535	0.45123202	Yes	
row_45	XM_047165589	na	1624	0.8442097902297974	0.45434237	Yes	
row_46	XM_047178030	na	1799	0.7816637754440308	0.44888908	Yes	
row_47	XM_047175281	na	1841	0.7696083784103394	0.451902	Yes	
row_48	XM_047178112	na	1898	0.7531743049621582	0.45382944	Yes	
row_49	XM_047180694	na	1922	0.7456589937210083	0.45782432	Yes	
row_50	XM_047171748	na	1996	0.7211579084396362	0.45842326	Yes	
row_51	XM_047166493	na	2041	0.7088058590888977	0.46079683	Yes	
row_52	XM_047184461	na	2074	0.7005206942558289	0.46388143	Yes	
row_53	XM_047184012	na	2097	0.6928055286407471	0.4675526	Yes	
row_54	XM_047180175	na	2125	0.6824674606323242	0.47082627	Yes	
row_55	XM_047179882	na	2162	0.6736770272254944	0.4734565	Yes	
row_56	XM_047166812	na	2269	0.6479443311691284	0.47139537	Yes	
row_57	XM_047181918	na	2334	0.6395773887634277	0.47197428	Yes	
row_58	XM_047166737	na	2385	0.6311372518539429	0.4733917	Yes	
row_59	XM_047170970	na	2441	0.6138500571250916	0.47436064	Yes	
row_60	XM_047164804	na	2447	0.6130526661872864	0.47853976	Yes	
row_61	XM_047172968	na	2575	0.5795949101448059	0.47462606	No	
row_62	XM_047177174	na	2786	0.5227434039115906	0.46495637	No	
row_63	XM_047170775	na	2791	0.5221932530403137	0.46853277	No	
row_64	XM_047166465	na	2798	0.5201820135116577	0.47196576	No	
row_65	XM_047175640	na	2880	0.4977841377258301	0.47041023	No	
row_66	XM_047169691	na	2899	0.4947490096092224	0.47288465	No	
row_67	XM_047179818	na	3001	0.4754623472690582	0.46987882	No	
row_68	XM_047168400	na	3119	0.45114845037460327	0.46566537	No	
row_69	XM_047171436	na	3199	0.4400322437286377	0.4638145	No	
row_70	XM_047178115	na	3244	0.4302178621292114	0.46414283	No	
row_71	XM_047183832	na	3263	0.4265083074569702	0.46611625	No	
row_72	XM_047170390	na	3289	0.4230613112449646	0.46761414	No	
row_73	XM_047178678	na	3322	0.41930097341537476	0.46863416	No	
row_74	XM_047183551	na	3328	0.41788989305496216	0.4713805	No	
row_75	XM_047172137	na	3351	0.41247159242630005	0.47299358	No	
row_76	XM_047170200	na	3369	0.4097806215286255	0.47490853	No	
row_77	XM_047183538	na	3380	0.4097806215286255	0.47727373	No	
row_78	XM_047171924	na	3578	0.3862318992614746	0.467438	No	
row_79	XM_047165596	na	3668	0.3700920045375824	0.46443045	No	
row_80	XM_047166725	na	3670	0.3700920045375824	0.46708316	No	
row_81	XM_047167670	na	3674	0.3700920045375824	0.46960723	No	
row_82	XM_047167678	na	3675	0.3700920045375824	0.47232425	No	
row_83	XM_047177554	na	3814	0.36419403553009033	0.46612167	No	
row_84	XM_047178026	na	3920	0.35485705733299255	0.46197316	No	
row_85	XM_047175628	na	3944	0.35073381662368774	0.4630687	No	
row_86	XM_047178518	na	3958	0.34898537397384644	0.46479458	No	
row_87	XM_047163124	na	3973	0.34714263677597046	0.46644264	No	
row_88	XM_047186306	na	4064	0.34714263677597046	0.4632023	No	
row_89	XM_047176024	na	4123	0.33832213282585144	0.46195546	No	
row_90	XM_047185638	na	4180	0.32732459902763367	0.46075654	No	
row_91	XM_047177801	na	4269	0.30869120359420776	0.45736253	No	
row_92	XM_047177441	na	4318	0.30067428946495056	0.45648253	No	
row_93	XM_047171024	na	4441	0.28031912446022034	0.4506933	No	
row_94	XM_047168762	na	4493	0.27046605944633484	0.44939858	No	
row_95	XM_047175483	na	4560	0.2576161324977875	0.44704467	No	
row_96	XM_047164169	na	4565	0.25707072019577026	0.44867468	No	
row_97	XM_047184835	na	4891	0.20035140216350555	0.42924118	No	
row_98	XM_047164737	na	4930	0.19490191340446472	0.42822787	No	
row_99	XM_047179606	na	4986	0.18328438699245453	0.4260358	No	
row_100	XM_047183810	na	5012	0.17915256321430206	0.425743	No	
row_101	XM_047169471	na	5062	0.17417941987514496	0.42387003	No	
row_102	XM_047170097	na	5086	0.16886486113071442	0.42363036	No	
row_103	XM_047172565	na	5206	0.15417537093162537	0.41710803	No	
row_104	XM_047184806	na	5279	0.14222054183483124	0.41352102	No	
row_105	XM_047170401	na	5455	0.11713390052318573	0.40312475	No	
row_106	XM_047173984	na	5488	0.11257246136665344	0.40189293	No	
row_107	XM_047170556	na	5575	0.09992924332618713	0.39709496	No	
row_108	XM_047166646	na	5631	0.09273527562618256	0.3942381	No	
row_109	XM_047165985	na	5739	0.07401543855667114	0.38789913	No	
row_110	XM_047173678	na	5840	0.05971504747867584	0.38190544	No	
row_111	XM_047172550	na	6061	0.027223600074648857	0.36795464	No	
row_112	XM_047172791	na	6155	0.010083424858748913	0.3620468	No	
row_113	XM_047163509	na	6261	0.0	0.3552931	No	
row_114	XM_047165595	na	6436	0.0	0.34410125	No	
row_115	XM_047166466	na	6495	0.0	0.34037063	No	
row_116	XM_047166674	na	6513	0.0	0.33927715	No	
row_117	XM_047168717	na	6677	0.0	0.3287928	No	
row_118	XM_047169386	na	6727	0.0	0.3256411	No	
row_119	XM_047170774	na	6864	0.0	0.31689343	No	
row_120	XM_047171187	na	6887	0.0	0.31547835	No	
row_121	XM_047172558	na	7035	0.0	0.30602315	No	
row_122	XM_047173677	na	7125	0.0	0.30029857	No	
row_123	XM_047174836	na	7210	0.0	0.2948956	No	
row_124	XM_047177081	na	7404	0.0	0.28248164	No	
row_125	XM_047177362	na	7421	0.0	0.2814525	No	
row_126	XM_047177368	na	7422	0.0	0.2814525	No	
row_127	XM_047177557	na	7442	0.0	0.2802304	No	
row_128	XM_047178476	na	7503	0.0	0.27637112	No	
row_129	XM_047180569	na	7726	0.0	0.26209185	No	
row_130	XM_047182535	na	7884	0.0	0.25199345	No	
row_131	XM_047184231	na	8019	0.0	0.2433744	No	
row_132	XM_047184440	na	8034	0.0	0.24247392	No	
row_133	XM_047184442	na	8035	0.0	0.24247392	No	
row_134	XM_047172172	na	8617	-0.005379035137593746	0.20514286	No	
row_135	XM_047173403	na	8760	-0.02756323851644993	0.19621162	No	
row_136	XM_047177442	na	8829	-0.03689182177186012	0.19210863	No	
row_137	XM_047172692	na	8939	-0.0537283755838871	0.18549207	No	
row_138	XM_047164265	na	9110	-0.07775762677192688	0.17512834	No	
row_139	XM_047181307	na	9248	-0.09910301119089127	0.16704392	No	
row_140	XM_047163651	na	9308	-0.10884054750204086	0.16404803	No	
row_141	XM_047163877	na	9473	-0.13144437968730927	0.15446436	No	
row_142	XM_047182057	na	9575	-0.1479267179965973	0.14905395	No	
row_143	XM_047182938	na	9703	-0.16697925329208374	0.14211105	No	
row_144	XM_047168844	na	10128	-0.23838719725608826	0.116589025	No	
row_145	XM_047175986	na	10147	-0.24051547050476074	0.11719699	No	
row_146	XM_047172464	na	10157	-0.24133671820163727	0.118389875	No	
row_147	XM_047173910	na	10172	-0.24324572086334229	0.11927517	No	
row_148	XM_047170181	na	10205	-0.2495010495185852	0.11904861	No	
row_149	XM_047177105	na	10328	-0.2687288522720337	0.113174304	No	
row_150	XM_047170613	na	10503	-0.2888621985912323	0.10410312	No	
row_151	XM_047174845	na	10528	-0.2888621985912323	0.1046801	No	
row_152	XM_047177186	na	10810	-0.31734010577201843	0.08893562	No	
row_153	XM_047164538	na	10998	-0.32332196831703186	0.07928125	No	
row_154	XM_047167395	na	11014	-0.32332196831703186	0.0806901	No	
row_155	XM_047175113	na	11142	-0.32605665922164917	0.074915074	No	
row_156	XM_047185367	na	11376	-0.33395886421203613	0.062380016	No	
row_157	XM_047167208	na	11407	-0.3358655273914337	0.062916145	No	
row_158	XM_047180812	na	11443	-0.3452482521533966	0.06319954	No	
row_159	XM_047163609	na	11487	-0.3529510498046875	0.06302493	No	
row_160	XM_047169898	na	11499	-0.3544710874557495	0.06491975	No	
row_161	XM_047170604	na	11574	-0.36617574095726013	0.06284827	No	
row_162	XM_047170483	na	11691	-0.38235342502593994	0.05819407	No	
row_163	XM_047183537	na	11697	-0.38344499468803406	0.060687527	No	
row_164	XM_047165613	na	11808	-0.39375370740890503	0.05650295	No	
row_165	XM_047164998	na	11864	-0.40045005083084106	0.055905197	No	
row_166	XM_047166614	na	11867	-0.40045005083084106	0.058716457	No	
row_167	XM_047164537	na	11926	-0.4007810652256012	0.05792817	No	
row_168	XM_047174297	na	12131	-0.42891573905944824	0.047955554	No	
row_169	XM_047175781	na	12134	-0.42891573905944824	0.0509758	No	
row_170	XM_047186208	na	12144	-0.42891573905944824	0.053545795	No	
row_171	XM_047178784	na	12494	-0.47837772965431213	0.034609746	No	
row_172	XM_047179809	na	12841	-0.5099481344223022	0.016098436	No	
row_173	XM_047182470	na	12842	-0.5101360082626343	0.0198436	No	
row_174	XM_047168277	na	12883	-0.5139658451080322	0.021044038	No	
row_175	XM_047186028	na	12902	-0.5161730051040649	0.023675743	No	
row_176	XM_047182058	na	13962	-0.6703742742538452	-0.039518733	No	
row_177	XM_047186063	na	13973	-0.6713367104530334	-0.035233323	No	
row_178	XM_047177079	na	13986	-0.6761489510536194	-0.031041227	No	
row_179	XM_047179607	na	14076	-0.6978240609169006	-0.031642728	No	
row_180	XM_047175758	na	14265	-0.7509879469871521	-0.038221713	No	
row_181	XM_047178944	na	14284	-0.754565954208374	-0.033839844	No	
row_182	XM_047168742	na	14311	-0.7627960443496704	-0.029912123	No	
row_183	XM_047172793	na	14917	-0.9734057188034058	-0.06168012	No	
row_184	XM_047169134	na	14956	-0.9953325390815735	-0.056817085	No	
row_185	XM_047177628	na	15000	-1.019859790802002	-0.05209559	No	
