NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047167881	na	2738	0.5329914093017578	-0.123093754	No	
row_1	XM_047179491	na	3027	0.4677744507789612	-0.0965766	No	
row_2	XM_047185983	na	4675	0.23619724810123444	-0.17871337	No	
row_3	XM_047181766	na	5231	0.14940829575061798	-0.1996993	No	
row_4	XM_047168521	na	6104	0.019638771191239357	-0.25329107	No	
row_5	XM_047170653	na	6154	0.010083424858748913	-0.25544176	No	
row_6	XM_047168416	na	6659	0.0	-0.28750488	No	
row_7	XM_047178638	na	7512	0.0	-0.34170678	No	
row_8	XM_047179835	na	7633	0.0	-0.34934086	No	
row_9	XM_047175990	na	8652	-0.011898662894964218	-0.4129627	No	
row_10	XM_047164253	na	9015	-0.06353577226400375	-0.42990187	No	
row_11	XM_047170157	na	9886	-0.19934356212615967	-0.46614066	No	
row_12	XM_047176166	na	10089	-0.2318597435951233	-0.45676622	No	
row_13	XM_047170080	na	10657	-0.29188650846481323	-0.4648582	No	
row_14	XM_047178041	na	11155	-0.32882997393608093	-0.4649557	No	
row_15	XM_047163421	na	11548	-0.36344265937805176	-0.45505556	No	
row_16	XM_047182833	na	13209	-0.5585102438926697	-0.50712377	Yes	
row_17	XM_047179713	na	13397	-0.5803031325340271	-0.46339473	Yes	
row_18	XM_047167206	na	13699	-0.6195837259292603	-0.4231528	Yes	
row_19	XM_047176319	na	14148	-0.7139587998390198	-0.3832162	Yes	
row_20	XM_047180852	na	14285	-0.7548965215682983	-0.31950688	Yes	
row_21	XM_047163413	na	14444	-0.8081268072128296	-0.25209472	Yes	
row_22	XM_047167719	na	14650	-0.8725882172584534	-0.18149358	Yes	
row_23	XM_047186304	na	14889	-0.9631845951080322	-0.1043076	Yes	
row_24	XM_047181877	na	15586	-1.6542882919311523	0.009988002	Yes	
