NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047182431	na	904	1.259383201599121	-0.03116042	No	
row_1	XM_047173597	na	1045	1.1536085605621338	-0.015745752	No	
row_2	XM_047174005	na	1241	1.0368788242340088	-0.0063095535	No	
row_3	XM_047166483	na	1462	0.9255436062812805	-8.2135695E-4	No	
row_4	XM_047178772	na	1470	0.9213912487030029	0.018186778	No	
row_5	XM_047171639	na	1664	0.8300256133079529	0.023383006	No	
row_6	XM_047186263	na	1978	0.7276752591133118	0.018751826	No	
row_7	XM_047182480	na	1995	0.7211979627609253	0.032957878	No	
row_8	XM_047171700	na	2011	0.7170454263687134	0.04714013	No	
row_9	XM_047178671	na	2185	0.6679206490516663	0.050191194	No	
row_10	XM_047171937	na	2263	0.6488506197929382	0.0589726	No	
row_11	XM_047182433	na	2885	0.4968978464603424	0.029791774	No	
row_12	XM_047182448	na	3102	0.4552792012691498	0.025605801	No	
row_13	XM_047182441	na	3553	0.39112669229507446	0.0051160236	No	
row_14	XM_047182757	na	4146	0.33341076970100403	-0.025664179	No	
row_15	XM_047164964	na	4350	0.29609939455986023	-0.032380752	No	
row_16	XM_047171640	na	4636	0.2430650144815445	-0.045455765	No	
row_17	XM_047173524	na	4781	0.2198590487241745	-0.050012916	No	
row_18	XM_047181337	na	5337	0.1334349513053894	-0.082651876	No	
row_19	XM_047185571	na	5493	0.11183532327413559	-0.09019271	No	
row_20	XM_047163240	na	5662	0.08671460300683975	-0.09909449	No	
row_21	XM_047167499	na	5743	0.07324430346488953	-0.10265876	No	
row_22	XM_047174415	na	5981	0.039146650582551956	-0.11697304	No	
row_23	XM_047171642	na	6064	0.026680132374167442	-0.1216483	No	
row_24	XM_047172838	na	6093	0.021473396569490433	-0.12298368	No	
row_25	XM_047163103	na	6231	0.0	-0.131736	No	
row_26	XM_047163104	na	6232	0.0	-0.131736	No	
row_27	XM_047166623	na	6508	0.0	-0.14930451	No	
row_28	XM_047167555	na	6579	0.0	-0.1537765	No	
row_29	XM_047168314	na	6655	0.0	-0.15856792	No	
row_30	XM_047169434	na	6734	0.0	-0.16355099	No	
row_31	XM_047170240	na	6821	0.0	-0.16904514	No	
row_32	XM_047170913	na	6876	0.0	-0.17249496	No	
row_33	XM_047172868	na	7061	0.0	-0.1842499	No	
row_34	XM_047176307	na	7336	0.0	-0.20175453	No	
row_35	XM_047184733	na	8052	0.0	-0.24743268	No	
row_36	XM_047185018	na	8082	0.0	-0.24928536	No	
row_37	XM_047184748	na	9070	-0.07243219763040543	-0.31081095	No	
row_38	XM_047180766	na	9313	-0.10944406688213348	-0.3239603	No	
row_39	XM_047163645	na	9334	-0.11257243156433105	-0.32286105	No	
row_40	XM_047185937	na	9470	-0.13130219280719757	-0.32871312	No	
row_41	XM_047163635	na	9494	-0.13559061288833618	-0.32731944	No	
row_42	XM_047185126	na	9583	-0.14883047342300415	-0.3297988	No	
row_43	XM_047168323	na	10184	-0.24427270889282227	-0.36297226	No	
row_44	XM_047183613	na	10313	-0.2659800052642822	-0.36553338	No	
row_45	XM_047163566	na	10349	-0.2734423279762268	-0.3619956	No	
row_46	XM_047171742	na	10393	-0.2792489528656006	-0.35884628	No	
row_47	XM_047176073	na	10413	-0.2814408838748932	-0.35411745	No	
row_48	XM_047163703	na	10710	-0.30043891072273254	-0.36668372	No	
row_49	XM_047164266	na	10765	-0.3099515736103058	-0.36358887	No	
row_50	XM_047170967	na	11261	-0.33395886421203613	-0.38816062	No	
row_51	XM_047171484	na	11264	-0.33395886421203613	-0.3812368	No	
row_52	XM_047168975	na	11464	-0.3487080931663513	-0.38658696	No	
row_53	XM_047172867	na	11489	-0.3530346155166626	-0.38066584	No	
