NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047166214	na	32	3.567805767059326	0.15078813	Yes	
row_1	XM_047183799	na	93	2.9610538482666016	0.27380434	Yes	
row_2	XM_047184183	na	119	2.8030037879943848	0.39227816	Yes	
row_3	XM_047166878	na	442	1.8114818334579468	0.44937798	Yes	
row_4	XM_047166105	na	533	1.680116057395935	0.51561666	Yes	
row_5	XM_047169454	na	583	1.6007720232009888	0.5810661	Yes	
row_6	XM_047183704	na	2349	0.6383943557739258	0.4960768	No	
row_7	XM_047166387	na	3127	0.4495282769203186	0.46587944	No	
row_8	XM_047179249	na	3283	0.42516273260116577	0.47422594	No	
row_9	XM_047180139	na	3306	0.4214262366294861	0.49087727	No	
row_10	XM_047175049	na	4249	0.3124769926071167	0.44430786	No	
row_11	XM_047180203	na	4523	0.26553457975387573	0.43830663	No	
row_12	XM_047184175	na	4757	0.2239660918712616	0.43307063	No	
row_13	XM_047172252	na	4804	0.2151060253381729	0.43935686	No	
row_14	XM_047163530	na	5589	0.09727779030799866	0.39362553	No	
row_15	XM_047166388	na	6487	0.0	0.33653542	No	
row_16	XM_047166801	na	6523	0.0	0.33430782	No	
row_17	XM_047169456	na	6736	0.0	0.32081494	No	
row_18	XM_047172254	na	7004	0.0	0.30382156	No	
row_19	XM_047179245	na	7562	0.0	0.26837096	No	
row_20	XM_047166481	na	9016	-0.06365427374839783	0.17862046	No	
row_21	XM_047170837	na	9962	-0.2108038067817688	0.12750499	No	
row_22	XM_047166427	na	10052	-0.2254263460636139	0.13149653	No	
row_23	XM_047175050	na	11133	-0.3243359327316284	0.07665199	No	
row_24	XM_047183918	na	11362	-0.33395886421203613	0.07644571	No	
row_25	XM_047164367	na	11526	-0.3587915301322937	0.08144009	No	
row_26	XM_047165480	na	12169	-0.434586763381958	0.059194863	No	
row_27	XM_047163529	na	12297	-0.45246487855911255	0.07049292	No	
row_28	XM_047179247	na	13284	-0.5623956322669983	0.031828213	No	
row_29	XM_047166134	na	13916	-0.6625757813453674	0.020048855	No	
row_30	XM_047166426	na	14822	-0.9337912201881409	0.0024479444	No	
row_31	XM_047180140	na	15392	-1.3098318576812744	0.022339437	No	
