NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047171319	na	2485	0.6021826267242432	-0.09142182	No	
row_1	XM_047174462	na	3626	0.37644144892692566	-0.12228005	No	
row_2	XM_047177971	na	7465	0.0	-0.36635	No	
row_3	XM_047177540	na	8611	-0.004770519211888313	-0.43863633	No	
row_4	XM_047165408	na	8731	-0.023632720112800598	-0.4435899	No	
row_5	XM_047165243	na	9368	-0.11704644560813904	-0.47108868	No	
row_6	XM_047165167	na	9869	-0.19717341661453247	-0.48107603	No	
row_7	XM_047178075	na	11495	-0.35425546765327454	-0.5452308	No	
row_8	XM_047164744	na	12533	-0.48415839672088623	-0.5576245	Yes	
row_9	XM_047168540	na	12560	-0.48680368065834045	-0.5054331	Yes	
row_10	XM_047174513	na	12585	-0.4898039996623993	-0.4527826	Yes	
row_11	XM_047173700	na	12816	-0.5065068006515503	-0.4113848	Yes	
row_12	XM_047176803	na	13025	-0.5354786515235901	-0.3653834	Yes	
row_13	XM_047181921	na	13184	-0.5550649166107178	-0.31403592	Yes	
row_14	XM_047165081	na	13425	-0.5834619998931885	-0.2647621	Yes	
row_15	XM_047179596	na	14082	-0.6985621452331543	-0.2292119	Yes	
row_16	XM_047173699	na	14409	-0.7953726053237915	-0.16196786	Yes	
row_17	XM_047175837	na	15017	-1.0311355590820312	-0.08651598	Yes	
row_18	XM_047169771	na	15279	-1.1990070343017578	0.029507179	Yes	
