NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047178359	na	29	1.474094033241272	0.007764136	Yes	
row_1	XM_047182477	na	47	1.378091812133789	0.015681515	Yes	
row_2	XM_047163239	na	49	1.3621788024902344	0.024537293	Yes	
row_3	XM_047169121	na	54	1.3405932188034058	0.03305622	Yes	
row_4	XM_047174481	na	69	1.2746789455413818	0.040491834	Yes	
row_5	XM_047186184	na	77	1.247226595878601	0.048203807	Yes	
row_6	XM_047169784	na	85	1.2258442640304565	0.055775747	Yes	
row_7	XM_047175742	na	90	1.21969473361969	0.06350291	Yes	
row_8	XM_047186179	na	131	1.1564701795578003	0.06847011	Yes	
row_9	XM_047185085	na	141	1.1416696310043335	0.07536047	Yes	
row_10	XM_047177494	na	189	1.0866553783416748	0.079414316	Yes	
row_11	XM_047175224	na	260	1.0135270357131958	0.08149048	Yes	
row_12	XM_047177153	na	277	0.9979928135871887	0.08698374	Yes	
row_13	XM_047166586	na	288	0.9901692271232605	0.09281675	Yes	
row_14	XM_047174479	na	292	0.9824956059455872	0.09905565	Yes	
row_15	XM_047172053	na	314	0.9701818227767944	0.10404096	Yes	
row_16	XM_047163314	na	324	0.9665701389312744	0.10978458	Yes	
row_17	XM_047182798	na	385	0.92861008644104	0.11195625	Yes	
row_18	XM_047164741	na	417	0.9141467213630676	0.11592296	Yes	
row_19	XM_047180328	na	422	0.9131346940994263	0.12164244	Yes	
row_20	XM_047179335	na	425	0.9128475189208984	0.12749037	Yes	
row_21	XM_047165012	na	429	0.9108632802963257	0.13326016	Yes	
row_22	XM_047171464	na	442	0.9048236608505249	0.1384039	Yes	
row_23	XM_047186206	na	469	0.8911701440811157	0.14254595	Yes	
row_24	XM_047175622	na	508	0.8709427714347839	0.14577356	Yes	
row_25	XM_047168345	na	529	0.858105480670929	0.15009004	Yes	
row_26	XM_047175247	na	534	0.8561205863952637	0.15543614	Yes	
row_27	XM_047163238	na	551	0.8465004563331604	0.15993728	Yes	
row_28	XM_047181825	na	552	0.8449864387512207	0.16547112	Yes	
row_29	XM_047168675	na	590	0.8299849629402161	0.16849566	Yes	
row_30	XM_047168911	na	616	0.8198363780975342	0.1722357	Yes	
row_31	XM_047168994	na	662	0.801081120967865	0.17454964	Yes	
row_32	XM_047167736	na	722	0.7766236066818237	0.17579111	Yes	
row_33	XM_047164731	na	746	0.7663134336471558	0.17931096	Yes	
row_34	XM_047170434	na	788	0.751916229724884	0.18156357	Yes	
row_35	XM_047168995	na	829	0.7402404546737671	0.18380488	Yes	
row_36	XM_047186157	na	840	0.7387920618057251	0.18799162	Yes	
row_37	XM_047174296	na	854	0.7352596521377563	0.19195972	Yes	
row_38	XM_047182810	na	889	0.7243734002113342	0.19448811	Yes	
row_39	XM_047172096	na	897	0.7223026752471924	0.19876234	Yes	
row_40	XM_047163057	na	908	0.72044837474823	0.20282893	Yes	
row_41	XM_047181683	na	945	0.7124088406562805	0.20514864	Yes	
row_42	XM_047164908	na	956	0.7099939584732056	0.20914677	Yes	
row_43	XM_047182061	na	981	0.7045647501945496	0.21219705	Yes	
