NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047167854	na	39	1.4091988801956177	0.023587048	Yes	
row_1	XM_047163239	na	49	1.3621788024902344	0.04822709	Yes	
row_2	XM_047175591	na	185	1.0928293466567993	0.059802376	Yes	
row_3	XM_047173205	na	203	1.0708470344543457	0.07853627	Yes	
row_4	XM_047170324	na	239	1.0340403318405151	0.095434725	Yes	
row_5	XM_047185899	na	244	1.0274860858917236	0.114199415	Yes	
row_6	XM_047185910	na	264	1.0097793340682983	0.13167457	Yes	
row_7	XM_047170745	na	405	0.9190905094146729	0.13971297	Yes	
row_8	XM_047181149	na	408	0.9182320833206177	0.15658335	Yes	
row_9	XM_047166360	na	487	0.882708728313446	0.16792336	Yes	
row_10	XM_047184447	na	540	0.8539320230484009	0.18039764	Yes	
row_11	XM_047163238	na	551	0.8465004563331604	0.19542718	Yes	
row_12	XM_047168675	na	590	0.8299849629402161	0.20835575	Yes	
row_13	XM_047173021	na	644	0.8085929155349731	0.21992658	Yes	
row_14	XM_047166028	na	668	0.7962566614151001	0.23319249	Yes	
row_15	XM_047177583	na	719	0.777328610420227	0.2443769	Yes	
row_16	XM_047186465	na	776	0.7552663087844849	0.2547682	Yes	
row_17	XM_047167700	na	785	0.7524587512016296	0.26818502	Yes	
row_18	XM_047163240	na	1099	0.6763391494750977	0.26063764	Yes	
row_19	XM_047172740	na	1188	0.6657691597938538	0.26732045	Yes	
row_20	XM_047163891	na	1197	0.6631309986114502	0.27908364	Yes	
row_21	XM_047168672	na	1380	0.628793478012085	0.27905515	Yes	
row_22	XM_047166291	na	1440	0.621092677116394	0.28677022	Yes	
row_23	XM_047175505	na	1596	0.5962498784065247	0.28787038	Yes	
row_24	XM_047182875	na	1609	0.5945878624916077	0.2981082	Yes	
row_25	XM_047178113	na	1639	0.5882454514503479	0.30713865	Yes	
row_26	XM_047167995	na	2081	0.5342698097229004	0.28875455	Yes	
row_27	XM_047176753	na	2187	0.51872718334198	0.29162532	Yes	
row_28	XM_047167523	na	2226	0.5129628777503967	0.29868507	Yes	
row_29	XM_047178049	na	2260	0.5082653164863586	0.30597845	Yes	
row_30	XM_047166293	na	2275	0.5063102841377258	0.3144538	Yes	
row_31	XM_047181906	na	2313	0.5021511912345886	0.32137755	Yes	
row_32	XM_047186263	na	2374	0.4943162500858307	0.32668158	Yes	
row_33	XM_047167316	na	2422	0.4888935387134552	0.33271873	Yes	
row_34	XM_047173204	na	2430	0.48809751868247986	0.34130576	Yes	
row_35	XM_047181384	na	2451	0.4864063560962677	0.34902796	Yes	
row_36	XM_047186210	na	2591	0.47298604249954224	0.34887207	Yes	
row_37	XM_047166483	na	2695	0.46170443296432495	0.35081545	Yes	
row_38	XM_047186448	na	2797	0.4501644968986511	0.3526734	Yes	
row_39	XM_047185688	na	3003	0.42871204018592834	0.34746632	Yes	
row_40	XM_047176407	na	3290	0.3992356061935425	0.33652022	Yes	
row_41	XM_047167317	na	3328	0.3977648913860321	0.34151152	Yes	
row_42	XM_047185908	na	3330	0.39750662446022034	0.34880617	Yes	
row_43	XM_047180902	na	3338	0.3963727653026581	0.35569516	Yes	
row_44	XM_047183938	na	3428	0.38487109541893005	0.35711378	Yes	
row_45	XM_047167824	na	3433	0.38442909717559814	0.36397398	Yes	
row_46	XM_047165856	na	3456	0.38172850012779236	0.36963013	Yes	
row_47	XM_047171257	na	3468	0.38073208928108215	0.3759731	Yes	
row_48	XM_047174291	na	3760	0.36670857667922974	0.3641043	No	
row_49	XM_047170746	na	3875	0.3610555827617645	0.36347917	No	
row_50	XM_047182244	na	4035	0.3434765934944153	0.35964343	No	
row_51	XM_047179850	na	4434	0.31284472346305847	0.33991718	No	
row_52	XM_047178883	na	4622	0.30347663164138794	0.33354577	No	
row_53	XM_047185853	na	4714	0.30031251907348633	0.3332708	No	
row_54	XM_047169962	na	4810	0.28918465971946716	0.33253333	No	
row_55	XM_047162889	na	4884	0.28120604157447815	0.33305874	No	
row_56	XM_047171473	na	4886	0.2808084487915039	0.33819303	No	
row_57	XM_047174171	na	5011	0.26691627502441406	0.335184	No	
row_58	XM_047176280	na	5019	0.265700101852417	0.33965394	No	
row_59	XM_047170062	na	5049	0.26333844661712646	0.3426696	No	
row_60	XM_047166118	na	5109	0.2569359242916107	0.3436433	No	
row_61	XM_047183013	na	5155	0.2524630129337311	0.3454318	No	
row_62	XM_047181905	na	5518	0.217453733086586	0.32624778	No	
row_63	XM_047180274	na	5623	0.20503292977809906	0.32337546	No	
row_64	XM_047183018	na	5647	0.2017674744129181	0.325636	No	
row_65	XM_047173352	na	5720	0.19427327811717987	0.3246162	No	
row_66	XM_047169024	na	5731	0.19352710247039795	0.32755768	No	
row_67	XM_047169852	na	5765	0.19004970788955688	0.32896015	No	
