NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047172689	na	325	0.9665457606315613	0.05450031	No	
row_1	XM_047170648	na	738	0.7689747214317322	0.0880918	No	
row_2	XM_047180129	na	898	0.7222809195518494	0.13415824	No	
row_3	XM_047184976	na	2031	0.5398939251899719	0.10408912	No	
row_4	XM_047165276	na	2129	0.5266256928443909	0.138882	No	
row_5	XM_047185254	na	2407	0.4903407692909241	0.15939224	No	
row_6	XM_047174323	na	2502	0.4813216030597687	0.19085172	No	
row_7	XM_047165278	na	2815	0.4477689564228058	0.20582181	No	
row_8	XM_047165754	na	3378	0.39136847853660583	0.20048782	No	
row_9	XM_047165975	na	4713	0.30031588673591614	0.1389204	No	
row_10	XM_047169439	na	5473	0.2212972640991211	0.10781365	No	
row_11	XM_047169371	na	5935	0.17294128239154816	0.091917515	No	
row_12	XM_047165275	na	5952	0.17063288390636444	0.104173124	No	
row_13	XM_047165451	na	6516	0.11442992836236954	0.07723123	No	
row_14	XM_047172694	na	6936	0.07967517524957657	0.056753494	No	
row_15	XM_047165984	na	6944	0.07888419926166534	0.06244457	No	
row_16	XM_047168697	na	7423	0.03296064957976341	0.03457643	No	
row_17	XM_047180339	na	7663	0.006177961360663176	0.019840894	No	
row_18	XM_047164135	na	7820	0.0	0.009909017	No	
row_19	XM_047164137	na	7821	0.0	0.009909017	No	
row_20	XM_047168666	na	8101	0.0	-0.007853763	No	
row_21	XM_047185567	na	9289	0.0	-0.083425164	No	
row_22	XM_047170825	na	9817	-0.013060790486633778	-0.11596103	No	
row_23	XM_047170826	na	10229	-0.04787221550941467	-0.13840352	No	
row_24	XM_047169348	na	11043	-0.10880154371261597	-0.18169974	No	
row_25	XM_047168772	na	11561	-0.1530247926712036	-0.20271055	No	
row_26	XM_047177022	na	11766	-0.17260009050369263	-0.20227109	No	
row_27	XM_047168696	na	12215	-0.2217828929424286	-0.21353997	No	
row_28	XM_047165976	na	12743	-0.2923971712589264	-0.22434506	No	
row_29	XM_047179890	na	13074	-0.3396642208099365	-0.21893087	No	
row_30	XM_047180356	na	13182	-0.3397531807422638	-0.19931227	No	
row_31	XM_047180374	na	14307	-0.49455273151397705	-0.23239934	Yes	
row_32	XM_047170824	na	14422	-0.5256550312042236	-0.19876431	Yes	
row_33	XM_047180357	na	14896	-0.6346508860588074	-0.17950606	Yes	
row_34	XM_047180470	na	15084	-0.7052364349365234	-0.13654824	Yes	
row_35	XM_047180115	na	15413	-0.8877812623977661	-0.088366345	Yes	
row_36	XM_047174601	na	15716	-1.4051485061645508	0.0017190655	Yes	
