NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047174562	na	3367	0.392547607421875	-0.11306508	No	
row_1	XM_047169190	na	5476	0.2208128571510315	-0.19027668	No	
row_2	XM_047185016	na	5672	0.1994805634021759	-0.1513194	No	
row_3	XM_047168717	na	6545	0.11228334158658981	-0.17786731	No	
row_4	XM_047184675	na	6883	0.0847439169883728	-0.17748116	No	
row_5	XM_047164528	na	7459	0.029681140556931496	-0.20640768	No	
row_6	XM_047168500	na	7558	0.0182187482714653	-0.20794955	No	
row_7	XM_047174559	na	8529	0.0	-0.2696387	No	
row_8	XM_047185017	na	9250	0.0	-0.31542856	No	
row_9	XM_047175319	na	10420	-0.06579311192035675	-0.37283427	Yes	
row_10	XM_047168501	na	10445	-0.06829763948917389	-0.35677654	Yes	
row_11	XM_047175107	na	10820	-0.09147828817367554	-0.35700965	Yes	
row_12	XM_047169192	na	11126	-0.11697886884212494	-0.3462891	Yes	
row_13	XM_047163981	na	11992	-0.19671937823295593	-0.35065272	Yes	
row_14	XM_047176455	na	12038	-0.20261339843273163	-0.30134928	Yes	
row_15	XM_047175436	na	12205	-0.22077417373657227	-0.25506538	Yes	
row_16	XM_047182289	na	12748	-0.29344528913497925	-0.21398391	Yes	
row_17	XM_047170579	na	13254	-0.3407037854194641	-0.15838206	Yes	
row_18	XM_047174707	na	13692	-0.38159576058387756	-0.087927476	Yes	
row_19	XM_047178600	na	15364	-0.8478967547416687	0.024103258	Yes	
