NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047170947	na	355	0.9478724002838135	0.082335584	Yes	
row_1	XM_047168798	na	772	0.7591034173965454	0.13989253	Yes	
row_2	XM_047167980	na	896	0.7229536175727844	0.21209472	Yes	
row_3	XM_047183202	na	1401	0.6252806186676025	0.2492372	Yes	
row_4	XM_047164143	na	1418	0.6227770447731018	0.31715962	Yes	
row_5	XM_047164688	na	2012	0.5432447791099548	0.33955672	Yes	
row_6	XM_047180088	na	2196	0.5172913670539856	0.38517386	Yes	
row_7	XM_047174295	na	2367	0.4950375258922577	0.42915484	Yes	
row_8	XM_047164183	na	3125	0.4182574152946472	0.42727876	Yes	
row_9	XM_047186503	na	4073	0.3403405249118805	0.4046855	Yes	
row_10	XM_047166744	na	4553	0.30347663164138794	0.4077957	Yes	
row_11	XM_047166745	na	4554	0.30347663164138794	0.4413902	Yes	
row_12	XM_047172571	na	4590	0.30347663164138794	0.47275725	Yes	
row_13	XM_047184519	na	5145	0.2537040412425995	0.46558455	Yes	
row_14	XM_047164142	na	5160	0.25182226300239563	0.49256998	Yes	
row_15	XM_047167004	na	5367	0.23323757946491241	0.50527894	Yes	
row_16	XM_047166252	na	5470	0.22132578492164612	0.523288	Yes	
row_17	XM_047181601	na	5550	0.21437951922416687	0.5419919	Yes	
row_18	XM_047166742	na	5898	0.17746999859809875	0.539554	No	
row_19	XM_047166719	na	7982	0.0	0.4069886	No	
row_20	XM_047171922	na	8354	0.0	0.38337755	No	
row_21	XM_047172570	na	8400	0.0	0.3805137	No	
row_22	XM_047172572	na	8401	0.0	0.3805137	No	
row_23	XM_047173529	na	8462	0.0	0.3766952	No	
row_24	XM_047184522	na	9218	0.0	0.3286458	No	
row_25	XM_047167124	na	10794	-0.0896209105849266	0.23833126	No	
row_26	XM_047184974	na	10972	-0.10485465824604034	0.23867399	No	
row_27	XM_047179952	na	11110	-0.1157151535153389	0.24276462	No	
row_28	XM_047163825	na	11321	-0.13172617554664612	0.24398182	No	
row_29	XM_047175073	na	11650	-0.16121627390384674	0.24095383	No	
row_30	XM_047179511	na	11803	-0.17586037516593933	0.25074786	No	
