NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047186238	na	701	0.7826407551765442	-0.002701544	No	
row_1	XM_047185013	na	2038	0.5392046570777893	-0.058882847	No	
row_2	XM_047183805	na	2627	0.4697163999080658	-0.071156405	No	
row_3	XM_047169263	na	2827	0.44676443934440613	-0.05988906	No	
row_4	XM_047185014	na	4653	0.30347663164138794	-0.1598401	No	
row_5	XM_047174871	na	5772	0.18930885195732117	-0.22088829	No	
row_6	XM_047183222	na	6314	0.13529379665851593	-0.24808858	No	
row_7	XM_047176587	na	8661	0.0	-0.39747727	No	
row_8	XM_047180105	na	8900	0.0	-0.41263264	No	
row_9	XM_047163066	na	9772	-0.008190784603357315	-0.46765733	No	
row_10	XM_047172900	na	9851	-0.016331784427165985	-0.4717491	No	
row_11	XM_047176760	na	10285	-0.05300290510058403	-0.4964816	No	
row_12	XM_047173471	na	10315	-0.055214062333106995	-0.4953697	No	
row_13	XM_047174317	na	11056	-0.10989265888929367	-0.536603	No	
row_14	XM_047167054	na	11167	-0.12050372362136841	-0.53715056	No	
row_15	XM_047185060	na	11254	-0.12645702064037323	-0.5358508	No	
row_16	XM_047177063	na	11255	-0.12651461362838745	-0.5290717	No	
row_17	XM_047182671	na	11344	-0.13387297093868256	-0.527502	No	
row_18	XM_047185792	na	11521	-0.14969460666179657	-0.5306881	No	
row_19	XM_047182551	na	11800	-0.17568354308605194	-0.53897685	No	
row_20	XM_047184772	na	12680	-0.28243288397789	-0.57981604	No	
row_21	XM_047165702	na	14041	-0.4322997033596039	-0.643254	Yes	
row_22	XM_047165083	na	14400	-0.5205722451210022	-0.6381566	Yes	
row_23	XM_047186217	na	14471	-0.5388898253440857	-0.61373836	Yes	
row_24	XM_047178712	na	14528	-0.5572272539138794	-0.58744603	Yes	
row_25	XM_047166135	na	14827	-0.6206174492835999	-0.57316715	Yes	
row_26	XM_047173339	na	14832	-0.6222394108772278	-0.54007995	Yes	
row_27	XM_047178289	na	14858	-0.6282400488853455	-0.5080085	Yes	
row_28	XM_047184617	na	14866	-0.6283248662948608	-0.47478628	Yes	
row_29	XM_047165484	na	14945	-0.6493568420410156	-0.44495827	Yes	
row_30	XM_047175126	na	14953	-0.6520484089851379	-0.41046485	Yes	
row_31	XM_047173055	na	15047	-0.6893888711929321	-0.37944692	Yes	
row_32	XM_047177404	na	15080	-0.7023087739944458	-0.34385234	Yes	
row_33	XM_047172901	na	15172	-0.7386788129806519	-0.31006593	Yes	
row_34	XM_047180628	na	15466	-0.9294958114624023	-0.2789178	Yes	
row_35	XM_047176755	na	15481	-0.9474972486495972	-0.2290389	Yes	
row_36	XM_047182056	na	15531	-0.984843373298645	-0.1793876	Yes	
row_37	XM_047186178	na	15570	-1.0239105224609375	-0.12694247	Yes	
row_38	XM_047167792	na	15644	-1.1214818954467773	-0.07149786	Yes	
row_39	XM_047172354	na	15721	-1.45078444480896	0.0014009728	Yes	
