NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047175714	na	157	1.1233896017074585	0.05646561	Yes	
row_1	XM_047175712	na	301	0.9748802185058594	0.10503649	Yes	
row_2	XM_047166360	na	487	0.882708728313446	0.14547998	Yes	
row_3	XM_047182062	na	542	0.851870059967041	0.19244026	Yes	
row_4	XM_047180013	na	559	0.8430116772651672	0.24129607	Yes	
row_5	XM_047175710	na	580	0.8351537585258484	0.2894323	Yes	
row_6	XM_047182318	na	656	0.8035768866539001	0.3321983	Yes	
row_7	XM_047186211	na	725	0.7747336030006409	0.37370357	Yes	
row_8	XM_047178401	na	754	0.7633870840072632	0.41708452	Yes	
row_9	XM_047164393	na	1050	0.6861456036567688	0.4388947	Yes	
row_10	XM_047173633	na	1217	0.6596236824989319	0.46734974	Yes	
row_11	XM_047175713	na	1402	0.625149667263031	0.4926191	Yes	
row_12	XM_047175505	na	1596	0.5962498784065247	0.51560557	Yes	
row_13	XM_047174539	na	1885	0.562932014465332	0.5305719	Yes	
row_14	XM_047164445	na	2413	0.4894807040691376	0.5259746	Yes	
row_15	XM_047166483	na	2695	0.46170443296432495	0.5353977	Yes	
row_16	XM_047184862	na	2756	0.45392152667045593	0.55843234	Yes	
row_17	XM_047181986	na	3211	0.40881866216659546	0.55371106	No	
row_18	XM_047175124	na	3858	0.3629084527492523	0.5340482	No	
row_19	XM_047185546	na	4296	0.32720431685447693	0.5255809	No	
row_20	XM_047175296	na	4965	0.2722657024860382	0.49915454	No	
row_21	XM_047170631	na	4973	0.27185896039009094	0.5147926	No	
row_22	XM_047169024	na	5731	0.19352710247039795	0.47804096	No	
row_23	XM_047175217	na	5783	0.18828797340393066	0.48593315	No	
row_24	XM_047173043	na	6550	0.11211759597063065	0.44379205	No	
row_25	XM_047183561	na	7452	0.030223000794649124	0.38820985	No	
row_26	XM_047185126	na	7641	0.00892630685120821	0.37676725	No	
row_27	XM_047174161	na	7643	0.0085364431142807	0.3772086	No	
row_28	XM_047170186	na	8203	0.0	0.34161484	No	
row_29	XM_047174540	na	8527	0.0	0.32104814	No	
row_30	XM_047182063	na	9047	0.0	0.28800133	No	
row_31	XM_047176652	na	10300	-0.053878918290138245	0.21146911	No	
row_32	XM_047181647	na	12174	-0.21679073572158813	0.10503361	No	
row_33	XM_047178402	na	12322	-0.2337232381105423	0.10950116	No	
row_34	XM_047174366	na	12715	-0.2874840497970581	0.1015492	No	
row_35	XM_047170187	na	13252	-0.3407037854194641	0.0875768	No	
row_36	XM_047174365	na	13508	-0.3507448434829712	0.092090845	No	
row_37	XM_047181203	na	13715	-0.38708755373954773	0.10187503	No	
row_38	XM_047163291	na	14174	-0.4596179723739624	0.09990445	No	
