NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047165039	na	78	1.2382558584213257	0.100964256	Yes	
row_1	XM_047167752	na	168	1.108910083770752	0.19016331	Yes	
row_2	XM_047169982	na	295	0.9801615476608276	0.26599348	Yes	
row_3	XM_047169985	na	346	0.9538650512695312	0.34441113	Yes	
row_4	XM_047169983	na	699	0.786191463470459	0.38926393	Yes	
row_5	XM_047165040	na	796	0.7504981756210327	0.44735652	Yes	
row_6	XM_047169984	na	1369	0.6303130388259888	0.4648724	Yes	
row_7	XM_047167869	na	1774	0.576134979724884	0.48844597	Yes	
row_8	XM_047182983	na	2934	0.43389880657196045	0.45179927	Yes	
row_9	XM_047170059	na	3299	0.3986613154411316	0.4627364	Yes	
row_10	XM_047172786	na	3511	0.37981119751930237	0.48179874	Yes	
row_11	XM_047170363	na	3740	0.36670857667922974	0.4986582	Yes	
row_12	XM_047186298	na	4043	0.3425990641117096	0.50874543	Yes	
row_13	XM_047167753	na	4052	0.34184303879737854	0.53747976	Yes	
row_14	XM_047175210	na	4477	0.3092515766620636	0.53694946	Yes	
row_15	XM_047169981	na	4785	0.29266732931137085	0.542447	Yes	
row_16	XM_047173939	na	4930	0.27631062269210815	0.55691946	Yes	
row_17	XM_047169795	na	5545	0.21495330333709717	0.53622955	No	
row_18	XM_047170185	na	6423	0.12366419285535812	0.49099138	No	
row_19	XM_047163374	na	7358	0.03860031068325043	0.4348485	No	
row_20	XM_047167279	na	7500	0.024873796850442886	0.42800233	No	
row_21	XM_047163841	na	7803	0.0	0.40878135	No	
row_22	XM_047167537	na	8026	0.0	0.39465204	No	
row_23	XM_047168275	na	8083	0.0	0.3910879	No	
row_24	XM_047170015	na	8195	0.0	0.38402322	No	
row_25	XM_047170186	na	8203	0.0	0.3835777	No	
row_26	XM_047182247	na	9058	0.0	0.32922432	No	
row_27	XM_047185223	na	9263	0.0	0.3162406	No	
row_28	XM_047185222	na	11857	-0.18234549462795258	0.16680656	No	
row_29	XM_047170133	na	12501	-0.25855427980422974	0.14800087	No	
row_30	XM_047182248	na	13185	-0.3397531807422638	0.13359565	No	
row_31	XM_047170187	na	13252	-0.3407037854194641	0.1585411	No	
