NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047183228	na	14	1.611391305923462	0.017625848	Yes	
row_1	XM_047173595	na	23	1.5237526893615723	0.034631096	Yes	
row_2	XM_047163239	na	49	1.3621788024902344	0.04868151	Yes	
row_3	XM_047174481	na	69	1.2746789455413818	0.06211292	Yes	
row_4	XM_047165039	na	78	1.2382558584213257	0.07583527	Yes	
row_5	XM_047175742	na	90	1.21969473361969	0.08915062	Yes	
row_6	XM_047173205	na	203	1.0708470344543457	0.094237424	Yes	
row_7	XM_047182527	na	276	0.9985163807868958	0.10107348	Yes	
row_8	XM_047174479	na	292	0.9824956059455872	0.111403205	Yes	
row_9	XM_047180194	na	312	0.9710943102836609	0.12134373	Yes	
row_10	XM_047169159	na	415	0.9149826765060425	0.12528351	Yes	
row_11	XM_047164741	na	417	0.9141467213630676	0.13573065	Yes	
row_12	XM_047179335	na	425	0.9128475189208984	0.14577569	Yes	
row_13	XM_047163635	na	467	0.8916685581207275	0.15338337	Yes	
row_14	XM_047166360	na	487	0.882708728313446	0.16230758	Yes	
row_15	XM_047175622	na	508	0.8709427714347839	0.17103195	Yes	
row_16	XM_047163238	na	551	0.8465004563331604	0.17805572	Yes	
row_17	XM_047180013	na	559	0.8430116772651672	0.18729775	Yes	
row_18	XM_047168675	na	590	0.8299849629402161	0.1949059	Yes	
row_19	XM_047166028	na	668	0.7962566614151001	0.19909358	Yes	
row_20	XM_047178401	na	754	0.7633870840072632	0.2023871	Yes	
row_21	XM_047170434	na	788	0.751916229724884	0.20890397	Yes	
row_22	XM_047165040	na	796	0.7504981756210327	0.21708219	Yes	
row_23	XM_047172096	na	897	0.7223026752471924	0.21893542	Yes	
row_24	XM_047178653	na	979	0.7052557468414307	0.22181858	Yes	
row_25	XM_047182061	na	981	0.7045647501945496	0.22985576	Yes	
row_26	XM_047163240	na	1099	0.6763391494750977	0.23008354	Yes	
row_27	XM_047165602	na	1127	0.6706997752189636	0.23605368	Yes	
row_28	XM_047163891	na	1197	0.6631309986114502	0.23922674	Yes	
row_29	XM_047181013	na	1233	0.6560070514678955	0.24451174	Yes	
row_30	XM_047172343	na	1324	0.6389898061752319	0.24605219	Yes	
row_31	XM_047168672	na	1380	0.628793478012085	0.24973378	Yes	
row_32	XM_047167881	na	1416	0.623137891292572	0.2546408	Yes	
row_33	XM_047185931	na	1555	0.6027587056159973	0.25266746	Yes	
row_34	XM_047182424	na	1574	0.6002833843231201	0.2584086	Yes	
row_35	XM_047170504	na	1592	0.5966342687606812	0.26417232	Yes	
row_36	XM_047175505	na	1596	0.5962498784065247	0.27083495	Yes	
row_37	XM_047182875	na	1609	0.5945878624916077	0.27689776	Yes	
row_38	XM_047169459	na	1621	0.5920066237449646	0.2829954	Yes	
row_39	XM_047178113	na	1639	0.5882454514503479	0.28866264	Yes	
row_40	XM_047165534	na	1662	0.5856484174728394	0.2939774	Yes	
row_41	XM_047184483	na	1756	0.5793244242668152	0.29463822	Yes	
row_42	XM_047165991	na	1872	0.5647873878479004	0.29371232	Yes	
row_43	XM_047163863	na	1906	0.5585373640060425	0.29800555	Yes	
row_44	XM_047166243	na	1942	0.5546866655349731	0.30212548	Yes	
row_45	XM_047180766	na	1974	0.5487863421440125	0.30643564	Yes	
row_46	XM_047164745	na	1994	0.546220600605011	0.3114906	Yes	
row_47	XM_047185932	na	2032	0.5398918986320496	0.31531134	Yes	
row_48	XM_047167995	na	2081	0.5342698097229004	0.31835768	Yes	
row_49	XM_047186047	na	2092	0.5318894982337952	0.32382858	Yes	
row_50	XM_047172342	na	2121	0.5277890563011169	0.32809085	Yes	
row_51	XM_047176753	na	2187	0.51872718334198	0.32986155	Yes	
row_52	XM_047183940	na	2195	0.5173479914665222	0.3353588	Yes	
row_53	XM_047176582	na	2287	0.5043630003929138	0.33528668	Yes	
row_54	XM_047162905	na	2343	0.4977259039878845	0.3374611	Yes	
row_55	XM_047186263	na	2374	0.4943162500858307	0.34120947	Yes	
row_56	XM_047180210	na	2393	0.49228429794311523	0.34570876	Yes	
row_57	XM_047186242	na	2428	0.4882073700428009	0.34912875	Yes	
row_58	XM_047173204	na	2430	0.48809751868247986	0.3546768	Yes	
row_59	XM_047164708	na	2446	0.48695820569992065	0.35930842	Yes	
row_60	XM_047163584	na	2531	0.4785864055156708	0.35939157	Yes	
row_61	XM_047165589	na	2574	0.4749641716480255	0.3621431	Yes	
row_62	XM_047170269	na	2597	0.4725774824619293	0.36615765	Yes	
row_63	XM_047165405	na	2633	0.4692593216896057	0.36929527	Yes	
row_64	XM_047163703	na	2641	0.46844565868377686	0.37423018	Yes	
row_65	XM_047165527	na	2646	0.46814030408859253	0.37935516	Yes	
row_66	XM_047183081	na	2732	0.45722436904907227	0.37912816	Yes	
row_67	XM_047183364	na	2811	0.4484337270259857	0.37925175	Yes	
row_68	XM_047182983	na	2934	0.43389880657196045	0.3763691	Yes	
row_69	XM_047184660	na	2952	0.43182140588760376	0.38023764	Yes	
row_70	XM_047185688	na	3003	0.42871204018592834	0.38194114	Yes	
row_71	XM_047172543	na	3114	0.41940754652023315	0.37966615	Yes	
row_72	XM_047182014	na	3119	0.41870036721229553	0.38422266	Yes	
row_73	XM_047164191	na	3159	0.41480621695518494	0.38647598	Yes	
row_74	XM_047178313	na	3239	0.40461960434913635	0.38603124	Yes	
row_75	XM_047179107	na	3244	0.40408819913864136	0.3904197	Yes	
row_76	XM_047166195	na	3266	0.4014278054237366	0.39368066	Yes	
row_77	XM_047170059	na	3299	0.3986613154411316	0.39620003	Yes	
row_78	XM_047167317	na	3328	0.3977648913860321	0.39896718	Yes	
row_79	XM_047167824	na	3433	0.38442909717559814	0.39667714	Yes	
row_80	XM_047164742	na	3454	0.38196781277656555	0.39977887	Yes	
row_81	XM_047165856	na	3456	0.38172850012779236	0.4041038	Yes	
row_82	XM_047165992	na	3487	0.37981119751930237	0.40653545	Yes	
row_83	XM_047172786	na	3511	0.37981119751930237	0.4094188	Yes	
row_84	XM_047169106	na	3608	0.37770435214042664	0.40756762	No	
row_85	XM_047168489	na	3659	0.3749717175960541	0.40865314	No	
row_86	XM_047169011	na	3873	0.3612183630466461	0.39906305	No	
row_87	XM_047178713	na	3891	0.35959938168525696	0.40210113	No	
row_88	XM_047174320	na	3948	0.3512772023677826	0.40252703	No	
row_89	XM_047186298	na	4043	0.3425990641117096	0.40040123	No	
row_90	XM_047171549	na	4282	0.328576922416687	0.3888227	No	
row_91	XM_047184848	na	4338	0.32249388098716736	0.38898218	No	
row_92	XM_047185229	na	4500	0.3064550459384918	0.3821176	No	
row_93	XM_047184482	na	4523	0.3037422001361847	0.38419077	No	
row_94	XM_047169107	na	4567	0.30347663164138794	0.38490584	No	
row_95	XM_047176686	na	4607	0.30347663164138794	0.38587904	No	
row_96	XM_047175621	na	4729	0.29794007539749146	0.38149756	No	
row_97	XM_047169962	na	4810	0.28918465971946716	0.3796609	No	
row_98	XM_047162889	na	4884	0.28120604157447815	0.37818417	No	
row_99	XM_047186412	na	4938	0.2751937508583069	0.3779288	No	
row_100	XM_047166091	na	4949	0.27401912212371826	0.38043445	No	
row_101	XM_047177836	na	4972	0.27188965678215027	0.38214135	No	
row_102	XM_047167349	na	5017	0.26608479022979736	0.38236195	No	
row_103	XM_047170078	na	5074	0.2609558403491974	0.38174927	No	
row_104	XM_047168042	na	5131	0.2545972764492035	0.3810635	No	
row_105	XM_047165864	na	5143	0.2538680136203766	0.38327292	No	
row_106	XM_047169278	na	5165	0.25157856941223145	0.38481078	No	
row_107	XM_047184565	na	5398	0.22854891419410706	0.37246916	No	
row_108	XM_047169065	na	5505	0.2186029851436615	0.36814326	No	
row_109	XM_047169795	na	5545	0.21495330333709717	0.36809853	No	
row_110	XM_047174866	na	5587	0.20924881100654602	0.36785915	No	
row_111	XM_047164714	na	5631	0.20368240773677826	0.36742672	No	
row_112	XM_047178245	na	5703	0.19559425115585327	0.3650946	No	
row_113	XM_047169024	na	5731	0.19352710247039795	0.3655778	No	
row_114	XM_047176319	na	5779	0.18850558996200562	0.36471272	No	
row_115	XM_047182739	na	5826	0.1846940815448761	0.3638684	No	
row_116	XM_047177966	na	5879	0.1799127608537674	0.3625819	No	
row_117	XM_047164880	na	5980	0.16744540631771088	0.35805488	No	
row_118	XM_047174322	na	5995	0.1667889952659607	0.35906944	No	
row_119	XM_047172072	na	6011	0.16557589173316956	0.3600055	No	
row_120	XM_047167719	na	6038	0.16344422101974487	0.3602073	No	
row_121	XM_047167203	na	6052	0.1617003232240677	0.36122784	No	
row_122	XM_047166975	na	6132	0.1538407951593399	0.3578994	No	
row_123	XM_047175745	na	6151	0.1516735851764679	0.35848203	No	
row_124	XM_047186290	na	6336	0.13230222463607788	0.34813088	No	
row_125	XM_047165444	na	6374	0.12913590669631958	0.34722838	No	
row_126	XM_047170185	na	6423	0.12366419285535812	0.34555322	No	
row_127	XM_047184959	na	6440	0.12214766442775726	0.3459254	No	
row_128	XM_047182045	na	6448	0.1212930977344513	0.34686846	No	
row_129	XM_047174570	na	6513	0.11471040546894073	0.34405792	No	
row_130	XM_047173043	na	6550	0.11211759597063065	0.34302425	No	
row_131	XM_047166355	na	6580	0.10869108140468597	0.34240288	No	
row_132	XM_047183042	na	6610	0.10546396672725677	0.3417444	No	
row_133	XM_047165603	na	6651	0.10301759093999863	0.340348	No	
row_134	XM_047181337	na	6672	0.10010556131601334	0.34020862	No	
row_135	XM_047174227	na	6758	0.09404069185256958	0.3358054	No	
row_136	XM_047172371	na	6803	0.0916772410273552	0.3340205	No	
row_137	XM_047184143	na	6823	0.09019708633422852	0.3338317	No	
row_138	XM_047173993	na	6970	0.07630376517772675	0.32528853	No	
row_139	XM_047167140	na	6972	0.07614392042160034	0.32609957	No	
row_140	XM_047176351	na	7008	0.07219279557466507	0.32467136	No	
row_141	XM_047174253	na	7083	0.06476543098688126	0.32064128	No	
row_142	XM_047182803	na	7095	0.06415877491235733	0.32066926	No	
row_143	XM_047176687	na	7099	0.06385769695043564	0.32121	No	
row_144	XM_047166815	na	7110	0.06261496990919113	0.32128474	No	
row_145	XM_047165209	na	7187	0.056719619780778885	0.31703308	No	
row_146	XM_047163262	na	7239	0.05260050296783447	0.3143472	No	
row_147	XM_047176058	na	7254	0.0510539673268795	0.31403092	No	
row_148	XM_047165597	na	7298	0.04506348446011543	0.31177455	No	
row_149	XM_047180499	na	7384	0.03635643422603607	0.306708	No	
row_150	XM_047165714	na	7470	0.02873612754046917	0.30155388	No	
row_151	XM_047167279	na	7500	0.024873796850442886	0.2999687	No	
row_152	XM_047185126	na	7641	0.00892630685120821	0.29103792	No	
row_153	XM_047165595	na	7918	0.0	0.27322915	No	
row_154	XM_047165596	na	7919	0.0	0.27322915	No	
row_155	XM_047165990	na	7943	0.0	0.2717451	No	
row_156	XM_047166405	na	7963	0.0	0.27051914	No	
row_157	XM_047167537	na	8026	0.0	0.26651862	No	
row_158	XM_047167631	na	8032	0.0	0.26619598	No	
row_159	XM_047167829	na	8050	0.0	0.26509908	No	
row_160	XM_047168123	na	8069	0.0	0.26393762	No	
row_161	XM_047168124	na	8070	0.0	0.26393762	No	
row_162	XM_047170015	na	8195	0.0	0.2559366	No	
row_163	XM_047170186	na	8203	0.0	0.25548494	No	
row_164	XM_047170653	na	8245	0.0	0.25283942	No	
row_165	XM_047173563	na	8468	0.0	0.23851499	No	
row_166	XM_047175004	na	8555	0.0	0.23296589	No	
row_167	XM_047175669	na	8601	0.0	0.23006229	No	
row_168	XM_047175743	na	8605	0.0	0.22986872	No	
row_169	XM_047182247	na	9058	0.0	0.20070367	No	
row_170	XM_047182425	na	9075	0.0	0.19967127	No	
row_171	XM_047185223	na	9263	0.0	0.1876052	No	
row_172	XM_047185937	na	9316	0.0	0.18424992	No	
row_173	XM_047163395	na	9763	-0.007355291396379471	0.15555659	No	
row_174	XM_047168844	na	9914	-0.01989683136343956	0.14610672	No	
row_175	XM_047175990	na	9921	-0.020888924598693848	0.14595976	No	
row_176	XM_047165647	na	9947	-0.022022901102900505	0.1445999	No	
row_177	XM_047174434	na	9967	-0.02400733344256878	0.14365	No	
row_178	XM_047166805	na	10065	-0.033083103597164154	0.13777153	No	
row_179	XM_047186402	na	10192	-0.04498165845870972	0.1301587	No	
row_180	XM_047164816	na	10244	-0.04935513436794281	0.12743548	No	
row_181	XM_047183136	na	10245	-0.04949435591697693	0.12800461	No	
row_182	XM_047186304	na	10258	-0.05026938393712044	0.12780835	No	
row_183	XM_047182844	na	10497	-0.0719776600599289	0.11327919	No	
row_184	XM_047169130	na	10789	-0.08941258490085602	0.09553072	No	
row_185	XM_047184836	na	10835	-0.09293200820684433	0.09369573	No	
row_186	XM_047174994	na	10906	-0.09960782527923584	0.0903244	No	
row_187	XM_047178652	na	10943	-0.10276404768228531	0.08918319	No	
row_188	XM_047174483	na	11025	-0.10791642963886261	0.08519763	No	
row_189	XM_047180841	na	11034	-0.10858436673879623	0.08593003	No	
row_190	XM_047165762	na	11088	-0.11294907331466675	0.08380902	No	
row_191	XM_047163627	na	11191	-0.12223280966281891	0.07863306	No	
row_192	XM_047178268	na	11210	-0.12379816919565201	0.07889517	No	
row_193	XM_047184838	na	11211	-0.12380709499120712	0.08031881	No	
row_194	XM_047167714	na	11222	-0.12443305552005768	0.081104405	No	
row_195	XM_047183127	na	11328	-0.13234634697437286	0.07585117	No	
row_196	XM_047184834	na	11476	-0.14610886573791504	0.06804616	No	
row_197	XM_047163866	na	11495	-0.14756286144256592	0.06858153	No	
row_198	XM_047179369	na	11497	-0.14779531955718994	0.070216484	No	
row_199	XM_047185792	na	11521	-0.14969460666179657	0.07045374	No	
row_200	XM_047175902	na	11613	-0.15794694423675537	0.066398226	No	
row_201	XM_047167280	na	11724	-0.1688266098499298	0.061241854	No	
