NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047180088	na	2196	0.5172913670539856	-0.10056916	No	
row_1	XM_047164250	na	3835	0.3657226264476776	-0.17711301	No	
row_2	XM_047164244	na	4536	0.30347663164138794	-0.19864105	No	
row_3	XM_047172571	na	4590	0.30347663164138794	-0.1789589	No	
row_4	XM_047165710	na	5230	0.24564020335674286	-0.20099595	No	
row_5	XM_047183225	na	6189	0.1486598402261734	-0.25072	No	
row_6	XM_047170006	na	6191	0.14844045042991638	-0.23950528	No	
row_7	XM_047183222	na	6314	0.13529379665851593	-0.23699646	No	
row_8	XM_047164064	na	6371	0.12956559658050537	-0.23071903	No	
row_9	XM_047166917	na	6599	0.10655767470598221	-0.23708144	No	
row_10	XM_047172570	na	8400	0.0	-0.35173112	No	
row_11	XM_047172572	na	8401	0.0	-0.35173112	No	
row_12	XM_047184676	na	10008	-0.027892936021089554	-0.45190483	No	
row_13	XM_047165143	na	10123	-0.03770528361201286	-0.45630115	No	
row_14	XM_047176804	na	10165	-0.042377643287181854	-0.4556928	No	
row_15	XM_047177059	na	10303	-0.05421673506498337	-0.46029955	No	
row_16	XM_047186287	na	10468	-0.07013750821352005	-0.4654164	No	
row_17	XM_047185099	na	10543	-0.07522173225879669	-0.46441448	No	
row_18	XM_047182865	na	11058	-0.11014262586832047	-0.4887848	No	
row_19	XM_047185060	na	11254	-0.12645702064037323	-0.49159706	No	
row_20	XM_047163885	na	11481	-0.1467575579881668	-0.4948414	Yes	
row_21	XM_047178179	na	11635	-0.1595727503299713	-0.4924624	Yes	
row_22	XM_047179539	na	11639	-0.1596660166978836	-0.4805222	Yes	
row_23	XM_047175073	na	11650	-0.16121627390384674	-0.46891	Yes	
row_24	XM_047166157	na	11684	-0.16475623846054077	-0.45849386	Yes	
row_25	XM_047186453	na	11726	-0.16898776590824127	-0.44826576	Yes	
row_26	XM_047168041	na	11849	-0.18140363693237305	-0.44225353	Yes	
row_27	XM_047166987	na	11919	-0.18789151310920715	-0.43237257	Yes	
row_28	XM_047170004	na	13052	-0.3396642208099365	-0.47866702	Yes	
row_29	XM_047178532	na	13579	-0.36228668689727783	-0.4846439	Yes	
row_30	XM_047183517	na	13730	-0.39029332995414734	-0.46454382	Yes	
row_31	XM_047170005	na	13960	-0.41820889711380005	-0.44735458	Yes	
row_32	XM_047169426	na	14067	-0.43449047207832336	-0.42109388	Yes	
row_33	XM_047168803	na	14093	-0.4400457739830017	-0.38925186	Yes	
row_34	XM_047166086	na	14254	-0.47875380516052246	-0.36306757	Yes	
row_35	XM_047163350	na	14312	-0.4963255822658539	-0.32898766	Yes	
row_36	XM_047178183	na	14387	-0.5177565813064575	-0.29436225	Yes	
row_37	XM_047171176	na	14459	-0.5358685851097107	-0.25816962	Yes	
row_38	XM_047174879	na	14484	-0.5427501201629639	-0.21846049	Yes	
row_39	XM_047178289	na	14858	-0.6282400488853455	-0.1944852	Yes	
row_40	XM_047176726	na	15002	-0.6722449064254761	-0.15251677	Yes	
row_41	XM_047163507	na	15131	-0.7236177325248718	-0.10568966	Yes	
row_42	XM_047180647	na	15483	-0.948303759098053	-0.055994883	Yes	
row_43	XM_047163512	na	15490	-0.9540976881980896	0.016114643	Yes	
