NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047166308	na	808	0.7468682527542114	-0.002741211	No	
row_1	XM_047180088	na	2196	0.5172913670539856	-0.057351835	No	
row_2	XM_047173894	na	2601	0.4720818102359772	-0.05228519	No	
row_3	XM_047164250	na	3835	0.3657226264476776	-0.10697501	No	
row_4	XM_047164244	na	4536	0.30347663164138794	-0.131769	No	
row_5	XM_047172571	na	4590	0.30347663164138794	-0.1153423	No	
row_6	XM_047164955	na	5769	0.18976163864135742	-0.17801037	No	
row_7	XM_047183225	na	6189	0.1486598402261734	-0.19500427	No	
row_8	XM_047170006	na	6191	0.14844045042991638	-0.1853815	No	
row_9	XM_047183222	na	6314	0.13529379665851593	-0.18432559	No	
row_10	XM_047164064	na	6371	0.12956559658050537	-0.17943858	No	
row_11	XM_047170686	na	8248	0.0	-0.29895946	No	
row_12	XM_047172570	na	8400	0.0	-0.30857977	No	
row_13	XM_047172572	na	8401	0.0	-0.30857977	No	
row_14	XM_047184676	na	10008	-0.027892936021089554	-0.40907866	No	
row_15	XM_047165143	na	10123	-0.03770528361201286	-0.4138812	No	
row_16	XM_047176804	na	10165	-0.042377643287181854	-0.41372797	No	
row_17	XM_047186287	na	10468	-0.07013750821352005	-0.42839172	No	
row_18	XM_047185099	na	10543	-0.07522173225879669	-0.4281977	No	
row_19	XM_047164649	na	10710	-0.08395328372716904	-0.43329528	No	
row_20	XM_047182865	na	11058	-0.11014262586832047	-0.44821548	No	
row_21	XM_047165254	na	11084	-0.11267498880624771	-0.44245562	No	
row_22	XM_047185060	na	11254	-0.12645702064037323	-0.44497076	No	
row_23	XM_047163885	na	11481	-0.1467575579881668	-0.44979268	No	
row_24	XM_047178179	na	11635	-0.1595727503299713	-0.44912747	No	
row_25	XM_047179539	na	11639	-0.1596660166978836	-0.43889958	No	
row_26	XM_047175073	na	11650	-0.16121627390384674	-0.42901653	No	
row_27	XM_047166157	na	11684	-0.16475623846054077	-0.4203678	No	
row_28	XM_047186453	na	11726	-0.16898776590824127	-0.41195264	No	
row_29	XM_047168041	na	11849	-0.18140363693237305	-0.40788785	No	
row_30	XM_047166987	na	11919	-0.18789151310920715	-0.400023	No	
row_31	XM_047170004	na	13052	-0.3396642208099365	-0.4499785	No	
row_32	XM_047178532	na	13579	-0.36228668689727783	-0.4598492	Yes	
row_33	XM_047183517	na	13730	-0.39029332995414734	-0.4439372	Yes	
row_34	XM_047170005	na	13960	-0.41820889711380005	-0.4312367	Yes	
row_35	XM_047169426	na	14067	-0.43449047207832336	-0.40963736	Yes	
row_36	XM_047168803	na	14093	-0.4400457739830017	-0.38251495	Yes	
row_37	XM_047166086	na	14254	-0.47875380516052246	-0.36146754	Yes	
row_38	XM_047163350	na	14312	-0.4963255822658539	-0.33271134	Yes	
row_39	XM_047178183	na	14387	-0.5177565813064575	-0.3036397	Yes	
row_40	XM_047171176	na	14459	-0.5358685851097107	-0.27319506	Yes	
row_41	XM_047174879	na	14484	-0.5427501201629639	-0.23930697	Yes	
row_42	XM_047178289	na	14858	-0.6282400488853455	-0.22207521	Yes	
row_43	XM_047176726	na	15002	-0.6722449064254761	-0.18731847	Yes	
row_44	XM_047163507	na	15131	-0.7236177325248718	-0.14825377	Yes	
row_45	XM_047180647	na	15483	-0.948303759098053	-0.108734615	Yes	
row_46	XM_047163512	na	15490	-0.9540976881980896	-0.046857256	Yes	
row_47	XM_047170685	na	15505	-0.9640990495681763	0.01516306	Yes	
