NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047184897	na	287	0.9919006824493408	0.08007111	Yes	
row_1	XM_047178228	na	541	0.8525041937828064	0.14848655	Yes	
row_2	XM_047170434	na	788	0.751916229724884	0.20737591	Yes	
row_3	XM_047182061	na	981	0.7045647501945496	0.2650064	Yes	
row_4	XM_047178061	na	1074	0.6794495582580566	0.32650846	Yes	
row_5	XM_047182424	na	1574	0.6002833843231201	0.35427216	Yes	
row_6	XM_047171530	na	1869	0.5652728080749512	0.39160594	Yes	
row_7	XM_047167952	na	1888	0.562883734703064	0.44626012	Yes	
row_8	XM_047173585	na	1950	0.5531721711158752	0.49721622	Yes	
row_9	XM_047182767	na	2714	0.4591192305088043	0.49419227	Yes	
row_10	XM_047174801	na	3519	0.37981119751930237	0.48069832	Yes	
row_11	XM_047174567	na	4056	0.3415803611278534	0.48046282	Yes	
row_12	XM_047174659	na	4155	0.3323023319244385	0.5071702	Yes	
row_13	XM_047168575	na	4292	0.3274681568145752	0.530981	Yes	
row_14	XM_047181924	na	5594	0.20870164036750793	0.46890903	No	
row_15	XM_047181337	na	6672	0.10010556131601334	0.41032115	No	
row_16	XM_047163262	na	7239	0.05260050296783447	0.37953037	No	
row_17	XM_047171531	na	8318	0.0	0.31095532	No	
row_18	XM_047164065	na	9706	-0.002858769614249468	0.22300716	No	
row_19	XM_047163315	na	10499	-0.0720522329211235	0.17976809	No	
row_20	XM_047172838	na	10815	-0.0909089595079422	0.16874182	No	
row_21	XM_047181300	na	10850	-0.0944221094250679	0.17593913	No	
row_22	XM_047168264	na	12900	-0.3168324828147888	0.07700354	No	
row_23	XM_047172880	na	15592	-1.0469504594802856	0.009605578	No	
