NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047179221	na	187	1.0895211696624756	0.16724002	No	
row_1	XM_047176361	na	2321	0.5008984804153442	0.11395888	No	
row_2	XM_047176362	na	3584	0.37974220514297485	0.09614407	No	
row_3	XM_047176360	na	3650	0.37654221057891846	0.15391913	No	
row_4	XM_047182704	na	3652	0.37623047828674316	0.21571262	No	
row_5	XM_047176338	na	6050	0.16178536415100098	0.08988947	No	
row_6	XM_047178689	na	8797	0.0	-0.08472581	No	
row_7	XM_047178690	na	8798	0.0	-0.08472581	No	
row_8	XM_047184425	na	9211	0.0	-0.11092447	No	
row_9	XM_047176339	na	9959	-0.023396050557494164	-0.1545788	No	
row_10	XM_047176359	na	10519	-0.07328508794307709	-0.17807603	No	
row_11	XM_047182333	na	10726	-0.0853143259882927	-0.1771486	No	
row_12	XM_047179220	na	11137	-0.11803992092609406	-0.1838128	No	
row_13	XM_047184117	na	13764	-0.39615949988365173	-0.28566375	Yes	
row_14	XM_047170669	na	13964	-0.41933387517929077	-0.22937411	Yes	
row_15	XM_047170740	na	14244	-0.47644180059432983	-0.16878232	Yes	
row_16	XM_047175020	na	14908	-0.6361811757087708	-0.10634551	Yes	
row_17	XM_047182332	na	15513	-0.969382107257843	0.014625538	Yes	
