NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047173595	na	23	1.5237526893615723	0.020266542	Yes	
row_1	XM_047167921	na	118	1.1765965223312378	0.0310157	Yes	
row_2	XM_047184784	na	137	1.1483936309814453	0.04624702	Yes	
row_3	XM_047175591	na	185	1.0928293466567993	0.058821533	Yes	
row_4	XM_047185482	na	202	1.070866346359253	0.07307504	Yes	
row_5	XM_047172053	na	314	0.9701818227767944	0.07978593	Yes	
row_6	XM_047182992	na	399	0.9227278828620911	0.08755496	Yes	
row_7	XM_047176648	na	456	0.8966159224510193	0.09675095	Yes	
row_8	XM_047176284	na	562	0.8411235213279724	0.10200574	Yes	
row_9	XM_047168033	na	631	0.811771035194397	0.1092197	Yes	
row_10	XM_047167920	na	675	0.7937669157981873	0.11778352	Yes	
row_11	XM_047171316	na	694	0.7884174585342407	0.12787777	Yes	
row_12	XM_047171315	na	698	0.786521852016449	0.13890906	Yes	
row_13	XM_047175081	na	765	0.7606374025344849	0.14552185	Yes	
row_14	XM_047167700	na	785	0.7524587512016296	0.1550387	Yes	
row_15	XM_047170434	na	788	0.751916229724884	0.16564041	Yes	
row_16	XM_047178272	na	844	0.7385589480400085	0.17264512	Yes	
row_17	XM_047170482	na	846	0.7377943992614746	0.18310958	Yes	
row_18	XM_047169747	na	847	0.7375499606132507	0.19363482	Yes	
row_19	XM_047169225	na	893	0.7237115502357483	0.20107037	Yes	
row_20	XM_047172096	na	897	0.7223026752471924	0.2111852	Yes	
row_21	XM_047186072	na	990	0.7011740803718567	0.21527837	Yes	
row_22	XM_047166129	na	1031	0.6911044716835022	0.22256994	Yes	
row_23	XM_047173356	na	1041	0.6883307695388794	0.23181435	Yes	
row_24	XM_047166658	na	1201	0.662502110004425	0.23104946	Yes	
row_25	XM_047185406	na	1374	0.6293955445289612	0.22897659	Yes	
row_26	XM_047164253	na	1517	0.6092128157615662	0.22854383	Yes	
row_27	XM_047185526	na	1548	0.6034491062164307	0.23522724	Yes	
row_28	XM_047185264	na	1564	0.6012073159217834	0.24284273	Yes	
row_29	XM_047182424	na	1574	0.6002833843231201	0.25083065	Yes	
row_30	XM_047170504	na	1592	0.5966342687606812	0.25825235	Yes	
row_31	XM_047185025	na	1680	0.5854314565658569	0.26101515	Yes	
row_32	XM_047169649	na	1845	0.5683238506317139	0.25858492	Yes	
row_33	XM_047180766	na	1974	0.5487863421440125	0.25818965	Yes	
row_34	XM_047164745	na	1994	0.546220600605011	0.26476336	Yes	
row_35	XM_047170356	na	2026	0.5405266880989075	0.27048457	Yes	
row_36	XM_047183465	na	2041	0.5389635562896729	0.27727607	Yes	
row_37	XM_047179241	na	2055	0.5376416444778442	0.28411296	Yes	
row_38	XM_047174843	na	2088	0.5324144959449768	0.28965414	Yes	
row_39	XM_047172878	na	2100	0.5304932594299316	0.29651758	Yes	
row_40	XM_047169978	na	2146	0.5251516103744507	0.30111957	Yes	
row_41	XM_047164207	na	2171	0.5219504237174988	0.30702555	Yes	
row_42	XM_047170037	na	2207	0.5151840448379517	0.312128	Yes	
row_43	XM_047173704	na	2263	0.5080841183662415	0.31584373	Yes	
row_44	XM_047180210	na	2393	0.49228429794311523	0.31457788	Yes	
row_45	XM_047175992	na	2420	0.48903319239616394	0.31988558	Yes	
row_46	XM_047186071	na	2426	0.48842892050743103	0.3265344	Yes	
row_47	XM_047164708	na	2446	0.48695820569992065	0.33226237	Yes	
row_48	XM_047180754	na	2484	0.48290956020355225	0.33677572	Yes	
row_49	XM_047173322	na	2522	0.4791104793548584	0.34123483	Yes	
row_50	XM_047177696	na	2592	0.4729548990726471	0.34354943	Yes	
row_51	XM_047165405	na	2633	0.4692593216896057	0.34767517	Yes	
row_52	XM_047171860	na	2638	0.46895164251327515	0.35411027	Yes	
row_53	XM_047180651	na	2661	0.46610960364341736	0.35934794	Yes	
row_54	XM_047166483	na	2695	0.46170443296432495	0.36381575	Yes	
row_55	XM_047178105	na	2926	0.43456992506980896	0.35523486	No	
row_56	XM_047184660	na	2952	0.43182140588760376	0.3597904	No	
row_57	XM_047182027	na	3141	0.4162130057811737	0.35364696	No	
row_58	XM_047174415	na	3206	0.40911123156547546	0.35537183	No	
row_59	XM_047175106	na	3235	0.40535488724708557	0.35935685	No	
row_60	XM_047168034	na	3360	0.3934485912322998	0.35700193	No	
row_61	XM_047178155	na	3423	0.3860136568546295	0.35852572	No	
row_62	XM_047163119	na	3457	0.38154616951942444	0.36184964	No	
row_63	XM_047181666	na	3549	0.37981119751930237	0.36142105	No	
row_64	XM_047178277	na	3686	0.3708564043045044	0.35797244	No	
row_65	XM_047174214	na	3758	0.36670857667922974	0.3586423	No	
row_66	XM_047168007	na	3872	0.3613203465938568	0.35653585	No	
row_67	XM_047166248	na	3917	0.35631638765335083	0.35879275	No	
row_68	XM_047174320	na	3948	0.3512772023677826	0.36187753	No	
row_69	XM_047174765	na	4193	0.33147820830345154	0.35092565	No	
row_70	XM_047165566	na	4307	0.32610762119293213	0.34831673	No	
row_71	XM_047170496	na	4367	0.3190900683403015	0.3490783	No	
row_72	XM_047171696	na	4430	0.3134121894836426	0.349566	No	
row_73	XM_047170565	na	4439	0.3123840391635895	0.35350975	No	
row_74	XM_047173326	na	4514	0.30472204089164734	0.3531022	No	
row_75	XM_047174184	na	4525	0.3035115599632263	0.35679075	No	
row_76	XM_047172924	na	4593	0.30347663164138794	0.35681534	No	
row_77	XM_047172753	na	4744	0.29639458656311035	0.35140434	No	
row_78	XM_047168031	na	4809	0.2893049418926239	0.3514195	No	
row_79	XM_047176732	na	4866	0.28345412015914917	0.35186535	No	
row_80	XM_047174903	na	5070	0.261222243309021	0.34254602	No	
row_81	XM_047168042	na	5131	0.2545972764492035	0.34232298	No	
row_82	XM_047173049	na	5248	0.24444828927516937	0.3383559	No	
row_83	XM_047169757	na	5291	0.24020880460739136	0.33908442	No	
row_84	XM_047185614	na	5350	0.23452672362327576	0.33870348	No	
row_85	XM_047171755	na	5358	0.23397044837474823	0.34159246	No	
row_86	XM_047184565	na	5398	0.22854891419410706	0.3423474	No	
row_87	XM_047170545	na	5437	0.2245706021785736	0.34310982	No	
row_88	XM_047169065	na	5505	0.2186029851436615	0.34192324	No	
row_89	XM_047171754	na	5628	0.20430634915828705	0.33699766	No	
row_90	XM_047164714	na	5631	0.20368240773677826	0.33977577	No	
row_91	XM_047182708	na	5686	0.19781394302845	0.33912805	No	
row_92	XM_047176319	na	5779	0.18850558996200562	0.33590513	No	
row_93	XM_047164003	na	5837	0.1832357943058014	0.33485654	No	
row_94	XM_047178770	na	6039	0.16343887150287628	0.32427034	No	
row_95	XM_047184638	na	6140	0.15318003296852112	0.32002914	No	
row_96	XM_047168538	na	6241	0.1429346650838852	0.31564176	No	
row_97	XM_047185468	na	6328	0.13322710990905762	0.31201562	No	
row_98	XM_047174819	na	6356	0.13040922582149506	0.31214133	No	
row_99	XM_047184959	na	6440	0.12214766442775726	0.3085499	No	
row_100	XM_047184134	na	6453	0.12067791074514389	0.30950078	No	
row_101	XM_047165567	na	6565	0.11064847558736801	0.30394566	No	
row_102	XM_047166355	na	6580	0.10869108140468597	0.30459693	No	
row_103	XM_047181337	na	6672	0.10010556131601334	0.3001768	No	
row_104	XM_047174227	na	6758	0.09404069185256958	0.29605573	No	
row_105	XM_047165000	na	6956	0.07808979600667953	0.28450865	No	
row_106	XM_047185587	na	6982	0.07420583069324493	0.28396082	No	
row_107	XM_047174185	na	7005	0.07233697175979614	0.2835791	No	
row_108	XM_047182757	na	7208	0.0550713948905468	0.27138218	No	
row_109	XM_047163262	na	7239	0.05260050296783447	0.27020466	No	
row_110	XM_047169976	na	7314	0.0435982309281826	0.26607075	No	
row_111	XM_047173324	na	7362	0.03846238553524017	0.2635989	No	
row_112	XM_047181665	na	7407	0.03447199612855911	0.26126286	No	
row_113	XM_047176288	na	7575	0.016063693910837173	0.25075877	No	
row_114	XM_047174683	na	7587	0.014108442701399326	0.2502531	No	
row_115	XM_047169866	na	7588	0.013804033398628235	0.2504501	No	
row_116	XM_047169224	na	7715	8.526742458343506E-4	0.24236406	No	
row_117	XM_047167128	na	8001	0.0	0.22404669	No	
row_118	XM_047170456	na	8229	0.0	0.20945707	No	
row_119	XM_047170637	na	8242	0.0	0.20868582	No	
row_120	XM_047170653	na	8245	0.0	0.20855726	No	
row_121	XM_047173563	na	8468	0.0	0.194289	No	
row_122	XM_047173893	na	8492	0.0	0.19281076	No	
row_123	XM_047175004	na	8555	0.0	0.18882592	No	
row_124	XM_047175592	na	8594	0.0	0.1863836	No	
row_125	XM_047175593	na	8595	0.0	0.1863836	No	
row_126	XM_047175658	na	8600	0.0	0.18612653	No	
row_127	XM_047175669	na	8601	0.0	0.18612653	No	
row_128	XM_047177697	na	8738	0.0	0.1773856	No	
row_129	XM_047181137	na	8998	0.0	0.16073929	No	
row_130	XM_047184637	na	9222	0.0	0.14640675	No	
row_131	XM_047167093	na	9680	-3.656615081126802E-5	0.1170352	No	
row_132	XM_047166107	na	9716	-0.0033154780976474285	0.11483301	No	
row_133	XM_047175990	na	9921	-0.020888924598693848	0.10201973	No	
row_134	XM_047166253	na	9961	-0.023469671607017517	0.09984807	No	
row_135	XM_047178707	na	10000	-0.02705850824713707	0.09779189	No	
row_136	XM_047177794	na	10043	-0.030781812965869904	0.09553176	No	
row_137	XM_047186304	na	10258	-0.05026938393712044	0.082495034	No	
row_138	XM_047173826	na	10297	-0.05367135629057884	0.08081864	No	
row_139	XM_047183349	na	10311	-0.05489909276366234	0.08076655	No	
row_140	XM_047166148	na	10583	-0.07819460332393646	0.06446486	No	
row_141	XM_047172838	na	10815	-0.0909089595079422	0.05091547	No	
row_142	XM_047181300	na	10850	-0.0944221094250679	0.05007769	No	
row_143	XM_047164877	na	10896	-0.09889265149831772	0.04859673	No	
row_144	XM_047176600	na	10897	-0.09901118278503418	0.05000967	No	
row_145	XM_047174994	na	10906	-0.09960782527923584	0.05091696	No	
row_146	XM_047179258	na	10931	-0.10114952176809311	0.050817903	No	
row_147	XM_047180841	na	11034	-0.10858436673879623	0.04581177	No	
row_148	XM_047177483	na	11295	-0.12968258559703827	0.030951826	No	
row_149	XM_047183127	na	11328	-0.13234634697437286	0.030783795	No	
row_150	XM_047181141	na	11342	-0.1334790587425232	0.031853084	No	
row_151	XM_047176033	na	11755	-0.17193792760372162	0.007826882	No	
row_152	XM_047163719	na	11780	-0.17392560839653015	0.008766381	No	
row_153	XM_047170663	na	12449	-0.25164464116096497	-0.03057586	No	
row_154	XM_047173926	na	12521	-0.2612680494785309	-0.031410698	No	
row_155	XM_047169287	na	12532	-0.2636512219905853	-0.028290965	No	
row_156	XM_047173935	na	12574	-0.2670755982398987	-0.02711478	No	
row_157	XM_047185536	na	12856	-0.30989131331443787	-0.04075275	No	
row_158	XM_047165600	na	12858	-0.3102788031101227	-0.036389172	No	
row_159	XM_047166567	na	12863	-0.3109573721885681	-0.032208726	No	
row_160	XM_047167614	na	12993	-0.33197107911109924	-0.035762336	No	
row_161	XM_047167962	na	13142	-0.3397531807422638	-0.040426053	No	
row_162	XM_047185479	na	13763	-0.39602425694465637	-0.074622884	No	
row_163	XM_047180809	na	13831	-0.4045869708061218	-0.073155396	No	
row_164	XM_047186422	na	13838	-0.4045869708061218	-0.06776735	No	
row_165	XM_047174778	na	14019	-0.4304150640964508	-0.07319396	No	
row_166	XM_047176504	na	14051	-0.43306586146354675	-0.06900629	No	
row_167	XM_047172801	na	14078	-0.4373665750026703	-0.064435884	No	
row_168	XM_047167910	na	14087	-0.43911638855934143	-0.058683623	No	
row_169	XM_047165421	na	14089	-0.43935638666152954	-0.052478038	No	
row_170	XM_047173234	na	14148	-0.45206961035728455	-0.049754504	No	
row_171	XM_047169933	na	14293	-0.4906565248966217	-0.05200766	No	
row_172	XM_047176075	na	14342	-0.5043603777885437	-0.04789519	No	
row_173	XM_047167021	na	14473	-0.5393893122673035	-0.0485531	No	
row_174	XM_047176773	na	14684	-0.606486439704895	-0.05339522	No	
