NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047167138	na	8	1.7160913944244385	0.008605502	No	
row_1	XM_047168061	na	15	1.6112645864486694	0.016784417	No	
row_2	XM_047182853	na	16	1.6011898517608643	0.025303071	No	
row_3	XM_047186184	na	77	1.247226595878601	0.028005175	No	
row_4	XM_047173705	na	175	1.0999290943145752	0.027498035	No	
row_5	XM_047174497	na	207	1.0675935745239258	0.031145595	No	
row_6	XM_047173378	na	215	1.058179259300232	0.03631643	No	
row_7	XM_047165732	na	285	0.9925522208213806	0.037073605	No	
row_8	XM_047163081	na	358	0.9460767507553101	0.03738685	No	
row_9	XM_047166328	na	364	0.9447588920593262	0.042085376	No	
row_10	XM_047168452	na	367	0.9446473121643066	0.04697998	No	
row_11	XM_047175883	na	378	0.9354227185249329	0.05130105	No	
row_12	XM_047164471	na	431	0.9105779528617859	0.05273657	No	
row_13	XM_047170010	na	439	0.9067063927650452	0.057101537	No	
row_14	XM_047163114	na	472	0.8897149562835693	0.05973719	No	
row_15	XM_047181840	na	494	0.8762154579162598	0.063022144	No	
row_16	XM_047173520	na	535	0.8558387160301208	0.06495312	No	
row_17	XM_047180443	na	612	0.8204548954963684	0.06433581	No	
row_18	XM_047170564	na	638	0.8104332685470581	0.06700856	No	
row_19	XM_047173100	na	689	0.7896889448165894	0.06793204	No	
row_20	XM_047183286	na	857	0.7349395751953125	0.060894117	No	
row_21	XM_047178345	na	861	0.734359085559845	0.06460439	No	
row_22	XM_047170673	na	948	0.7118710279464722	0.06275382	No	
row_23	XM_047180093	na	966	0.7085302472114563	0.065408885	No	
row_24	XM_047174261	na	985	0.7037196159362793	0.067972794	No	
row_25	XM_047165496	na	997	0.7003374099731445	0.07097761	No	
row_26	XM_047164912	na	1060	0.6828316450119019	0.070545904	No	
row_27	XM_047172261	na	1180	0.6662077307701111	0.06628903	No	
row_28	XM_047173633	na	1217	0.6596236824989319	0.06743833	No	
row_29	XM_047178851	na	1273	0.6487324833869934	0.06728411	No	
row_30	XM_047168621	na	1276	0.6485583782196045	0.07060345	No	
row_31	XM_047186050	na	1290	0.6464595198631287	0.07319052	No	
row_32	XM_047173680	na	1297	0.6449494957923889	0.07622844	No	
row_33	XM_047164013	na	1313	0.6414282917976379	0.07865762	No	
row_34	XM_047172970	na	1318	0.6399303674697876	0.081799954	No	
row_35	XM_047178256	na	1327	0.6381850838661194	0.084670775	No	
row_36	XM_047177823	na	1520	0.6086245179176331	0.07532191	No	
row_37	XM_047184898	na	1535	0.6057349443435669	0.07762676	No	
row_38	XM_047185931	na	1555	0.6027587056159973	0.07958798	No	
row_39	XM_047170606	na	1615	0.5937299132347107	0.07887891	No	
row_40	XM_047173438	na	1629	0.5905838012695312	0.0811687	No	
row_41	XM_047166771	na	1770	0.5764161348342896	0.075057425	No	
row_42	XM_047180967	na	1819	0.5715162754058838	0.07495129	No	
row_43	XM_047173647	na	1865	0.5657853484153748	0.07501134	No	
row_44	XM_047174539	na	1885	0.562932014465332	0.07676068	No	
row_45	XM_047163785	na	1914	0.5572450757026672	0.077889755	No	
row_46	XM_047178463	na	1920	0.5565195679664612	0.08052277	No	
row_47	XM_047164014	na	1983	0.5475239753723145	0.0793712	No	
row_48	XM_047163263	na	1999	0.5450836420059204	0.0812878	No	
row_49	XM_047185932	na	2032	0.5398918986320496	0.08206233	No	
row_50	XM_047174843	na	2088	0.5324144959449768	0.08128927	No	
row_51	XM_047164500	na	2094	0.5312147736549377	0.08378766	No	
row_52	XM_047172041	na	2118	0.5280197262763977	0.08508903	No	
row_53	XM_047173646	na	2128	0.5269091725349426	0.08730228	No	
row_54	XM_047185107	na	2292	0.5039130449295044	0.07929748	No	
row_55	XM_047170785	na	2410	0.4899665117263794	0.07423408	No	
row_56	XM_047174021	na	2439	0.48736855387687683	0.0749914	No	
row_57	XM_047174511	na	2460	0.48533034324645996	0.076262325	No	
row_58	XM_047174354	na	2514	0.480368971824646	0.07534348	No	
row_59	XM_047184757	na	2530	0.4786003828048706	0.07690639	No	
row_60	XM_047170168	na	2603	0.47202277183532715	0.07469757	No	
row_61	XM_047185924	na	2612	0.47138258814811707	0.07668097	No	
row_62	XM_047172927	na	2623	0.47012391686439514	0.07852656	No	
row_63	XM_047184811	na	2656	0.4664410948753357	0.078910306	No	
row_64	XM_047170743	na	2692	0.4621489942073822	0.079074554	No	
row_65	XM_047178339	na	2741	0.45591670274734497	0.07835341	No	
row_66	XM_047173262	na	2743	0.45559829473495483	0.08071173	No	
