NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047172806	na	1	2.084850788116455	0.01695201	Yes	
row_1	XM_047174600	na	43	1.398691177368164	0.02570962	Yes	
row_2	XM_047163239	na	49	1.3621788024902344	0.036503688	Yes	
row_3	XM_047164531	na	76	1.2501850128173828	0.04502187	Yes	
row_4	XM_047165116	na	110	1.1872749328613281	0.05257264	Yes	
row_5	XM_047167921	na	118	1.1765965223312378	0.061722267	Yes	
row_6	XM_047184784	na	137	1.1483936309814453	0.069928385	Yes	
row_7	XM_047185085	na	141	1.1416696310043335	0.079052314	Yes	
row_8	XM_047177494	na	189	1.0866553783416748	0.08487397	Yes	
row_9	XM_047175779	na	214	1.0585240125656128	0.09195747	Yes	
row_10	XM_047170324	na	239	1.0340403318405151	0.09884114	Yes	
row_11	XM_047169572	na	259	1.0140663385391235	0.10588601	Yes	
row_12	XM_047182527	na	276	0.9985163807868958	0.1129985	Yes	
row_13	XM_047172053	na	314	0.9701818227767944	0.11851794	Yes	
row_14	XM_047166730	na	319	0.9680700898170471	0.12616009	Yes	
row_15	XM_047163932	na	357	0.9465385675430298	0.13148655	Yes	
row_16	XM_047177787	na	372	0.9410718083381653	0.13825986	Yes	
row_17	XM_047180101	na	380	0.9345019459724426	0.14543347	Yes	
row_18	XM_047182798	na	385	0.92861008644104	0.15275353	Yes	
row_19	XM_047182992	na	399	0.9227278828620911	0.15944198	Yes	
row_20	XM_047168323	na	413	0.9158453941345215	0.16607423	Yes	
row_21	XM_047165012	na	429	0.9108632802963257	0.17253613	Yes	
row_22	XM_047172861	na	452	0.8990533947944641	0.17844771	Yes	
row_23	XM_047176648	na	456	0.8966159224510193	0.18557148	Yes	
row_24	XM_047167943	na	514	0.8688786625862122	0.18896714	Yes	
row_25	XM_047168410	na	517	0.8667691349983215	0.19591214	Yes	
row_26	XM_047168345	na	529	0.858105480670929	0.2022028	Yes	
row_27	XM_047175247	na	534	0.8561205863952637	0.2089312	Yes	
row_28	XM_047163238	na	551	0.8465004563331604	0.2148029	Yes	
row_29	XM_047169678	na	600	0.8262581825256348	0.21843432	Yes	
row_30	XM_047167920	na	675	0.7937669157981873	0.2201145	Yes	
row_31	XM_047171313	na	729	0.7731298208236694	0.22298802	Yes	
row_32	XM_047168305	na	753	0.7635365128517151	0.22772865	Yes	
row_33	XM_047178401	na	754	0.7633870840072632	0.23395953	Yes	
row_34	XM_047184592	na	821	0.7430770993232727	0.23574476	Yes	
row_35	XM_047186157	na	840	0.7387920618057251	0.24060765	Yes	
row_36	XM_047169225	na	893	0.7237115502357483	0.24314266	Yes	
row_37	XM_047172096	na	897	0.7223026752471924	0.24884365	Yes	
row_38	XM_047168924	na	952	0.7107347249984741	0.25114307	Yes	
row_39	XM_047186072	na	990	0.7011740803718567	0.25446683	Yes	
row_40	XM_047178509	na	1078	0.6782965660095215	0.2543615	Yes	
row_41	XM_047163387	na	1081	0.6780003905296326	0.25976577	Yes	
row_42	XM_047163240	na	1099	0.6763391494750977	0.26418376	Yes	
row_43	XM_047175914	na	1122	0.6713804006576538	0.26823702	Yes	
row_44	XM_047178314	na	1130	0.670096218585968	0.27325252	Yes	
row_45	XM_047182814	na	1192	0.6647164821624756	0.2747224	Yes	
row_46	XM_047163891	na	1197	0.6631309986114502	0.27987558	Yes	
row_47	XM_047165319	na	1214	0.6600362658500671	0.28422534	Yes	
row_48	XM_047170315	na	1221	0.6590914726257324	0.28921586	Yes	
row_49	XM_047166739	na	1252	0.6524885892868042	0.29259616	Yes	
row_50	XM_047164995	na	1306	0.6425508856773376	0.2944039	Yes	
row_51	XM_047178441	na	1357	0.632838785648346	0.29632688	Yes	
row_52	XM_047185406	na	1374	0.6293955445289612	0.30042657	Yes	
row_53	XM_047164204	na	1417	0.6229233741760254	0.3027874	Yes	
row_54	XM_047163893	na	1469	0.6183901429176331	0.3045276	Yes	
row_55	XM_047184297	na	1513	0.610371470451355	0.30672115	Yes	
row_56	XM_047185264	na	1564	0.6012073159217834	0.30838594	Yes	
row_57	XM_047178113	na	1639	0.5882454514503479	0.30838865	Yes	
row_58	XM_047171356	na	1651	0.5868087410926819	0.31246495	Yes	
row_59	XM_047163190	na	1664	0.5854314565658569	0.31646517	Yes	
row_60	XM_047178510	na	1675	0.5854314565658569	0.3205951	Yes	
row_61	XM_047178610	na	1715	0.585061252117157	0.3228414	Yes	
row_62	XM_047163313	na	1723	0.5838504433631897	0.32715297	Yes	
row_63	XM_047185445	na	1753	0.5801298022270203	0.33000752	Yes	
