NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XM_047169121	na	54	1.3405932188034058	0.009693216	Yes	
row_1	XM_047165135	na	81	1.232750654220581	0.020138301	Yes	
row_2	XM_047165116	na	110	1.1872749328613281	0.03000648	Yes	
row_3	XM_047167456	na	190	1.086620807647705	0.03558233	Yes	
row_4	XM_047174128	na	206	1.0676789283752441	0.045115553	Yes	
row_5	XM_047167572	na	210	1.0645005702972412	0.055394456	Yes	
row_6	XM_047171811	na	217	1.0547058582305908	0.06538276	Yes	
row_7	XM_047177180	na	336	0.9623331427574158	0.067210704	Yes	
row_8	XM_047170947	na	355	0.9478724002838135	0.07537097	Yes	
row_9	XM_047166932	na	437	0.9075890779495239	0.07905591	Yes	
row_10	XM_047170843	na	461	0.894026517868042	0.08636268	Yes	
row_11	XM_047174665	na	482	0.8838605880737305	0.09376367	Yes	
row_12	XM_047185131	na	485	0.8833616375923157	0.10232518	Yes	
row_13	XM_047168345	na	529	0.858105480670929	0.10798362	Yes	
row_14	XM_047182062	na	542	0.851870059967041	0.11558783	Yes	
row_15	XM_047178019	na	543	0.8510026335716248	0.123960465	Yes	
row_16	XM_047167177	na	605	0.8224678039550781	0.12810285	Yes	
row_17	XM_047174398	na	693	0.7884296178817749	0.13022697	Yes	
row_18	XM_047176417	na	711	0.7796217203140259	0.13679664	Yes	
row_19	XM_047186211	na	725	0.7747336030006409	0.1435772	Yes	
row_20	XM_047176923	na	757	0.7625804543495178	0.14907277	Yes	
row_21	XM_047170791	na	802	0.7487195134162903	0.15359026	Yes	
row_22	XM_047175287	na	813	0.7451977133750916	0.16027446	Yes	
row_23	XM_047165855	na	831	0.7398139238357544	0.16645248	Yes	
row_24	XM_047172988	na	899	0.7221913933753967	0.16921982	Yes	
row_25	XM_047164455	na	905	0.7207633852958679	0.17598736	Yes	
row_26	XM_047176920	na	922	0.7175123691558838	0.18201071	Yes	
row_27	XM_047165750	na	928	0.7152470350265503	0.18872397	Yes	
row_28	XM_047172013	na	976	0.7058696150779724	0.19262564	Yes	
row_29	XM_047186310	na	1020	0.6932969689369202	0.1966626	Yes	
row_30	XM_047163194	na	1054	0.6854740381240845	0.20127006	Yes	
row_31	XM_047177686	na	1123	0.6713804006576538	0.20347275	Yes	
row_32	XM_047179357	na	1159	0.6673123240470886	0.20777203	Yes	
row_33	XM_047182842	na	1177	0.6664775609970093	0.21322852	Yes	
row_34	XM_047163210	na	1204	0.6623676419258118	0.21806186	Yes	
row_35	XM_047186312	na	1229	0.6570634841918945	0.22297253	Yes	
row_36	XM_047170842	na	1260	0.6504923701286316	0.22743005	Yes	
row_37	XM_047178906	na	1298	0.6449378728866577	0.2313797	Yes	
row_38	XM_047180192	na	1392	0.626248836517334	0.23151971	Yes	
row_39	XM_047164143	na	1418	0.6227770447731018	0.2360283	Yes	
row_40	XM_047181293	na	1425	0.6227770447731018	0.24176703	Yes	
row_41	XM_047185868	na	1482	0.6149017214775085	0.244191	Yes	
row_42	XM_047171005	na	1533	0.6063283681869507	0.24691911	Yes	
row_43	XM_047181411	na	1554	0.6029213070869446	0.25155607	Yes	
row_44	XM_047185177	na	1577	0.5988563299179077	0.25602353	Yes	
row_45	XM_047172589	na	1600	0.5954627394676208	0.2604576	Yes	
row_46	XM_047165374	na	1740	0.5813934803009033	0.257178	Yes	
row_47	XM_047178000	na	1794	0.5744072198867798	0.2593978	Yes	
row_48	XM_047179166	na	1813	0.5724270939826965	0.26386425	Yes	
row_49	XM_047167284	na	1826	0.5706012845039368	0.26870117	Yes	
row_50	XM_047164352	na	1863	0.5659080743789673	0.27193803	Yes	
row_51	XM_047166172	na	1879	0.5636776089668274	0.27651262	Yes	
row_52	XM_047185716	na	2005	0.5440741777420044	0.2737723	Yes	
row_53	XM_047171119	na	2008	0.5436332821846008	0.27899137	Yes	
row_54	XM_047168870	na	2043	0.5387749075889587	0.28209075	Yes	
row_55	XM_047182799	na	2091	0.5319166779518127	0.284281	Yes	
row_56	XM_047165880	na	2097	0.5308047533035278	0.28917962	Yes	
row_57	XM_047163947	na	2219	0.5141289830207825	0.28640366	Yes	
row_58	XM_047163302	na	2225	0.5131044387817383	0.29112813	Yes	
row_59	XM_047169238	na	2242	0.5102553963661194	0.29511237	Yes	
row_60	XM_047181333	na	2243	0.5100203156471252	0.30013022	Yes	
row_61	XM_047167086	na	2314	0.5020532608032227	0.3005375	Yes	
row_62	XM_047165112	na	2330	0.4994361400604248	0.30448002	Yes	
row_63	XM_047169277	na	2339	0.4980551302433014	0.3088622	Yes	
row_64	XM_047183655	na	2348	0.49722030758857727	0.31323615	Yes	
row_65	XM_047179078	na	2376	0.494292289018631	0.31635115	Yes	
